accession,description
ERZ1077438,"Antibiogram for study PRJEB23993, sample SAMEA104437648"
ERZ2186440,"Antibiogram for study PRJEB44355, sample SAMEA8574799"
ERZ2186457,"Antibiogram for study PRJEB44355, sample SAMEA8574830"
ERZ2186474,"Antibiogram for study PRJEB44355, sample SAMEA8574833"
ERZ794748,"Antibiogram for study PRJEB21997, sample SAMEA104188707"
ERZ794772,"Antibiogram for study PRJEB21997, sample SAMEA104188768"
ERZ794781,"Antibiogram for study PRJEB21997, sample SAMEA104188686"
ERZ794786,"Antibiogram for study PRJEB21997, sample SAMEA104188778"
ERZ794827,"Antibiogram for study PRJEB21997, sample SAMEA104188771"
ERZ794834,"Antibiogram for study PRJEB21997, sample SAMEA104188737"
ERZ794835,"Antibiogram for study PRJEB21997, sample SAMEA104188791"
ERZ794863,"Antibiogram for study PRJEB14873, sample SAMEA4350779"
ERZ1077409,"Antibiogram for study PRJEB23993, sample SAMEA104437468"
ERZ2186478,"Antibiogram for study PRJEB44355, sample SAMEA8574828"
ERZ794750,"Antibiogram for study PRJEB21997, sample SAMEA104188708"
ERZ794808,"Antibiogram for study PRJEB21997, sample SAMEA104188788"
ERZ794840,"Antibiogram for study PRJEB21997, sample SAMEA104188741"
ERZ1077416,"Antibiogram for study PRJEB23993, sample SAMEA104437475"
ERZ1077497,"Antibiogram for study PRJEB23993, sample SAMEA104437743"
ERZ1077506,"Antibiogram for study PRJEB23993, sample SAMEA104437752"
ERZ2186435,"Antibiogram for study PRJEB44355, sample SAMEA8574823"
ERZ794761,"Antibiogram for study PRJEB21997, sample SAMEA104188688"
ERZ794770,"Antibiogram for study PRJEB21997, sample SAMEA104188712"
ERZ794819,"Antibiogram for study PRJEB21997, sample SAMEA104188743"
ERZ794832,"Antibiogram for study PRJEB21997, sample SAMEA104188726"
ERZ794853,"Antibiogram for study PRJEB14873, sample SAMEA4350776"
ERZ795324,"Antibiogram for study PRJEB25629, sample SAMEA5166664"
ERZ794771,"Antibiogram for study PRJEB21997, sample SAMEA104188766"
ERZ794809,"Antibiogram for study PRJEB21997, sample SAMEA104188767"
ERZ794833,"Antibiogram for study PRJEB21997, sample SAMEA104188689"
ERZ794867,"Antibiogram for study PRJEB14873, sample SAMEA4350770"
ERZ795320,"Antibiogram for study PRJEB25629, sample SAMEA5166660"
ERZ782754,"Antibiogram for study PRJEB14873, sample SAMEA4350770"
ERZ908667,"Antibiogram for study PRJDB7087, sample SAMD00126582"
ERZ908670,"Antibiogram for study PRJDB7087, sample SAMD00126542"
ERZ908675,"Antibiogram for study PRJDB7087, sample SAMD00126555"
ERZ908689,"Antibiogram for study PRJDB7087, sample SAMD00126564"
ERZ908706,"Antibiogram for study PRJDB7087, sample SAMD00126457"
ERZ908722,"Antibiogram for study PRJDB7087, sample SAMD00126538"
