Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collected_by,Collection_Date,Collection_ID,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Isolate,Isolation_source,Lat_Lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,ST,Clonal_Complex,Index,ID,Speciemen,Species,Sequence Type (ST),Clonal Complex (CC),Ciprofloxacin (ECOFF= 0.5 mg/L),Nalidixic acid (ECOFF= 16 mg/L),Tetracycline (ECOFF=2 mg/L),Erythromycin (ECOFF= 4 mg/L For C. jejuni and =8 mg/L for C. coli),Streptomycin (ECOFF= 4 mg/L),Gentamicin (ECOFF= 2mg/L)
SRR10257452,WGS,428,61928257,PRJNA576513,SAMN13011806,Pathogen.env,39698932,UNIVERSITY OF BATH,SheppardLab and Mohamed ElHadidy,2017,Egypt90,public,"fastq,realign,wgmlst_sig,sra","s3,ncbi","ncbi.public,s3.us-east-1",SRX6975458,Egypt,Africa,Egypt: Cairo,Illumina MiSeq,Egypt90,human,30.0448 N 31.1222 E,MilSeq35_S67_ElHadidy_Egypt90,PAIRED,RANDOM,GENOMIC,Campylobacter jejuni,ILLUMINA,2019-10-10T00:00:00Z,SKS_7698,SRP225063,122,ST-206 complex,7698,Camp_7698,Human stool,Campylobacter jejuni,ST122,ST-206 ClonalComplex,4,64,1,1,1,0.5
SRR10257453,WGS,432,45765640,PRJNA576513,SAMN13011805,Pathogen.env,30982916,UNIVERSITY OF BATH,SheppardLab and Mohamed ElHadidy,2017,Egypt89,public,"wgmlst_sig,fastq,realign,sra","s3,ncbi","ncbi.public,s3.us-east-1",SRX6975457,Egypt,Africa,Egypt: Cairo,Illumina MiSeq,Egypt89,human,30.0448 N 31.1222 E,MilSeq35_S66_ElHadidy_Egypt89,PAIRED,RANDOM,GENOMIC,Campylobacter coli,ILLUMINA,2019-10-10T00:00:00Z,SKS_7697,SRP225063,872,ST-828 complex,7697,Camp_7697,Human stool,Campylobacter coli,ST872,ST-828 ClonalComplex,8,32,8,4,0.5,1
SRR10257454,WGS,408,58953868,PRJNA576513,SAMN13011804,Pathogen.env,37949882,UNIVERSITY OF BATH,SheppardLab and Mohamed ElHadidy,2018,Egypt88,public,"sra,wgmlst_sig,realign,fastq","ncbi,s3","ncbi.public,s3.us-east-1",SRX6975456,Egypt,Africa,Egypt: Cairo,Illumina MiSeq,Egypt88,human,30.0448 N 31.1222 E,MilSeq35_S65_ElHadidy_Egypt88,PAIRED,RANDOM,GENOMIC,Campylobacter coli,ILLUMINA,2019-10-10T00:00:00Z,SKS_7696,SRP225063,827,ST-828 complex,7696,Camp_7696,Human stool,Campylobacter coli,ST827,ST-828 ClonalComplex,2,32,64,64,2,0.5
SRR10257455,WGS,409,39069047,PRJNA576513,SAMN13011803,Pathogen.env,25043140,UNIVERSITY OF BATH,SheppardLab and Mohamed ElHadidy,2018,Egypt87,public,"sra,wgmlst_sig,realign,fastq","ncbi,s3","s3.us-east-1,ncbi.public",SRX6975455,Egypt,Africa,Egypt: Cairo,Illumina MiSeq,Egypt87,human,30.0448 N 31.1222 E,MilSeq35_S64_ElHadidy_Egypt87,PAIRED,RANDOM,GENOMIC,Campylobacter jejuni,ILLUMINA,2019-10-10T00:00:00Z,SKS_7695,SRP225063,NA,NA,7695,Camp_7695,Human stool,Campylobacter jejuni,NA,NA,0.12,16,32,2,2,1
SRR10257456,WGS,473,85365848,PRJNA576513,SAMN13011834,Pathogen.env,47073879,UNIVERSITY OF BATH,SheppardLab and Mohamed ElHadidy,2018,Egypt14,public,"fastq,sra,realign,wgmlst_sig","ncbi,s3","s3.us-east-1,ncbi.public",SRX6975454,Egypt,Africa,Egypt: Cairo,Illumina MiSeq,Egypt14,chicken,30.0448 N 31.1222 E,MilSeq35_S14_Egypt14,PAIRED,RANDOM,GENOMIC,Campylobacter coli,ILLUMINA,2019-10-10T00:00:00Z,SKS_7729,SRP225063,827,ST-828 complex,7729,Camp_7729,Broiler carcass,Campylobacter coli,ST827,ST-828 ClonalComplex,16,32,4,1,8,0.5
SRR10257457,WGS,360,131937766,PRJNA576513,SAMN13011802,Pathogen.env,87719419,UNIVERSITY OF BATH,SheppardLab and Mohamed ElHadidy,2018,Egypt86,public,"wgmlst_sig,sra,realign,fastq","ncbi,s3","s3.us-east-1,ncbi.public",SRX6975453,Egypt,Africa,Egypt: Cairo,Illumina MiSeq,Egypt86,human,30.0448 N 31.1222 E,MilSeq35_S63_ElHadidy_Egypt86,PAIRED,RANDOM,GENOMIC,Campylobacter coli,ILLUMINA,2019-10-10T00:00:00Z,SKS_7694,SRP225063,825,ST-828 complex,7694,Camp_7694,Human stool,Campylobacter coli,ST825,ST-828 ClonalComplex,16,64,64,2,0.5,0.5
SRR10257458,WGS,442,105235602,PRJNA576513,SAMN13011801,Pathogen.env,69372798,UNIVERSITY OF BATH,SheppardLab and Mohamed ElHadidy,2017,Egypt85,public,"wgmlst_sig,sra,realign,fastq","s3,ncbi","s3.us-east-1,ncbi.public",SRX6975452,Egypt,Africa,Egypt: Cairo,Illumina MiSeq,Egypt85,chicken,30.0448 N 31.1222 E,MilSeq35_S62_ElHadidy_Egypt85,PAIRED,RANDOM,GENOMIC,Campylobacter coli,ILLUMINA,2019-10-10T00:00:00Z,SKS_7693,SRP225063,1055,ST-828 complex,7693,Camp_7693,Broiler carcass,Campylobacter coli,ST1055,ST-828 ClonalComplex,16,32,16,64,0.5,0.25
SRR10257459,WGS,428,34171358,PRJNA576513,SAMN13011800,Pathogen.env,23465615,UNIVERSITY OF BATH,SheppardLab and Mohamed ElHadidy,2017,Egypt84,public,"realign,sra,wgmlst_sig,fastq","ncbi,s3","ncbi.public,s3.us-east-1",SRX6975451,Egypt,Africa,Egypt: Cairo,Illumina MiSeq,Egypt84,chicken,30.0448 N 31.1222 E,MilSeq35_S61_ElHadidy_Egypt84,PAIRED,RANDOM,GENOMIC,Campylobacter coli,ILLUMINA,2019-10-10T00:00:00Z,SKS_7692,SRP225063,1191,ST-828 complex,7692,Camp_7692,Broiler carcass,Campylobacter coli,ST1191,ST-828 ClonalComplex,8,64,64,128,8,4
SRR10257460,WGS,431,49698408,PRJNA576513,SAMN13011799,Pathogen.env,32800320,UNIVERSITY OF BATH,SheppardLab and Mohamed ElHadidy,2018,Egypt83,public,"wgmlst_sig,sra,realign,fastq","ncbi,s3","ncbi.public,s3.us-east-1",SRX6975450,Egypt,Africa,Egypt: Cairo,Illumina MiSeq,Egypt83,chicken,30.0448 N 31.1222 E,MilSeq35_S60_ElHadidy_Egypt83,PAIRED,RANDOM,GENOMIC,Campylobacter coli,ILLUMINA,2019-10-10T00:00:00Z,SKS_7691,SRP225063,1058,ST-828 complex,7691,Camp_7691,Broiler carcass,Campylobacter coli,ST1058,ST-828 ClonalComplex,8,64,32,128,8,4
SRR10257461,WGS,432,91949597,PRJNA576513,SAMN13011798,Pathogen.env,61053746,UNIVERSITY OF BATH,SheppardLab and Mohamed ElHadidy,2018,Egypt82,public,"wgmlst_sig,fastq,realign,sra","ncbi,s3","s3.us-east-1,ncbi.public",SRX6975449,Egypt,Africa,Egypt: Cairo,Illumina MiSeq,Egypt82,human,30.0448 N 31.1222 E,MilSeq35_S59_ElHadidy_Egypt82,PAIRED,RANDOM,GENOMIC,Campylobacter jejuni,ILLUMINA,2019-10-10T00:00:00Z,SKS_7690,SRP225063,19,ST-21 complex,7690,Camp_7690,Human stool,Campylobacter jejuni,ST19,ST-21 ClonalComplex,0.25,32,2,32,0.5,0.5
