Assembly,Level,WGS,BioSample,Isolate,Taxonomy,Sequencing Platform*,Year w,Country,City,Anatomical Site,Meropenem+,Levofloxacin +,Amikacin+,Colistin+,MLSTǂ
GCA_000791545.1,Scaffold,JTQQ00000000,SAMN03105649,AZPAE14951,Pseudomonas aeruginosa,MiSeq,2009,Argentina,Victoria,UTI,8,32,64,1,621
GCA_000791525.1,Scaffold,JTQR00000000,SAMN03105648,AZPAE14950,Pseudomonas aeruginosa,MiSeq,2009,Argentina,Victoria,UTI,0.25,>32,2,1,17
GCA_000791495.1,Scaffold,JTQS00000000,SAMN03105647,AZPAE14949,Pseudomonas aeruginosa,MiSeq,2009,Argentina,Victoria,RTI,32,0.12,32,0.5,235
GCA_000791485.1,Scaffold,JTQT00000000,SAMN03105646,AZPAE14948,Pseudomonas aeruginosa,MiSeq,2009,Argentina,Victoria,IAI,>32,1,16,1,253
GCA_000791465.1,Scaffold,JTMU00000000,SAMN03105749,AZPAE15052,Pseudomonas aeruginosa,MiSeq,2012,Argentina,Victoria,RTI,0.06,0.25,2,1,1755
GCA_000791445.1,Scaffold,JTQV00000000,SAMN03105644,AZPAE14946,Pseudomonas aeruginosa,MiSeq,2009,United States,Detroit,UTI,16,32,4,1,27
GCA_000791425.1,Scaffold,JTQX00000000,SAMN03105642,AZPAE14944,Pseudomonas aeruginosa,MiSeq,2009,United States,Detroit,IAI,0.12,0.12,0.12,1,17
GCA_000791405.1,Scaffold,JTQW00000000,SAMN03105643,AZPAE14945,Pseudomonas aeruginosa,MiSeq,2009,United States,Detroit,UTI,0.5,0.5,4,1,179
GCA_000791385.1,Scaffold,JTMS00000000,SAMN03105751,AZPAE15054,Pseudomonas aeruginosa,MiSeq,2012,Colombia,Bogota,UTI,8,16,2,1,298
GCA_000791365.1,Scaffold,JTNU00000000,SAMN03105723,AZPAE15026,Pseudomonas aeruginosa,MiSeq,2011,Colombia,Bogota,UTI,0.06,0.25,1,1,1756
GCA_000791735.1,Scaffold,JTQI00000000,SAMN03105657,AZPAE14959,Pseudomonas aeruginosa,MiSeq,2009,India,Mumbai,IAI,>32,8,64,1,773
GCA_000791725.1,Scaffold,JTQJ00000000,SAMN03105656,AZPAE14958,Pseudomonas aeruginosa,MiSeq,2009,India,Mumbai,IAI,>32,8,64,1,773
GCA_000791705.1,Scaffold,JTQK00000000,SAMN03105655,AZPAE14957,Pseudomonas aeruginosa,MiSeq,2009,Germany,München,IAI,0.03,2,2,1,1749
GCA_000791685.1,Scaffold,JTQL00000000,SAMN03105654,AZPAE14956,Pseudomonas aeruginosa,MiSeq,2009,Germany,München,IAI,16,4,>128,1,270
GCA_000791825.1,Scaffold,JTQE00000000,SAMN03105661,AZPAE14963,Pseudomonas aeruginosa,MiSeq,2009,Spain,Palma de Mallorca,RTI,32,2,1,0.5,1090
GCA_000791805.1,Scaffold,JTQF00000000,SAMN03105660,AZPAE14962,Pseudomonas aeruginosa,MiSeq,2009,Spain,Palma de Mallorca,RTI,0.25,0.25,2,1,532
GCA_000791785.1,Scaffold,JTQG00000000,SAMN03105659,AZPAE14961,Pseudomonas aeruginosa,MiSeq,2009,Spain,Palma de Mallorca,RTI,32,8,1,1,500
GCA_000791765.1,Scaffold,JTQH00000000,SAMN03105658,AZPAE14960,Pseudomonas aeruginosa,MiSeq,2009,Spain,Palma de Mallorca,RTI,0.06,0.5,2,1,1748
GCA_000792265.1,Scaffold,JTNS00000000,SAMN03105725,AZPAE15028,Pseudomonas aeruginosa,MiSeq,2011,France,Paris,RTI,0.06,1,2,1,463
GCA_000792245.1,Scaffold,JTPN00000000,SAMN03105678,AZPAE14981,Pseudomonas aeruginosa,MiSeq,2010,France,Paris,UTI,0.25,0.5,4,1,274
GCA_000792225.1,Scaffold,JTPO00000000,SAMN03105677,AZPAE14980,Pseudomonas aeruginosa,MiSeq,2010,United States,Detroit,IAI,8,32,4,1,27
GCA_000792205.1,Scaffold,JTPP00000000,SAMN03105676,AZPAE14979,Pseudomonas aeruginosa,MiSeq,2010,United States,Roseburg,UTI,1,>32,8,1,235
GCA_000792825.1,Scaffold,JTOM00000000,SAMN03105705,AZPAE15008,Pseudomonas aeruginosa,MiSeq,2010,Spain,Santander,UTI,16,>32,1,1,1284
GCA_000792805.1,Scaffold,JTON00000000,SAMN03105704,AZPAE15007,Pseudomonas aeruginosa,MiSeq,2010,Spain,Santander,UTI,0.12,16,1,1,111
GCA_000792785.1,Scaffold,JTOO00000000,SAMN03105703,AZPAE15006,Pseudomonas aeruginosa,MiSeq,2011,United States,Roseburg,RTI,32,>32,4,1,235
GCA_000792765.1,Scaffold,JTOP00000000,SAMN03105702,AZPAE15005,Pseudomonas aeruginosa,MiSeq,2011,United States,Roseburg,RTI,2,32,4,1,308
GCA_000792445.1,Scaffold,JTPF00000000,SAMN03105686,AZPAE14989,Pseudomonas aeruginosa,MiSeq,2010,China,Hong Kong,IAI,32,8,2,1,357
GCA_000792395.1,Scaffold,JTMV00000000,SAMN03105748,AZPAE15051,Pseudomonas aeruginosa,MiSeq,2012,China,Hong Kong,IAI,16,8,4,1,319
GCA_000792385.1,Scaffold,JTPH00000000,SAMN03105684,AZPAE14987,Pseudomonas aeruginosa,MiSeq,2010,Germany,Koln,RTI,0.5,0.5,2,1,298
GCA_000792365.1,Scaffold,JTPI00000000,SAMN03105683,AZPAE14986,Pseudomonas aeruginosa,MiSeq,2010,China,Shatin,RTI,2,2,1,1,769
