Assembly,Level,WGS,BioSample,Isolate,Taxonomy,Sequencing Platform*,Year w,Country,City,Anatomical Site,Meropenem+,Levofloxacin +,Amikacin+,Colistin+,MLSTǂ
GCA_000796085.1,Scaffold,JTYP00000000,SAMN03105442,AZPAE14402,Pseudomonas aeruginosa,HiSeq,2011,France,Rouen Cedex,IAI,0.03,1,4,ND,1719
GCA_000796095.1,Scaffold,JTYQ00000000,SAMN03105441,AZPAE14398,Pseudomonas aeruginosa,HiSeq,2011,Germany,München,IAI,0.5,0.5,2,ND,175
GCA_000796465.1,Scaffold,JTXZ00000000,SAMN03105458,AZPAE14533,Pseudomonas aeruginosa,HiSeq,2011,Germany,Koln,RTI,0.125,0.25,1,ND,1723
GCA_000796475.1,Scaffold,JTXY00000000,SAMN03105459,AZPAE14535,Pseudomonas aeruginosa,HiSeq,2010,Spain,Santander,RTI,0.25,>8,2,ND,111
GCA_000796445.1,Scaffold,JTYA00000000,SAMN03105457,AZPAE14526,Pseudomonas aeruginosa,HiSeq,2010,Spain,Palma de Mallorca,RTI,0.125,0.5,4,ND,1760
GCA_000796425.1,Scaffold,JTYB00000000,SAMN03105456,AZPAE14509,Pseudomonas aeruginosa,HiSeq,2011,France,Nantes Cedex,UTI,1,0.25,2,ND,1400
GCA_000796065.1,Scaffold,JTYR00000000,SAMN03105440,AZPAE14395,Pseudomonas aeruginosa,HiSeq,2011,Spain,Bilbao,IAI,0.06,0.25,0.5,ND,365
GCA_000796045.1,Scaffold,JTYS00000000,SAMN03105439,AZPAE14394,Pseudomonas aeruginosa,HiSeq,2011,Spain,Madrid,IAI,>8,>8,4,ND,175
GCA_000796025.1,Scaffold,JTWY00000000,SAMN03105485,AZPAE14707,Pseudomonas aeruginosa,MiSeq,2012,Greece,unknown,RTI,>32,>32,>128,1,111
GCA_000796005.1,Scaffold,JTYT00000000,SAMN03105438,AZPAE14393,Pseudomonas aeruginosa,HiSeq,2011,Spain,Madrid,IAI,0.125,0.25,2,ND,313
GCA_000795985.1,Scaffold,JTYU00000000,SAMN03105437,AZPAE14390,Pseudomonas aeruginosa,HiSeq,2011,China,Hong Kong,IAI,1,0.25,2,ND,381
GCA_000795955.1,Scaffold,JTWM00000000,SAMN03105497,AZPAE14720,Pseudomonas aeruginosa,MiSeq,2012,Colombia,unknown,UTI,>32,>32,64,1,235
GCA_000795945.1,Scaffold,JTYV00000000,SAMN03105436,AZPAE14381,Pseudomonas aeruginosa,HiSeq,2010,Spain,Bilbao,IAI,>8,>8,64,ND,111
GCA_000795925.1,Scaffold,JTYW00000000,SAMN03105435,AZPAE14379,Pseudomonas aeruginosa,HiSeq,2010,Germany,Heidelberg,IAI,>8,4,2,ND,242
GCA_000795905.1,Scaffold,JTWO00000000,SAMN03105495,AZPAE14718,Pseudomonas aeruginosa,MiSeq,2012,United States,unknown,RTI,4,16,64,1,233
GCA_000795875.1,Scaffold,JTYX00000000,SAMN03105434,AZPAE14373,Pseudomonas aeruginosa,HiSeq,2010,Germany,München,IAI,8,1,2,ND,1720
GCA_000795865.1,Scaffold,JTWI00000000,SAMN03105501,AZPAE14724,Pseudomonas aeruginosa,MiSeq,2012,Italy,unknown,IAI,>32,>32,4,0.5,111
GCA_000795845.1,Scaffold,JTYY00000000,SAMN03105433,AZPAE14372,Pseudomonas aeruginosa,HiSeq,2010,China,Hong Kong,IAI,>8,8,8,ND,319
GCA_000795815.1,Scaffold,JTWX00000000,SAMN03105486,AZPAE14708,Pseudomonas aeruginosa,MiSeq,2012,Greece,unknown,IAI,16,>32,8,1,235
GCA_000795805.1,Scaffold,JTXA00000000,SAMN03105483,AZPAE14705,Pseudomonas aeruginosa,MiSeq,2012,Greece,unknown,UTI,>32,>32,16,1,235
GCA_000795785.1,Scaffold,JTYZ00000000,SAMN03105432,AZPAE14359,Pseudomonas aeruginosa,HiSeq,2010,China,Shatin,IAI,8,2,4,ND,313
GCA_000795765.1,Scaffold,JTZA00000000,SAMN03105431,AZPAE14353,Pseudomonas aeruginosa,HiSeq,2010,France,unknown,IAI,4,>8,4,ND,235
GCA_000795735.1,Scaffold,JTZB00000000,SAMN03105430,AZPAE14352,Pseudomonas aeruginosa,HiSeq,2010,France,unknown,IAI,0.25,0.25,0.5,ND,1718
GCA_000795725.1,Scaffold,JTZC00000000,SAMN03105429,AZPAE13880,Pseudomonas aeruginosa,HiSeq,2010,Mexico,unknown,unknown,>32,32,64,1,235
GCA_000795705.1,Scaffold,JTWJ00000000,SAMN03105500,AZPAE14723,Pseudomonas aeruginosa,MiSeq,2012,Italy,unknown,RTI,8,>32,16,1,235
GCA_000795685.1,Scaffold,JTZD00000000,SAMN03105428,AZPAE13879,Pseudomonas aeruginosa,HiSeq,2010,Argentina,unknown,unknown,16,32,2,1,235
GCA_000795665.1,Scaffold,JTZE00000000,SAMN03105427,AZPAE13877,Pseudomonas aeruginosa,HiSeq,2010,Romania,unknown,unknown,>32,8,64,1,233
GCA_000795635.1,Scaffold,JTZF00000000,SAMN03105426,AZPAE13876,Pseudomonas aeruginosa,MiSeq,2010,Portugal,unknown,unknown,32,2,0.12,0.5,446
GCA_000795625.1,Scaffold,JTZG00000000,SAMN03105425,AZPAE13872,Pseudomonas aeruginosa,HiSeq,2010,Mexico,unknown,unknown,>32,>32,32,1,167
GCA_000795605.1,Scaffold,JTWW00000000,SAMN03105487,AZPAE14710,Pseudomonas aeruginosa,MiSeq,2012,United States,unknown,RTI,16,>32,0.25,1,235
GCA_000795585.1,Scaffold,JTZH00000000,SAMN03105424,AZPAE13866,Pseudomonas aeruginosa,MiSeq,2010,China,unknown,unknown,2,0.5,2,1,655
GCA_000796705.1,Scaffold,JUAS00000000,SAMN03105387,AZPAE12144,Pseudomonas aeruginosa,MiSeq,2005,United States,New York,CF,ND,ND,ND,ND,1707
GCA_000796685.1,Scaffold,JUAT00000000,SAMN03105386,AZPAE12143,Pseudomonas aeruginosa,MiSeq,2005,United States,New York,CF,4,4,16,0.5,1712
GCA_000796655.1,Scaffold,JUAU00000000,SAMN03105385,AZPAE12142,Pseudomonas aeruginosa,MiSeq,2005,United States,New York,CF,16,4,>128,0.5,1705
GCA_000796645.1,Scaffold,JTWK00000000,SAMN03105499,AZPAE14722,Pseudomonas aeruginosa,MiSeq,2012,Italy,unknown,IAI,16,32,2,0.5,175
GCA_000796615.1,Scaffold,JUAV00000000,SAMN03105384,AZPAE12140,Pseudomonas aeruginosa,MiSeq,2005,United States,New York,CF,16,0.12,16,1,782
GCA_000796605.1,Scaffold,JTWP00000000,SAMN03105494,AZPAE14717,Pseudomonas aeruginosa,MiSeq,2012,United States,unknown,IAI,4,2,4,1,1725
GCA_000796585.1,Scaffold,JUAX00000000,SAMN03105382,AZPAE12137,Pseudomonas aeruginosa,MiSeq,2005,United States,New York,CF,16,4,64,1,1713
GCA_000796555.1,Scaffold,JUAY00000000,SAMN03105381,AZPAE12136,Pseudomonas aeruginosa,MiSeq,2005,United States,New York,CF,0.015,2,4,0.25,389
GCA_000796545.1,Scaffold,JUAZ00000000,SAMN03105380,AZPAE12135,Pseudomonas aeruginosa,MiSeq,2005,United States,New York,CF,0.12,1,8,1,27
GCA_000796525.1,Scaffold,JUAW00000000,SAMN03105383,AZPAE12138,Pseudomonas aeruginosa,MiSeq,2005,United States,New York,CF,0.12,2,>128,0.5,348
GCA_000796505.1,Scaffold,JTXX00000000,SAMN03105460,AZPAE14538,Pseudomonas aeruginosa,HiSeq,2010,China,Shatin,RTI,>8,>8,8,ND,871
GCA_000796365.1,Scaffold,JTYE00000000,SAMN03105453,AZPAE14463,Pseudomonas aeruginosa,HiSeq,2011,Colombia,Bogota,UTI,>32,>32,128,2,111
GCA_000796345.1,Scaffold,JTYF00000000,SAMN03105452,AZPAE14453,Pseudomonas aeruginosa,HiSeq,2011,United States,Detroit,UTI,32,>32,128,1,1722
GCA_000796325.1,Scaffold,JTYG00000000,SAMN03105451,AZPAE14443,Pseudomonas aeruginosa,HiSeq,2010,United States,unknown,UTI,1,32,1,0.5,915
GCA_000796295.1,Scaffold,JTYH00000000,SAMN03105450,AZPAE14442,Pseudomonas aeruginosa,HiSeq,2010,Taiwan,unknown,UTI,16,16,>128,0.5,1721
GCA_000796285.1,Scaffold,JTYI00000000,SAMN03105449,AZPAE14441,Pseudomonas aeruginosa,HiSeq,2010,Taiwan,unknown,UTI,8,32,4,1,292
GCA_000796255.1,Scaffold,JTYJ00000000,SAMN03105448,AZPAE14437,Pseudomonas aeruginosa,HiSeq,2010,Canada,N/A,UTI,2,16,4,0.5,298
GCA_000796245.1,Scaffold,JTWL00000000,SAMN03105498,AZPAE14721,Pseudomonas aeruginosa,MiSeq,2012,Colombia,unknown,IAI,>32,>32,8,1,235
GCA_000796225.1,Scaffold,JTYK00000000,SAMN03105447,AZPAE14422,Pseudomonas aeruginosa,HiSeq,2009,United States,Roseburg,UTI,16,>32,4,1,235
GCA_000797395.1,Scaffold,JTZQ00000000,SAMN03105415,AZPAE13756,Pseudomonas aeruginosa,HiSeq,2009,Canada,unknown,RTI,>32,32,>128,1,111
GCA_000797355.1,Scaffold,JTZR00000000,SAMN03105414,AZPAE12423,Pseudomonas aeruginosa,MiSeq,2007,United States,Cleveland,CF,0.06,0.015,64,0.5,1714
GCA_000797345.1,Scaffold,JTWV00000000,SAMN03105488,AZPAE14711,Pseudomonas aeruginosa,MiSeq,2012,Venezuela,unknown,IAI,2,>32,16,1,179
GCA_000797325.1,Scaffold,JTZS00000000,SAMN03105413,AZPAE12422,Pseudomonas aeruginosa,MiSeq,2007,United States,Cleveland,CF,0.25,2,32,0.5,1717
GCA_000797305.1,Scaffold,JTZT00000000,SAMN03105412,AZPAE12421,Pseudomonas aeruginosa,MiSeq,2007,United States,Cleveland,CF,0.5,4,32,1,500
GCA_000797285.1,Scaffold,JTZU00000000,SAMN03105411,AZPAE12420,Pseudomonas aeruginosa,MiSeq,2007,United States,Cleveland,CF,0.12,8,16,0.5,500
GCA_000797265.1,Scaffold,JTZV00000000,SAMN03105410,AZPAE12419,Pseudomonas aeruginosa,MiSeq,2007,United States,Cleveland,CF,1,4,16,0.5,1716
GCA_000797245.1,Scaffold,JTZW00000000,SAMN03105409,AZPAE12418,Pseudomonas aeruginosa,MiSeq,2007,United States,Cleveland,CF,0.12,2,32,0.5,1714
GCA_000797225.1,Scaffold,JTZX00000000,SAMN03105408,AZPAE12417,Pseudomonas aeruginosa,MiSeq,2007,United States,Cleveland,CF,0.12,4,16,1,1715
GCA_000797205.1,Scaffold,JTWU00000000,SAMN03105489,AZPAE14712,Pseudomonas aeruginosa,MiSeq,2012,Venezuela,unknown,IAI,32,16,64,1,308
GCA_000797185.1,Scaffold,JTZY00000000,SAMN03105407,AZPAE12416,Pseudomonas aeruginosa,MiSeq,2007,United States,Cleveland,CF,4,16,64,0.5,1714
GCA_000797165.1,Scaffold,JTZZ00000000,SAMN03105406,AZPAE12415,Pseudomonas aeruginosa,MiSeq,2007,United States,Cleveland,CF,16,>32,32,4,782
GCA_000797145.1,Scaffold,JUAA00000000,SAMN03105405,AZPAE12414,Pseudomonas aeruginosa,MiSeq,2007,United States,Cleveland,CF,16,16,2,0.5,782
GCA_000797125.1,Scaffold,JUAB00000000,SAMN03105404,AZPAE12413,Pseudomonas aeruginosa,MiSeq,2007,United States,Cleveland,CF,16,>32,32,0.5,782
GCA_000797105.1,Scaffold,JUAC00000000,SAMN03105403,AZPAE12412,Pseudomonas aeruginosa,MiSeq,2007,United States,Cleveland,CF,0.5,0.25,4,1,274
GCA_000797085.1,Scaffold,JTWT00000000,SAMN03105490,AZPAE14713,Pseudomonas aeruginosa,MiSeq,2012,Venezuela,unknown,IAI,>32,>32,128,1,111
GCA_000797055.1,Scaffold,JUAD00000000,SAMN03105402,AZPAE12411,Pseudomonas aeruginosa,MiSeq,2007,United States,Cleveland,CF,0.12,0.25,2,1,1011
GCA_000797045.1,Scaffold,JUAE00000000,SAMN03105401,AZPAE12410,Pseudomonas aeruginosa,MiSeq,2007,United States,Cleveland,CF,0.25,4,4,1,1239
GCA_000797025.1,Scaffold,JTWN00000000,SAMN03105496,AZPAE14719,Pseudomonas aeruginosa,MiSeq,2012,Colombia,unknown,RTI,>32,>32,4,1,235
GCA_000797005.1,Scaffold,JUAF00000000,SAMN03105400,AZPAE12409,Pseudomonas aeruginosa,MiSeq,2007,United States,Cleveland,CF,0.03,0.25,8,1,277
GCA_000796985.1,Scaffold,JUAG00000000,SAMN03105399,AZPAE12156,Pseudomonas aeruginosa,MiSeq,2005,United States,New York,CF,32,4,32,0.5,569
GCA_000796955.1,Scaffold,JUAH00000000,SAMN03105398,AZPAE12155,Pseudomonas aeruginosa,MiSeq,2005,United States,New York,CF,0.5,4,8,2,389
GCA_000796945.1,Scaffold,JUAI00000000,SAMN03105397,AZPAE12154,Pseudomonas aeruginosa,MiSeq,2005,United States,New York,CF,8,4,64,0.5,908
GCA_000796925.1,Scaffold,JUAJ00000000,SAMN03105396,AZPAE12153,Pseudomonas aeruginosa,MiSeq,2005,United States,New York,CF,4,4,128,1,116
GCA_000796905.1,Scaffold,JUAK00000000,SAMN03105395,AZPAE12152,Pseudomonas aeruginosa,MiSeq,2005,United States,New York,CF,ND,ND,ND,ND,617
GCA_000796875.1,Scaffold,JUAL00000000,SAMN03105394,AZPAE12151,Pseudomonas aeruginosa,MiSeq,2005,United States,New York,CF,4,8,128,2,1710
GCA_000796865.1,Scaffold,JUAM00000000,SAMN03105393,AZPAE12150,Pseudomonas aeruginosa,MiSeq,2005,United States,New York,CF,1,8,8,0.5,179
GCA_000796845.1,Scaffold,JTWS00000000,SAMN03105491,AZPAE14714,Pseudomonas aeruginosa,MiSeq,2012,Venezuela,unknown,IAI,>32,>32,128,1,111
GCA_000796825.1,Scaffold,JUAO00000000,SAMN03105391,AZPAE12148,Pseudomonas aeruginosa,MiSeq,2005,United States,New York,CF,1,32,32,2,17
GCA_000796795.1,Scaffold,JUAP00000000,SAMN03105390,AZPAE12147,Pseudomonas aeruginosa,MiSeq,2005,United States,New York,CF,32,4,64,0.5,1711
GCA_000796785.1,Scaffold,JUAN00000000,SAMN03105392,AZPAE12149,Pseudomonas aeruginosa,MiSeq,2005,United States,New York,CF,16,8,>128,>32,439
GCA_000796765.1,Scaffold,JUAQ00000000,SAMN03105389,AZPAE12146,Pseudomonas aeruginosa,MiSeq,2005,United States,New York,CF,0.25,0.5,8,1,1709
GCA_000796745.1,Scaffold,JUAR00000000,SAMN03105388,AZPAE12145,Pseudomonas aeruginosa,MiSeq,2005,United States,New York,CF,16,16,128,8,1708
GCA_000796725.1,Scaffold,JTWR00000000,SAMN03105492,AZPAE14715,Pseudomonas aeruginosa,MiSeq,2012,Venezuela,unknown,IAI,32,>32,16,1,179
