PATRIC ID,Isolation Source,Isolation Date,Serotype,US State of Isolation,SRA Run Accession,AUG,AMP,AXO,AZI,CHL,CIP,COT,FIS,FOX,GEN,NAL,STR,TET,TIO,KAN
590.1295,Chicken Breast,2012,Kentucky,PA,SRR3664761,<=1,<=1,<=0.25,2,4,<=0.015,<=0.12,32,2,0.5,4,>64,<=4,1,<=8
590.12951,Chicken Breast,2012,Typhimurium var. 5-,PA,SRR3664762,<=1,2,<=0.25,4,8,<=0.015,<=0.12,>256,4,0.5,4,NA,>32,1,<=8
590.12952,Chicken Breast,2012,Kentucky,PA,SRR3664763,<=1,<=1,<=0.25,2,4,<=0.015,<=0.12,32,2,0.5,4,>64,<=4,1,<=8
590.12953,Chicken Breast,2012,Kentucky,PA,SRR3664764,<=1,<=1,<=0.25,2,4,<=0.015,<=0.12,64,2,0.5,4,>64,<=4,0.5,<=8
590.12954,Ground Turkey,2012,Berta,PA,SRR3664765,>32,>32,64,4,8,0.03,<=0.12,<=16,>32,0.5,4,NA,<=4,>8,>64
590.12955,Chicken Breast,2012,Typhimurium var. 5-,TN,SRR3664766,<=1,<=1,<=0.25,4,8,<=0.015,<=0.12,>256,4,0.5,4,NA,>32,1,<=8
590.12956,Ground Turkey,2012,Agona,TN,SRR3664767,<=1,<=1,<=0.25,4,8,<=0.015,<=0.12,>256,4,>16,4,>64,<=4,1,<=8
590.12957,Chicken Breast,2012,Typhimurium var. 5-,NY,SRR3664768,>32,>32,16,4,4,<=0.015,<=0.12,>256,>32,0.5,2,NA,>32,>8,<=8
590.12959,Ground Turkey,2013,Hadar,WA,SRR2566910,<=1,<=1,<=0.25,2,4,<=0.015,<=0.12,<=16,2,0.5,2,64,>32,0.5,<=8
590.1296,Chicken Breast,2006,Enteritidis,MN,SRR2047291,8,>32,<=0.25,NA,8,<=0.01,<=0.12,64,2,<=0.25,4,NA,<=4,1,NA
590.12961,Chicken Breast,2007,Kentucky,CA,SRR1793266,<=1,<=1,<=0.25,NA,4,0.03,<=0.12,64,4,0.5,2,NA,<=4,1,NA
590.12962,Chicken Breast,2014,Kentucky,CT,SRR2407701,<=1,<=1,<=0.25,4,4,<=0.015,<=0.12,32,2,0.5,2,64,>32,1,NA
590.12963,Pork Chop,2005,Muenchen,MD,SRR1631190,<=1,<=1,<=0.25,NA,<=2,<=0.01,<=0.12,64,4,0.5,2,NA,<=4,0.5,NA
590.12964,Pork Chop,2005,Heidelberg,OR,SRR1521525,<=1,<=1,<=0.25,NA,8,<=0.01,<=0.12,32,4,0.5,4,NA,>32,0.5,NA
590.12966,Chicken Breast,2012,Typhimurium var. 5-,NY,SRR3664769,32,>32,8,4,8,<=0.015,0.25,>256,16,0.5,2,NA,>32,8,<=8
590.12967,Ground Turkey,2010,Saintpaul,TN,SRR3136895,8,>32,<=0.25,NA,8,<=0.01,<=0.12,64,2,<=0.25,2,NA,>32,1,NA
590.12968,Chicken Breast,2008,Typhimurium var. 5-,CT,SRR2568399,8,>32,<=0.25,NA,8,<=0.01,<=0.12,>256,4,8,4,NA,>32,1,NA
590.12969,Chicken Breast,2011,Kentucky,NM,SRR3665083,<=1,<=1,<=0.25,4,4,<=0.015,<=0.12,32,1,0.5,2,>64,>32,0.5,<=8
590.1297,Chicken Wings,2015,Infantis,CA,SRR3932910,<=1,<=1,<=0.25,4,8,<=0.015,<=0.12,32,4,0.5,4,16,<=4,1,NA
590.12971,Ground Turkey,2006,Saintpaul,MD,SRR1631191,<=1,<=1,<=0.25,NA,4,<=0.01,<=0.12,64,1,0.5,4,NA,<=4,1,NA
590.12972,Chicken Breast,2010,Kentucky,NM,SRR3219169,<=1,<=1,<=0.25,NA,<=2,<=0.01,<=0.12,32,1,<=0.25,1,NA,<=4,0.5,NA
590.12973,Chicken Breast,2014,Thompson,CT,SRR2407702,<=1,<=1,<=0.25,8,8,0.03,<=0.12,32,2,0.5,4,8,<=4,1,NA
590.12975,Ground Beef,2006,Montevideo,CA,SRR1793267,<=1,<=1,<=0.25,NA,8,<=0.01,<=0.12,64,2,0.5,4,NA,<=4,1,NA
590.12976,Ground Turkey,2005,Heidelberg,OR,SRR1521526,<=1,<=1,<=0.25,NA,8,<=0.01,<=0.12,64,2,0.5,4,NA,>32,1,NA
590.12977,Ground Turkey,2007,Schwarzengrund,NM,SRR2054606,<=1,<=1,<=0.25,NA,8,<=0.01,<=0.12,<=16,2,0.5,4,NA,<=4,1,NA
590.12979,Chicken Breast,2012,Typhimurium var. 5-,NY,SRR3664770,>32,>32,16,4,8,<=0.015,<=0.12,>256,16,0.5,4,NA,>32,8,<=8
590.1298,Chicken Breast,2009,Kentucky,MD,SRR3055293,>32,>32,16,NA,8,<=0.01,<=0.12,32,>32,0.5,2,64,>32,>8,NA
590.12981,Chicken Breast,2015,Johannesburg,CA,SRR3932911,<=1,<=1,<=0.25,8,8,0.03,<=0.12,<=16,2,0.5,4,8,<=4,0.5,NA
590.12982,Ground Turkey,2010,Schwarzengrund,TN,SRR3136896,8,>32,<=0.25,NA,4,<=0.01,<=0.12,32,2,<=0.25,2,NA,<=4,1,NA
590.12983,Ground Turkey,2008,Hadar,NM,SRR2568400,<=1,<=1,<=0.25,NA,8,<=0.01,<=0.12,128,2,0.5,4,NA,>32,1,NA
590.12984,Ground Turkey,2006,Muenchen,CO,SRR1793268,2,<=1,<=0.25,NA,4,<=0.01,<=0.12,>256,2,0.5,4,NA,>32,1,NA
590.12985,Chicken Breast,2010,Typhimurium var. 5-,NM,SRR3219170,>32,>32,16,NA,4,<=0.01,<=0.12,>256,>32,<=0.25,2,NA,>32,>8,NA
590.12986,Ground Turkey,2005,Saintpaul,MN,SRR1631192,16,>32,<=0.25,NA,8,<=0.01,<=0.12,>256,2,8,4,NA,<=4,1,NA
590.12987,Chicken Breast,2013,Typhimurium var. 5-,CA,SRR2566911,<=1,<=1,<=0.25,4,8,<=0.015,<=0.12,>256,2,0.5,4,NA,>32,1,<=8
590.12988,Ground Turkey,2005,Heidelberg,OR,SRR1521527,<=1,2,<=0.25,NA,8,<=0.01,<=0.12,64,2,0.5,4,NA,>32,0.5,NA
590.1299,Chicken Thighs,2015,Enteritidis,CA,SRR3932912,<=1,<=1,<=0.25,2,4,0.03,<=0.12,32,2,0.5,8,4,<=4,0.5,NA
590.12991,Chicken Breast,2012,Typhimurium var. 5-,NY,SRR3664771,32,>32,8,4,4,<=0.015,<=0.12,>256,16,0.5,4,NA,>32,8,<=8
590.12992,Chicken Breast,2011,Enteritidis,NM,SRR3665084,<=1,<=1,<=0.25,4,4,0.03,<=0.12,64,2,<=0.25,4,NA,<=4,1,<=8
590.12993,Chicken Breast,2014,Enteritidis,MD,SRR2407703,<=1,<=1,<=0.25,4,4,0.06,<=0.12,64,8,0.5,4,<=2,<=4,1,NA
590.12994,Ground Turkey,2009,Newport,MD,SRR3055294,<=1,<=1,<=0.25,NA,8,<=0.01,<=0.12,>256,2,>16,4,>64,<=4,1,NA
590.12995,Chicken Breast,2007,Heidelberg,NM,SRR2054607,<=1,<=1,<=0.25,NA,8,<=0.01,<=0.12,<=16,2,<=0.25,4,NA,<=4,1,NA
590.12996,Chicken Breast,2005,Typhimurium var. 5-,MD,SRR1631193,>32,>32,16,NA,4,<=0.01,<=0.12,32,32,0.5,4,NA,<=4,>8,NA
590.12998,Chicken Breast,2007,Montevideo,NM,SRR2054608,<=1,<=1,<=0.25,NA,8,<=0.01,<=0.12,<=16,2,<=0.25,2,NA,<=4,1,NA
590.12999,Pork Chop,2005,Typhimurium var. 5-,MD,SRR1631194,16,>32,<=0.25,NA,>32,<=0.01,<=0.12,>256,2,<=0.25,4,64,>32,1,NA
590.13,Ground Turkey,2010,Saintpaul,NM,SRR3219178,<=1,<=1,<=0.25,NA,4,<=0.01,<=0.12,64,2,0.5,2,NA,>32,0.5,NA
590.13001,Ground Turkey,2011,Schwarzengrund,NM,SRR3665085,2,2,<=0.25,4,8,<=0.015,<=0.12,64,1,0.5,2,NA,<=4,1,<=8
590.13002,Chicken Breast,2015,Kentucky,CT,SRR3932913,32,>32,4,2,4,<=0.015,<=0.12,32,16,1,4,64,<=4,4,NA
590.13003,Chicken Breast,2014,Enteritidis,MD,SRR2407704,<=1,2,<=0.25,4,4,0.03,<=0.12,64,8,0.5,2,4,<=4,2,NA
590.13004,Ground Turkey,2009,Saintpaul,MD,SRR3055296,16,>32,<=0.25,NA,8,<=0.01,<=0.12,64,2,1,2,NA,>32,1,NA
590.13005,Chicken Breast,2007,Quakam,CA,SRR1793269,<=1,<=1,<=0.25,NA,8,<=0.01,<=0.12,32,4,<=0.25,4,NA,<=4,1,NA
590.13006,Pork Chop,2010,Derby,TN,SRR3136897,<=1,<=1,<=0.25,NA,8,<=0.01,<=0.12,64,4,<=0.25,4,NA,<=4,1,NA
590.13007,Chicken Breast,2007,Heidelberg,NM,SRR2054609,32,>32,16,NA,8,<=0.01,0.25,<=16,32,<=0.25,4,NA,<=4,>8,NA
590.13008,Chicken Wings,2013,Kentucky,CA,SRR2566912,32,>32,4,2,4,<=0.015,<=0.12,<=16,16,0.5,2,NA,<=4,8,<=8
590.13009,Ground Turkey,2010,Heidelberg,NM,SRR3219179,32,>32,32,NA,4,<=0.01,<=0.12,>256,>32,<=0.25,2,>64,>32,>8,NA
590.1301,Chicken Breast,2006,Typhimurium var. 5-,MD,SRR1631195,>32,>32,16,NA,4,<=0.01,<=0.12,>256,>32,0.5,4,NA,>32,>8,NA
590.13012,Chicken Breast,2012,Typhimurium var. 5-,NY,SRR3664772,>32,>32,8,4,8,<=0.015,<=0.12,>256,16,16,4,64,>32,>8,<=8
590.13014,Ground Turkey,2008,Worthington,CT,SRR2568402,<=1,<=1,<=0.25,NA,8,<=0.01,<=0.12,64,4,0.5,1,NA,32,0.5,NA
590.13015,Chicken Breast,2005,Kentucky,OR,SRR1521559,<=1,<=1,<=0.25,NA,4,<=0.01,<=0.12,64,2,0.5,2,NA,<=4,0.5,NA
590.13016,Chicken Wings,2013,Hadar,CA,SRR2566913,<=1,<=1,<=0.25,2,4,0.03,<=0.12,32,2,1,4,64,>32,1,<=8
590.13017,Chicken Breast,2007,Kentucky,NM,SRR2054610,2,<=1,<=0.25,NA,8,<=0.01,0.25,<=16,2,0.5,2,64,>32,0.5,NA
