Strain,Accession,BioSample,BioProject,Lineage                                       (Clone-ST-SCCmec),CHL,CIP,CLI,ERI,GEN,MET,OXA,RIF,SXT,TET
UE1119,JAALSI000000000,SAMN14171712,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UE1120,JAATHF000000000,SAMN14171713,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UE1121,JAALPM000000000,SAMN14171714,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UE1130,JAALUD000000000,SAMN14171715,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UE1131,QDHO00000000,SAMN08977803,PRJNA291213,NA,S,S,S,S,S,R,S,S,S,S
UE1132,QDHN00000000,SAMN08977804,PRJNA291213,NA,S,S,S,S,S,R,S,S,S,S
UE1135,JAALPT000000000,SAMN14171716,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UE1146,QDHM00000000,SAMN08977806,PRJNA291213,NA,S,S,S,S,S,R,S,S,S,S
UE201,LGWO00000000,SAMN03940746,PRJNA291213,NA,S,S,S,S,S,R,S,S,S,S
UE203,LGXG00000000,SAMN03940733,PRJNA291213,NA,S,S,S,S,S,R,S,S,S,S
UE206,LGXH00000000,SAMN03940734,PRJNA291213,NA,S,S,S,S,S,R,S,S,S,S
UE215,LGXI00000000,SAMN03940735,PRJNA291213,NA,S,S,S,S,S,R,S,S,S,S
UE218,JAALTY000000000,SAMN14171717,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UE227,JAALTX000000000,SAMN14171718,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UE228,JAALUH000000000,SAMN14171719,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UE232,LGXJ00000000,SAMN03940736,PRJNA291213,NA,S,S,S,S,S,R,S,S,S,S
UG1095,JAALTT000000000,SAMN14171720,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UG1096,JAALPX000000000,SAMN14171721,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UG1148,JAALPD000000000,SAMN14171722,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UG240,QEJX00000000,SAMN08977808,PRJNA291213,NA,S,S,S,S,S,R,S,S,S,S
UG243,QDHL00000000,SAMN08977809,PRJNA291213,NA,S,S,S,S,S,R,S,S,S,S
UG244,JAALUR000000000,SAMN14171723,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UG247,QDHK00000000,SAMN08977810,PRJNA291213,NA,S,S,S,S,S,R,S,S,S,S
UG249,JAALTU000000000,SAMN14171724,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UG251,JAALRI000000000,SAMN14171725,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UG255,JAALTR000000000,SAMN14171726,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
