SRA_run,BioSample_ID,isolate_name,isolation_latitude,isolation_longitude,ERS Number,MLST,spa,SCCMec,isolation_country,city,source,HosCom,mrsa,mrsa__groupcolour,PEN_phenotype,FOX_phenotype,CIP_phenotype,MFX_phenotype,AMK_phenotype,GEN_phenotype,TOB_phenotype,ERY_phenotype,CLI_phenotype,TCY_phenotype,FUS_phenotype,MUP_phenotype,RIF_phenotype,TMP_phenotype
ERR033363,SAMEA698540,249_CZ_225,50.07808,14.47587,ERS026723,225,t003,II,Czech,Praha,BC,HA,1,#ED462F,resistant,resistant,resistant,resistant,resistant,,resistant,resistant,resistant,,,,,
ERR033304,SAMEA698368,25_AT_45,48.20921,16.37278,ERS026644,45,t583,,Austria,Wien,BC,CO,0,#76F013,resistant,,resistant,,,,,resistant,resistant,,,,,
ERR033357,SAMEA698609,250_CZ_225,50.66103,14.033,ERS026718,225,t003,II,Czech,Usti nad Labem,BC,HA,1,#FFF734,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,,,,,resistant
ERR033366,SAMEA698537,251_CZ_225,49.26175,13.90345,ERS026720,225,t003,II,Czech,Strakonice,BC,HA,1,#ED462F,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,,,,,resistant
ERR033378,SAMEA698409,252_CZ_225,50.02129,14.46283,ERS026733,225,t003,II,Czech,Praha,BC,HA,1,#FFF734,resistant,resistant,resistant,resistant,,,,resistant,resistant,,,,,
ERR033338,SAMEA698454,253_BG_101,42.69783,23.32329,ERS026698,101,t056,,Bulgaria,Sofia,BC,HA,0,#FFF734,,,,,,resistant,resistant,,,,,,,resistant
ERR033380,SAMEA698411,254_DK_101,57.04723,9.920104,ERS026731,101,t056,,Denmark,Aalborg,BC,CO,0,#76F013,,,,,,,,,,,,,,
ERR033369,SAMEA698545,255_CZ_101,50.03053,14.45494,ERS026728,101,t056,,Czech,Praha,BC,HA,0,#FFF734,,,,,,,,,,,,,,
ERR033540,SAMEA698727,256_IT_101,41.12605,16.86929,ERS026883,101,t056,,Italy,Bari,BC,CO,0,#76F013,,,,,,,,,,,,,,
ERR033340,SAMEA698458,257_BG_88,43.41648,24.63092,ERS026696,88,t2421,,Bulgaria,Pleven,BC,CO,0,#76F013,resistant,,,,,,,,,,,,resistant,
ERR033595,SAMEA698556,259_SE_88,57.64071,18.29606,ERS027036,88,t2675,,Sweden,Visby,BC,CO,0,#76F013,,,,,,,,,,,,,,
ERR033365,SAMEA698538,26_CZ_2860,50.20943,15.83263,ERS026721,2860,t1231,,Czech,Hradec Kralove,BC,HA,0,#76F013,resistant,,,,,,,,,,,,,
ERR033567,SAMEA698264,260_SE_150,59.33279,18.06449,ERS027014,150,t2649,,Sweden,Stockholm,BC,CO,0,#76F013,resistant,,,,,,,,,,,,,
ERR033398:ERR033644,SAMEA698197,261_GR_78,37.97918,23.71665,ERS026835,78,t186,,Greece,Athens,BC,,0,#FFF734,resistant,,,,,,,resistant,resistant,,,,,
ERR033397:ERR033643,SAMEA698577,262_DE_97,48.49089,9.205842,ERS026825,97,t359,,Germany,Reutlingen,BC,CO,0,#76F013,resistant,,,,,,,,,,,,,
ERR033463,SAMEA698249,263_DE_9,52.52348,13.41149,ERS026799,9,t158,,Germany,Berlin,BC,CO,0,#FFF734,resistant,,,,,,,,,,,,,
ERR033561,SAMEA698205,264_PT_109,37.13763,-8.534399,ERS026934,109,t209,,Portugal,Portimao,BC,HA,0,#FFF734,,,,,,,,,,,,,,
ERR033379,SAMEA698410,265_CZ_25,49.21585,15.87992,ERS026732,25,t349,,Czech,Trebic,BC,HA,0,#FFF734,resistant,,resistant,,,,,,,,,,,
ERR033334,SAMEA698253,266_BG_2859,43.27731,26.92871,ERS026702,2859,t078,,Bulgaria,Shumen,BC,HA,0,#76F013,resistant,,,,,,,,,,,,,
ERR033275:ERR033353,SAMEA698487,267_BE_25,50.96356,5.500185,ERS026684,25,t087,,Belgium,GENK,PF,CO,0,#FFF734,resistant,,,,,,,,,,,,,
ERR033700,SAMEA698318,268_NO_25,59.27242,10.41839,ERS026891,25,t078,,Norway,Tonsberg,BC,HA,0,#76F013,resistant,,,,,,,,,,,,,
ERR038671,SAMEA698504,269_PL_25,50.34988,18.22618,ERS026918,25,t087,,Poland,Kedzierzyn-Kozle,BC,CO,0,#76F013,resistant,,,,,,,,,,,,,
ERR033410,SAMEA698260,27_HR_45,46.38709,16.44155,ERS026705,45,t505,,Croatia,Cakovec,BC,HA,0,#FFF734,resistant,,,,,,,,,,,,,
ERR038673,SAMEA698500,270_PL_26,54.11152,22.93079,ERS026916,26,t078,,Poland,SUWALKI,BC,CO,0,#FFF734,resistant,,,,,,,resistant,resistant,,,,,
ERR033308,SAMEA698367,271_AT_26,47.26269,11.3947,ERS026645,26,t078,,Austria,Innsbruck,BC,HA,0,#FFF734,resistant,,,,,,,,,,,,,
ERR033314,SAMEA698508,272_AT_1776,47.26269,11.3947,ERS026651,1776,t701,,Austria,Innsbruck,PF,CO,0,#FFF734,resistant,,,,,,,,,,,,,
ERR033483,SAMEA698284,273_DE_7,54.32269,10.13586,ERS026804,7,t091,,Germany,Kiel,BC,,0,#FFF734,,,,,,,,,,,,,,
ERR033390,SAMEA698291,274_SI_7,46.65987,16.1659,ERS026962,7,t2829,,Slovenia,MURSKA SOBOTA,BC,HA,0,#76F013,resistant,,,,,,,,,,,,,
ERR033693,SAMEA698719,275_IT_7,43.81818,7.781754,ERS026884,7,t091,,Italy,Sanremo,BC,CO,0,#76F013,resistant,,,,,,,,,,,,,
ERR033545,SAMEA698665,276_IT_7,43.63334,13.5,ERS026878,7,t091,,Italy,Ancona,BC,CO,0,#76F013,resistant,,,,,,,resistant,resistant,,,,,
ERR033701,SAMEA698317,277_IT_7,41.97763,12.46632,ERS026890,7,t091,,Italy,Roma,BC,HA,0,#FFF734,resistant,,,,,,,,,,,,,
ERR038395:ERR039390,SAMEA698648,278_AT_7,48.20921,16.37278,ERS026629,7,t091,,Austria,Wien,BC,CO,0,#76F013,resistant,,,,,,,,,,,,,
ERR033460,SAMEA698399,279_FR_2867,43.52491,5.454144,ERS026788,2867,t2016,,France,AIX-EN-PROVENCE,BC,CO,0,#76F013,,,,,,,,,,,,,,
ERR033412,SAMEA698615,28_HR_45,46.38709,16.44155,ERS026714,45,t073,,Croatia,Cakovec,BC,HA,0,#FFF734,,,,,,,,,,,,,,
ERR033395:ERR033641,SAMEA698578,280_DE_72,48.39962,9.996607,ERS026824,72,t148,IVa,Germany,ULM,PF,CO,1,#ED462F,resistant,resistant,,,,,,resistant,resistant,,,,,
ERR033470,SAMEA698244,281_FR_2869,43.29834,5.383221,ERS026792,2869,t148,,France,MARSEILLE,PF,HA,0,#FFF734,,,,,,,,,,,,,,
ERR033331,SAMEA698456,282_BG_72,43.41648,24.63092,ERS026694,72,t1346,,Bulgaria,Pleven,BC,CO,0,#76F013,resistant,,,,,,,,,,,,,
ERR033267:ERR033345,SAMEA698305,283_BG_72,43.41648,24.63092,ERS026681,72,t148,,Bulgaria,Pleven,BC,CO,0,#76F013,resistant,,,,,,,,,,,,,
ERR033587,SAMEA698261,284_SE_1156,56.16082,15.58671,ERS027019,1156,t213,,Sweden,Karlskrona,BC,,0,#76F013,resistant,,,,,,,,,,,,,
ERR033547,SAMEA698679,285_IT_12,44.41573,12.19658,ERS026876,12,t909,,Italy,Ravenna,BC,CO,0,#76F013,resistant,,,,,,,,,,,,,
ERR033580,SAMEA698188,286_SE_12,59.85814,17.64459,ERS027026,12,t156,,Sweden,Uppsala,BC,,0,#76F013,resistant,,,,,,,,,,,,,
ERR033401:ERR033647,SAMEA698202,287_HU_12,46.98067,18.91271,ERS026832,12,t771,,Hungary,Dunaujvaros,BC,CO,0,#76F013,,,,,,,,,,,,,,
ERR038401:ERR039396,SAMEA698662,288_AT_2878,47.8005,13.04441,ERS026623,2878,t160,,Austria,Salzburg,BC,CO,0,#76F013,,,,,,,,,,,,,,
ERR033487,SAMEA698441,289_DE_20,50.927,11.58701,ERS026813,20,t731,,Germany,Jena,BC,,0,#FFF734,resistant,,,,,,,,,,,,,
ERR038396:ERR039391,SAMEA698650,29_AT_45,48.20921,16.37278,ERS026628,45,t331,,Austria,Wien,BC,HA,0,#76F013,resistant,,,,,,,,,,,,,
ERR033426,SAMEA698330,290_DK_20,55.64149,12.08042,ERS026749,20,t164,,Denmark,Roskilde,BC,CO,0,#76F013,resistant,,,,,,,,,,,,,
ERR033598,SAMEA698551,291_SE_20,57.7818,14.15851,ERS027033,20,t164,,Sweden,Jonkoping,BC,HA,0,#76F013,resistant,,,,,,,,,,,,,
ERR038691,SAMEA698359,292_PL_20,54.17592,15.58327,ERS026922,20,t164,,Poland,Ko?obrzeg,BC,CO,0,#76F013,resistant,resistant,,,,,,resistant,,resistant,,,,
ERR033376,SAMEA698407,293_CZ_20,49.19106,16.61142,ERS026735,20,t195,,Czech,Brno,BC,HA,0,#76F013,resistant,,,,,,,,,,,,,
ERR038394:ERR039389,SAMEA698279,294_AT_20,48.20921,16.37278,ERS026630,20,t1023,,Austria,Wien,BC,CO,0,#76F013,resistant,,,,,,,,,,,,,
ERR033490,SAMEA698573,296_DE_582,52.13095,11.6367,ERS026821,582,t084,,Germany,Magdeburg,BC,HA,0,#FFF734,resistant,,,,,,,,,,,,,
ERR033443:ERR033637,SAMEA698166,297_FI_2874,65.01266,25.47139,ERS026757,2874,t2696,,Finland,Oulu,BC,,0,#76F013,resistant,,,,,,,,,,,,,
ERR033438:ERR033632,SAMEA698605,298_DK_15,56.45319,9.402029,ERS026762,15,t2707,,Denmark,Viborg,BC,HA,0,#76F013,resistant,,,,,,,,,,,,,
ERR033405:ERR033651,SAMEA698582,299_DE_15,49.00808,8.403756,ERS026828,15,t2299,,Germany,Karlsruhe,BC,CO,0,#76F013,resistant,,,,,,,,,,,,,
ERR033413,SAMEA698612,30_CY_45,35.1676,33.37362,ERS026713,45,t2383,,Cyprus,Nicosia,BC,HA,0,#76F013,resistant,,,,,,,,,resistant,,,,
ERR033375,SAMEA698406,301_DK_15,55.39624,10.39063,ERS026736,15,t084,,Denmark,Odense,BC,HA,0,#76F013,resistant,,,,,,,,,,,,,
ERR033370,SAMEA698412,302_DK_15,57.04723,9.920104,ERS026730,15,t084,,Denmark,Aalborg,BC,CO,0,#76F013,resistant,,,,,,,,,,,,,
ERR033389,SAMEA698292,303_SI_15,46.05456,14.50443,ERS026963,15,t761,,Slovenia,LJUBLJANA,BC,CO,0,#76F013,resistant,,,,,,,,,,,,,
ERR033576,SAMEA698266,305_SE_15,59.85814,17.64459,ERS027016,15,t084,,Sweden,Uppsala,BC,,0,#76F013,resistant,,,,,,,,,,,,,
ERR033563,SAMEA698419,306_SE_35,57.69698,11.98638,ERS027004,35,t254,,Sweden,Goeteborg,BC,,0,#76F013,,,,,,,,,,,,,,
ERR033592,SAMEA698559,307_SE_15,59.37816,13.50427,ERS027039,15,t1687,,Sweden,Karlstad,BC,,0,#76F013,resistant,,,,,,,,,,,,,
