Run,ArrayExpress-SPECIES,Assay Type,AssemblyName,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA_first_public,ENA-LAST-UPDATE (run),ENA_last_update,Experiment,External_Id,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,Sample_Name,SRA Study,STRAIN,Submitter_Id,ShortName,NAME,Azithromycin,Ceftriaxone,Cefixime,Ciprofloxacin,Penicillin,Sulfonamides,Spectinomycin,Tetracycline
ERR1680315,Neisseria gonorrhoeae,WGS,BioProject23,250,971433250,PRJEB9227,SAMEA3468088,186832256,THE WELLCOME TRUST SANGER INSTITUTE,public,"sra,cram","s3,ena","ena,s3.us-east-1",2016-10-11,2016-10-11,2018-11-16,2018-03-09,ERX1749932,SAMEA3468088,SC,Wellcome Sanger Institute,2016-10-11T16:22:19Z,2018-03-09T10:15:42Z,public,Illumina HiSeq 2000,15088095,PAIRED,RANDOM,GENOMIC,Neisseria gonorrhoeae,ILLUMINA,2016-10-12T00:00:00Z,SAMEA3468088,GE13_059-sc-2287488,ERP010312,GE13-059,GE13_059-sc-2287488,GE13_059,ECDC_GE13_059,0,0,1,1,1,1,0,1
ERR1680316,Neisseria gonorrhoeae,WGS,BioProject23,250,867348750,PRJEB9227,SAMEA3468096,164551596,THE WELLCOME TRUST SANGER INSTITUTE,public,"cram,sra","ena,s3","ena,s3.us-east-1",2016-10-11,2016-10-11,2018-11-16,2018-03-09,ERX1749933,SAMEA3468096,SC,Wellcome Sanger Institute,2016-10-11T16:22:19Z,2018-03-09T10:16:01Z,public,Illumina HiSeq 2000,15088107,PAIRED,RANDOM,GENOMIC,Neisseria gonorrhoeae,ILLUMINA,2016-10-12T00:00:00Z,SAMEA3468096,GE13_071-sc-2287496,ERP010312,GE13-071,GE13_071-sc-2287496,GE13_071,ECDC_GE13_071,0,0,0,0,1,1,0,1
ERR1680317,Neisseria gonorrhoeae,WGS,BioProject23,250,826392250,PRJEB9227,SAMEA3468104,162673866,THE WELLCOME TRUST SANGER INSTITUTE,public,"sra,cram","s3,ena","s3.us-east-1,ena",2016-10-11,2016-10-11,2018-11-16,2018-03-09,ERX1749934,SAMEA3468104,SC,Wellcome Sanger Institute,2016-10-11T16:22:19Z,2018-03-09T10:16:52Z,public,Illumina HiSeq 2000,15088119,PAIRED,RANDOM,GENOMIC,Neisseria gonorrhoeae,ILLUMINA,2016-10-12T00:00:00Z,SAMEA3468104,GE13_079-sc-2287504,ERP010312,GE13-079,GE13_079-sc-2287504,GE13_079,ECDC_GE13_079,0,0,0,1,1,1,0,1
ERR1680318,Neisseria gonorrhoeae,WGS,BioProject23,250,848642000,PRJEB9227,SAMEA3468106,159405023,THE WELLCOME TRUST SANGER INSTITUTE,public,"sra,cram","s3,ena","ena,s3.us-east-1",2016-10-11,2016-10-11,2018-11-16,2018-03-09,ERX1749935,SAMEA3468106,SC,Wellcome Sanger Institute,2016-10-11T16:22:19Z,2018-03-09T10:15:46Z,public,Illumina HiSeq 2000,15088131,PAIRED,RANDOM,GENOMIC,Neisseria gonorrhoeae,ILLUMINA,2016-10-12T00:00:00Z,SAMEA3468106,GE13_081-sc-2287506,ERP010312,GE13-081,GE13_081-sc-2287506,GE13_081,ECDC_GE13_081,0,0,0,0,1,1,0,1
ERR1680319,Neisseria gonorrhoeae,WGS,BioProject23,250,936876750,PRJEB9227,SAMEA3468112,168980003,THE WELLCOME TRUST SANGER INSTITUTE,public,"sra,cram","s3,ena","ena,s3.us-east-1",2016-10-11,2016-10-11,2018-11-16,2018-03-09,ERX1749936,SAMEA3468112,SC,Wellcome Sanger Institute,2016-10-11T16:22:19Z,2018-03-09T10:15:46Z,public,Illumina HiSeq 2000,15088143,PAIRED,RANDOM,GENOMIC,Neisseria gonorrhoeae,ILLUMINA,2016-10-12T00:00:00Z,SAMEA3468112,GE13_087-sc-2287512,ERP010312,GE13-087,GE13_087-sc-2287512,GE13_087,ECDC_GE13_087,0,0,0,0,1,1,0,1
ERR1680320,Neisseria gonorrhoeae,WGS,BioProject23,250,905153250,PRJEB9227,SAMEA3468126,179436572,THE WELLCOME TRUST SANGER INSTITUTE,public,"sra,cram","s3,ena","ena,s3.us-east-1",2016-10-11,2016-10-11,2018-11-16,2018-03-09,ERX1749937,SAMEA3468126,SC,Wellcome Sanger Institute,2016-10-11T16:22:19Z,2018-03-09T10:18:27Z,public,Illumina HiSeq 2000,15088155,PAIRED,RANDOM,GENOMIC,Neisseria gonorrhoeae,ILLUMINA,2016-10-12T00:00:00Z,SAMEA3468126,GE13_096-sc-2287526,ERP010312,GE13-096,GE13_096-sc-2287526,GE13_096,ECDC_GE13_096,0,0,0,1,1,1,0,1
ERR1469560,Neisseria gonorrhoeae,WGS,BioProject23,250,344477000,PRJEB9227,SAMEA3373446,66242650,THE WELLCOME TRUST SANGER INSTITUTE,public,"cram,sra","s3,ena","s3.us-east-1,ena",2016-06-22,2016-06-22,2018-11-16,2018-03-09,ERX1540685,SAMEA3373446,SC,Wellcome Sanger Institute,2016-06-22T13:52:43Z,2018-03-09T13:22:53Z,public,Illumina HiSeq 2000,14202596,PAIRED,RANDOM,GENOMIC,Neisseria gonorrhoeae,ILLUMINA,2016-06-23T00:00:00Z,SAMEA3373446,ES001-sc-2286717,ERP010312,ES001,ES001-sc-2286717,ES001,ECDC_ES001,0,0,0,1,1,1,0,1
ERR1469561,Neisseria gonorrhoeae,WGS,BioProject23,250,489244750,PRJEB9227,SAMEA3373447,93446293,THE WELLCOME TRUST SANGER INSTITUTE,public,"cram,sra","s3,ena","ena,s3.us-east-1",2016-06-22,2016-06-22,2018-11-16,2018-03-09,ERX1540686,SAMEA3373447,SC,Wellcome Sanger Institute,2016-06-22T13:52:43Z,2018-03-09T13:23:44Z,public,Illumina HiSeq 2000,14202608,PAIRED,RANDOM,GENOMIC,Neisseria gonorrhoeae,ILLUMINA,2016-06-23T00:00:00Z,SAMEA3373447,ES002-sc-2286718,ERP010312,ES002,ES002-sc-2286718,ES002,ECDC_ES002,0,0,0,0,1,1,0,1
ERR1469562,Neisseria gonorrhoeae,WGS,BioProject23,250,737864250,PRJEB9227,SAMEA3373448,147152309,THE WELLCOME TRUST SANGER INSTITUTE,public,"sra,cram","s3,ena","s3.us-east-1,ena",2016-06-22,2016-06-22,2018-11-16,2018-03-09,ERX1540687,SAMEA3373448,SC,Wellcome Sanger Institute,2016-06-22T13:52:43Z,2018-03-09T13:22:59Z,public,Illumina HiSeq 2000,14202620,PAIRED,RANDOM,GENOMIC,Neisseria gonorrhoeae,ILLUMINA,2016-06-23T00:00:00Z,SAMEA3373448,ES003-sc-2286720,ERP010312,ES003,ES003-sc-2286720,ES003,ECDC_ES003,0,0,0,1,1,1,0,1
ERR1469563,Neisseria gonorrhoeae,WGS,BioProject23,250,2532292750,PRJEB9227,SAMEA3373450,483510859,THE WELLCOME TRUST SANGER INSTITUTE,public,"sra,cram","s3,ena","s3.us-east-1,ena",2016-06-22,2016-06-22,2018-11-16,2018-03-09,ERX1540688,SAMEA3373450,SC,Wellcome Sanger Institute,2016-06-22T13:52:43Z,2018-03-09T13:23:44Z,public,Illumina HiSeq 2000,14202644,PAIRED,RANDOM,GENOMIC,Neisseria gonorrhoeae,ILLUMINA,2016-06-23T00:00:00Z,SAMEA3373450,ES005-sc-2286724,ERP010312,ES005,ES005-sc-2286724,ES005,ECDC_ES005,0,0,1,1,1,1,0,1
ERR1469564,Neisseria gonorrhoeae,WGS,BioProject23,250,291995500,PRJEB9227,SAMEA3373452,55254350,THE WELLCOME TRUST SANGER INSTITUTE,public,"sra,cram","s3,ena","s3.us-east-1,ena",2016-06-22,2016-06-22,2018-11-16,2018-03-09,ERX1540689,SAMEA3373452,SC,Wellcome Sanger Institute,2016-06-22T13:52:43Z,2018-03-09T13:22:53Z,public,Illumina HiSeq 2000,14202668,PAIRED,RANDOM,GENOMIC,Neisseria gonorrhoeae,ILLUMINA,2016-06-23T00:00:00Z,SAMEA3373452,ES007-sc-2286729,ERP010312,ES007,ES007-sc-2286729,ES007,ECDC_ES007,0,0,0,1,1,1,0,1
