isolate_id,taxon_name,sample_name,AMC,AMI,AMP,AMS,AMX,AZT,CAZ,CEP,CFZ,CHL,CIP,CL,CLI,CRO,CTX,CXM,DOR,DOX,ERP,ERY,FA,FEP,FOX,GEN,IMI,KAN,LEV,MET,MIN,MRP,NAL,NIT,NMN,OFL,OXA,PEN,PTZ,RIF,SIZ,SPT,STR,SXT,TCC,TET,TGC,TMP,TOB,study_accession,secondary_sample_accession,experiment_accession,run_accession,tax_id,scientific_name,fastq_ftp,submitted_ftp,sra_ftp
120755,Acinetobacter baumannii,SAMN00114925,R,I,R,NA,NA,R,R,NA,R,NA,R,NA,NA,R,NA,NA,NA,NA,R,NA,NA,I,NA,R,S,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,R,PRJNA53387,SRS116458,SRX027593,SRR067595,903894,Acinetobacter baumannii OIFC189,ftp.sra.ebi.ac.uk/vol1/fastq/SRR067/SRR067595/SRR067595.fastq.gz,NA,ftp.sra.ebi.ac.uk/vol1/srr/SRR067/SRR067595
120756,Acinetobacter baumannii,SAMN00114927,R,R,R,NA,NA,R,R,NA,R,NA,R,NA,NA,R,NA,NA,NA,NA,R,NA,NA,R,NA,R,R,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,R,PRJNA53393,SRS116460,SRX027595,SRR067597,903897,Acinetobacter baumannii Naval-18,ftp.sra.ebi.ac.uk/vol1/fastq/SRR067/SRR067597/SRR067597.fastq.gz,NA,ftp.sra.ebi.ac.uk/vol1/srr/SRR067/SRR067597
120756,Acinetobacter baumannii,SAMN00114927,R,R,R,NA,NA,R,R,NA,R,NA,R,NA,NA,R,NA,NA,NA,NA,R,NA,NA,R,NA,R,R,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,R,PRJNA53393,SRS116460,SRX027595,SRR073130,903897,Acinetobacter baumannii Naval-18,ftp.sra.ebi.ac.uk/vol1/fastq/SRR073/SRR073130/SRR073130.fastq.gz,NA,ftp.sra.ebi.ac.uk/vol1/srr/SRR073/SRR073130
120757,Acinetobacter baumannii,SAMN00114928,R,R,R,NA,NA,R,S,NA,R,NA,R,NA,NA,I,NA,NA,NA,NA,NA,NA,NA,S,NA,R,S,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,R,PRJNA53395,SRS116461,SRX027596,SRR067599,903898,Acinetobacter baumannii Naval-81,ftp.sra.ebi.ac.uk/vol1/fastq/SRR067/SRR067599/SRR067599.fastq.gz,NA,ftp.sra.ebi.ac.uk/vol1/srr/SRR067/SRR067599
120757,Acinetobacter baumannii,SAMN00114928,R,R,R,NA,NA,R,S,NA,R,NA,R,NA,NA,I,NA,NA,NA,NA,NA,NA,NA,S,NA,R,S,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,R,PRJNA53395,SRS116461,SRX027596,SRR073131,903898,Acinetobacter baumannii Naval-81,ftp.sra.ebi.ac.uk/vol1/fastq/SRR073/SRR073131/SRR073131.fastq.gz,NA,ftp.sra.ebi.ac.uk/vol1/srr/SRR073/SRR073131
120846,Acinetobacter baumannii,SAMN00761203,R,S,R,NA,NA,R,R,NA,R,NA,R,NA,NA,R,NA,NA,NA,NA,R,NA,NA,R,NA,S,S,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,S,PRJNA53401,SRS281410,SRX110040,SRR387244,903901,Acinetobacter baumannii OIFC074,ftp.sra.ebi.ac.uk/vol1/fastq/SRR387/SRR387244/SRR387244_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR387/SRR387244/SRR387244_2.fastq.gz,NA,ftp.sra.ebi.ac.uk/vol1/srr/SRR387/SRR387244
120847,Acinetobacter baumannii,SAMN00761214,NA,S,NA,NA,NA,NA,R,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,S,NA,S,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,PRJNA53425,SRS281421,SRX110090,SRR387295,903913,Acinetobacter baumannii WC-692,ftp.sra.ebi.ac.uk/vol1/fastq/SRR387/SRR387295/SRR387295_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR387/SRR387295/SRR387295_2.fastq.gz,NA,ftp.sra.ebi.ac.uk/vol1/srr/SRR387/SRR387295
120848,Acinetobacter baumannii,SAMN00761216,R,S,R,NA,NA,R,R,NA,R,NA,S,NA,NA,R,NA,NA,NA,NA,R,NA,NA,R,NA,R,R,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,NA,NA,I,PRJNA53453,SRS281423,SRX110092,SRR387297,903927,Acinetobacter baumannii Naval-57,ftp.sra.ebi.ac.uk/vol1/fastq/SRR387/SRR387297/SRR387297_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR387/SRR387297/SRR387297_2.fastq.gz,NA,ftp.sra.ebi.ac.uk/vol1/srr/SRR387/SRR387297
120850,Acinetobacter baumannii,SAMN00761220,R,R,R,NA,NA,R,R,NA,R,NA,R,NA,NA,R,NA,NA,NA,NA,R,NA,NA,R,NA,R,S,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,R,PRJNA53407,SRS281427,SRX110096,SRR387301,903904,Acinetobacter baumannii Naval-13,ftp.sra.ebi.ac.uk/vol1/fastq/SRR387/SRR387301/SRR387301_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR387/SRR387301/SRR387301_2.fastq.gz,NA,ftp.sra.ebi.ac.uk/vol1/srr/SRR387/SRR387301
120851,Acinetobacter baumannii,SAMN00761221,NA,R,R,NA,NA,R,R,NA,R,NA,R,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,I,NA,I,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,NA,NA,R,PRJNA53409,SRS281428,SRX110097,SRR387302,903905,Acinetobacter baumannii IS-235,ftp.sra.ebi.ac.uk/vol1/fastq/SRR387/SRR387302/SRR387302_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR387/SRR387302/SRR387302_2.fastq.gz,NA,ftp.sra.ebi.ac.uk/vol1/srr/SRR387/SRR387302
