isolate_id,taxon_name,sample_name,AMC,AMI,AMP,AMS,AMX,AZT,CAZ,CEP,CFZ,CHL,CIP,CL,CLI,CRO,CTX,CXM,DOR,DOX,ERP,ERY,FA,FEP,FOX,GEN,IMI,KAN,LEV,MET,MIN,MRP,NAL,NIT,NMN,OFL,OXA,PEN,PTZ,RIF,SIZ,SPT,STR,SXT,TCC,TET,TGC,TMP,TOB,run_accession
114115,Staphylococcus aureus,SAMEA2335097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,S,S,NA,NA,S,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,R,NA,S,NA,NA,NA,NA,NA,S,NA,NA,NA,ERR410062
114116,Staphylococcus aureus,SAMEA2335098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,S,S,NA,NA,S,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,S,NA,S,NA,NA,NA,NA,NA,S,NA,NA,NA,ERR410063
114117,Staphylococcus aureus,SAMEA2335099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,S,S,NA,NA,S,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,S,NA,S,NA,NA,NA,NA,NA,S,NA,NA,NA,ERR410064
114118,Staphylococcus aureus,SAMEA2335100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,S,S,NA,NA,S,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,S,NA,S,NA,NA,NA,NA,NA,S,NA,NA,NA,ERR410065
114119,Staphylococcus aureus,SAMEA2335101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,S,S,NA,NA,S,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,R,NA,S,NA,NA,NA,NA,NA,S,NA,NA,NA,ERR410066
114120,Staphylococcus aureus,SAMEA2335102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,S,S,NA,NA,S,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,R,NA,S,NA,NA,NA,NA,NA,S,NA,NA,NA,ERR410067
114121,Staphylococcus aureus,SAMEA2335103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,S,S,NA,NA,S,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,S,NA,S,NA,NA,NA,NA,NA,S,NA,NA,NA,ERR410068
114122,Staphylococcus aureus,SAMEA2335104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,S,R,NA,NA,S,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,R,NA,S,NA,NA,NA,NA,NA,S,NA,NA,NA,ERR410069
114123,Staphylococcus aureus,SAMEA2335105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,S,S,NA,NA,S,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,S,NA,S,NA,NA,NA,NA,NA,S,NA,NA,NA,ERR410070
114124,Staphylococcus aureus,SAMEA2335106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,S,S,NA,NA,S,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,R,NA,S,NA,NA,NA,NA,NA,S,NA,NA,NA,ERR410071
