run_accession,study_accession,Sample,tax_id,scientific_name,submitted_ftp,Isolate,Supplier (Geographic origin),TOB,MIC*,CIP,MIC*2,MEM,MIC*3,CAZ,MIC*4
SRR8737442,PRJNA526797,SAMN11110646,287,Pseudomonas aeruginosa,NA,MHH14990,Hannover Medical School (Hanover),S,0.25,S,0.5,S,1,I,16
SRR8737443,PRJNA526797,SAMN11110647,287,Pseudomonas aeruginosa,NA,MHH15015,Hannover Medical School (Hanover),S,1,S,0.25,S,2,S,2
SRR8737444,PRJNA526797,SAMN11110397,287,Pseudomonas aeruginosa,NA,CH4035,Charité Berlin (Berlin),R,512,R,4,I,4,R,128
SRR8737445,PRJNA526797,SAMN11110396,287,Pseudomonas aeruginosa,NA,CH3906,Charité Berlin (Berlin),S,2,S,0.5,S,2,S,8
SRR8737446,PRJNA526797,SAMN11110399,287,Pseudomonas aeruginosa,NA,CH4411,Charité Berlin (Berlin),R,256,R,8,S,1,R,64
SRR8737447,PRJNA526797,SAMN11110398,287,Pseudomonas aeruginosa,NA,CH4083,Charité Berlin (Berlin),S,1,S,1,R,32,I,16
SRR8737448,PRJNA526797,SAMN11110393,287,Pseudomonas aeruginosa,NA,CH3648,Charité Berlin (Berlin),R,64,R,16,S,2,R,128
SRR8737449,PRJNA526797,SAMN11110392,287,Pseudomonas aeruginosa,NA,CH3613,Charité Berlin (Berlin),R,128,R,16,R,64,R,32
SRR8737450,PRJNA526797,SAMN11110395,287,Pseudomonas aeruginosa,NA,CH3882,Charité Berlin (Berlin),S,1,R,4,I,4,S,8
SRR8737451,PRJNA526797,SAMN11110394,287,Pseudomonas aeruginosa,NA,CH3797,Charité Berlin (Berlin),S,2,R,16,R,64,I,16
SRR8737452,PRJNA526797,SAMN11110401,287,Pseudomonas aeruginosa,NA,CH4433,Charité Berlin (Berlin),R,512,R,8,S,1,R,128
SRR8737453,PRJNA526797,SAMN11110400,287,Pseudomonas aeruginosa,NA,CH4418,Charité Berlin (Berlin),S,0.5,S,0.25,S,1,I,16
SRR8737454,PRJNA526797,SAMN11110481,287,Pseudomonas aeruginosa,NA,ESP021,University Hospital Palma de Mallorca (Spain),S,1,S,0.125,S,0.25,S,2
SRR8737455,PRJNA526797,SAMN11110480,287,Pseudomonas aeruginosa,NA,ESP020,University Hospital Palma de Mallorca (Spain),S,1,S,0.125,S,0.25,S,2
SRR8737456,PRJNA526797,SAMN11110479,287,Pseudomonas aeruginosa,NA,ESP015,University Hospital Palma de Mallorca (Spain),S,4,S,0.5,S,0.25,S,4
SRR8737457,PRJNA526797,SAMN11110478,287,Pseudomonas aeruginosa,NA,ESP013,University Hospital Palma de Mallorca (Spain),R,16,S,1,S,0.25,S,8
SRR8737458,PRJNA526797,SAMN11110477,287,Pseudomonas aeruginosa,NA,ESP012,University Hospital Palma de Mallorca (Spain),R,64,S,1,S,0.5,R,256
SRR8737459,PRJNA526797,SAMN11110476,287,Pseudomonas aeruginosa,NA,ESP011,University Hospital Palma de Mallorca (Spain),S,0.25,S,0.5,S,0.5,S,1
SRR8737460,PRJNA526797,SAMN11110475,287,Pseudomonas aeruginosa,ftp.sra.ebi.ac.uk/vol1/run/SRR873/SRR8737460/ESP009.bam;ftp.sra.ebi.ac.uk/vol1/run/SRR873/SRR8737460/ESP009.bam.bai,ESP009,University Hospital Palma de Mallorca (Spain),S,2,I,2,S,1,S,8
SRR8737461,PRJNA526797,SAMN11110625,287,Pseudomonas aeruginosa,NA,M70565897,University Hospital Muenster (Muenster),S,1,I,2,R,8,R,128
SRR8737462,PRJNA526797,SAMN11110624,287,Pseudomonas aeruginosa,NA,M70565254,University Hospital Muenster (Muenster),S,1,S,0.5,R,16,R,32
SRR8737463,PRJNA526797,SAMN11110623,287,Pseudomonas aeruginosa,NA,M70564993,University Hospital Muenster (Muenster),S,0.5,I,2,R,32,I,16
SRR8737464,PRJNA526797,SAMN11110622,287,Pseudomonas aeruginosa,NA,M70563004,University Hospital Muenster (Muenster),S,1,S,1,R,32,R,128
SRR8737465,PRJNA526797,SAMN11110631,287,Pseudomonas aeruginosa,NA,M70640096,University Hospital Muenster (Muenster),S,0.25,S,0.25,R,16,S,4
SRR8737466,PRJNA526797,SAMN11110630,287,Pseudomonas aeruginosa,NA,M70639645,University Hospital Muenster (Muenster),S,2,S,1,R,16,I,16
SRR8737467,PRJNA526797,SAMN11110364,287,Pseudomonas aeruginosa,NA,CH2706,Charité Berlin (Berlin),R,256,R,32,R,256,R,512
SRR8737468,PRJNA526797,SAMN11110603,287,Pseudomonas aeruginosa,NA,F2097,University Hospital Frankfurt (Frankfurt),R,256,R,32,R,512,R,1024
SRR8737469,PRJNA526797,SAMN11110711,287,Pseudomonas aeruginosa,NA,Vb3320,University Hospital Essen (Essen),S,0.5,I,2,R,16,R,64
SRR8737470,PRJNA526797,SAMN11110513,287,Pseudomonas aeruginosa,NA,ESP066,University Hospital Palma de Mallorca (Spain),S,4,R,32,I,4,S,4
SRR8737471,PRJNA526797,SAMN11110512,287,Pseudomonas aeruginosa,NA,ESP064,University Hospital Palma de Mallorca (Spain),R,256,R,32,R,64,R,128
SRR8737472,PRJNA526797,SAMN11110366,287,Pseudomonas aeruginosa,NA,CH2713,Charité Berlin (Berlin),S,1,S,1,R,16,S,8
SRR8737473,PRJNA526797,SAMN11110702,287,Pseudomonas aeruginosa,NA,PSAE1970,University of Freiburg (Regensburg),S,0.25,I,2,I,4,S,4
SRR8737474,PRJNA526797,SAMN11110515,287,Pseudomonas aeruginosa,NA,ESP068,University Hospital Palma de Mallorca (Spain),R,128,R,32,R,128,R,64
SRR8737475,PRJNA526797,SAMN11110514,287,Pseudomonas aeruginosa,NA,ESP067,University Hospital Palma de Mallorca (Spain),S,1,S,0.25,R,8,S,8
SRR8737476,PRJNA526797,SAMN11110560,287,Pseudomonas aeruginosa,NA,F1800,University Hospital Frankfurt (Frankfurt),S,0.25,S,1,I,4,I,16
SRR8737477,PRJNA526797,SAMN11110561,287,Pseudomonas aeruginosa,NA,F1801,University Hospital Frankfurt (Frankfurt),S,0.5,R,16,R,8,R,32
SRR8737478,PRJNA526797,SAMN11110519,287,Pseudomonas aeruginosa,NA,ESP072,University Hospital Palma de Mallorca (Spain),S,1,S,0.5,R,32,R,32
SRR8737479,PRJNA526797,SAMN11110518,287,Pseudomonas aeruginosa,NA,ESP071,University Hospital Palma de Mallorca (Spain),I,8,R,32,I,4,S,8
SRR8737480,PRJNA526797,SAMN11110517,287,Pseudomonas aeruginosa,NA,ESP070,University Hospital Palma de Mallorca (Spain),S,4,R,16,R,8,R,64
SRR8737481,PRJNA526797,SAMN11110516,287,Pseudomonas aeruginosa,NA,ESP069,University Hospital Palma de Mallorca (Spain),R,128,R,64,R,64,R,64
SRR8737482,PRJNA526797,SAMN11110554,287,Pseudomonas aeruginosa,NA,F1775,University Hospital Frankfurt (Frankfurt),S,0.5,R,16,R,16,R,64
SRR8737483,PRJNA526797,SAMN11110555,287,Pseudomonas aeruginosa,NA,F1787,University Hospital Frankfurt (Frankfurt),R,64,R,32,R,16,R,32
SRR8737484,PRJNA526797,SAMN11110552,287,Pseudomonas aeruginosa,NA,F1763,University Hospital Frankfurt (Frankfurt),R,512,R,16,S,1,R,64
SRR8737485,PRJNA526797,SAMN11110464,287,Pseudomonas aeruginosa,NA,CH5596,Charité Berlin (Berlin),S,1,S,0.5,R,16,S,8
SRR8737486,PRJNA526797,SAMN11110465,287,Pseudomonas aeruginosa,NA,CH5597,Charité Berlin (Berlin),S,1,S,1,R,32,I,16
SRR8737487,PRJNA526797,SAMN11110462,287,Pseudomonas aeruginosa,NA,CH5551,Charité Berlin (Berlin),R,256,R,16,R,16,I,16
SRR8737488,PRJNA526797,SAMN11110463,287,Pseudomonas aeruginosa,NA,CH5591,Charité Berlin (Berlin),R,64,R,16,R,8,R,512
SRR8737489,PRJNA526797,SAMN11110424,287,Pseudomonas aeruginosa,NA,CH4766,Charité Berlin (Berlin),S,1,I,2,R,32,R,128
SRR8737490,PRJNA526797,SAMN11110425,287,Pseudomonas aeruginosa,NA,CH4780,Charité Berlin (Berlin),S,2,R,32,R,8,R,64
SRR8737491,PRJNA526797,SAMN11110471,287,Pseudomonas aeruginosa,NA,ESP002,University Hospital Palma de Mallorca (Spain),S,2,S,0.5,S,0.125,R,64
SRR8737492,PRJNA526797,SAMN11110361,287,Pseudomonas aeruginosa,NA,CH2698,Charité Berlin (Berlin),R,64,R,8,R,8,S,4
SRR8737493,PRJNA526797,SAMN11110360,287,Pseudomonas aeruginosa,NA,CH2690,Charité Berlin (Berlin),S,2,S,1,S,1,S,8
SRR8737494,PRJNA526797,SAMN11110353,287,Pseudomonas aeruginosa,NA,CH2675,Charité Berlin (Berlin),R,1024,R,32,R,128,I,16
SRR8737495,PRJNA526797,SAMN11110352,287,Pseudomonas aeruginosa,NA,CH2674,Charité Berlin (Berlin),R,256,R,64,R,16,I,16
SRR8737496,PRJNA526797,SAMN11110355,287,Pseudomonas aeruginosa,NA,CH2678,Charité Berlin (Berlin),S,4,R,16,S,0.125,S,8
SRR8737497,PRJNA526797,SAMN11110354,287,Pseudomonas aeruginosa,NA,CH2677,Charité Berlin (Berlin),S,0.25,R,64,R,8,S,8
SRR8737498,PRJNA526797,SAMN11110357,287,Pseudomonas aeruginosa,NA,CH2682,Charité Berlin (Berlin),S,2,S,0.5,R,32,I,16
SRR8737499,PRJNA526797,SAMN11110356,287,Pseudomonas aeruginosa,NA,CH2680,Charité Berlin (Berlin),S,1,S,1,S,1,I,16
SRR8737500,PRJNA526797,SAMN11110359,287,Pseudomonas aeruginosa,NA,CH2687,Charité Berlin (Berlin),S,1,R,16,R,16,S,4
SRR8737501,PRJNA526797,SAMN11110358,287,Pseudomonas aeruginosa,NA,CH2685,Charité Berlin (Berlin),S,2,S,0.5,R,16,S,8
SRR8737502,PRJNA526797,SAMN11110430,287,Pseudomonas aeruginosa,NA,CH4877,Charité Berlin (Berlin),R,256,R,16,R,16,R,512
SRR8737503,PRJNA526797,SAMN11110431,287,Pseudomonas aeruginosa,NA,CH4878,Charité Berlin (Berlin),S,0.5,S,1,I,4,R,64
SRR8737504,PRJNA526797,SAMN11110724,287,Pseudomonas aeruginosa,NA,ZG302383,Private practice laboratory (Goerlitz),S,0.5,S,1,S,0.25,S,1
SRR8737505,PRJNA526797,SAMN11110725,287,Pseudomonas aeruginosa,NA,ZG302431,Private practice laboratory (Goerlitz),S,1,S,0.125,S,0.25,S,2
SRR8737506,PRJNA526797,SAMN11110722,287,Pseudomonas aeruginosa,NA,ZG302368,Private practice laboratory (Goerlitz),S,0.5,S,0.06,S,0.5,S,2
SRR8737507,PRJNA526797,SAMN11110723,287,Pseudomonas aeruginosa,NA,ZG302370,Private practice laboratory (Goerlitz),S,1,R,32,S,1,S,1
SRR8737508,PRJNA526797,SAMN11110728,287,Pseudomonas aeruginosa,NA,ZG302451,Private practice laboratory (Goerlitz),S,1,S,0.125,S,0.25,S,1
SRR8737509,PRJNA526797,SAMN11110653,287,Pseudomonas aeruginosa,NA,MHH1525,Hannover Medical School (Hanover),R,128,R,4,I,4,R,32
SRR8737510,PRJNA526797,SAMN11110652,287,Pseudomonas aeruginosa,NA,MHH15204,Hannover Medical School (Hanover),S,0.5,I,2,R,8,S,8
SRR8737511,PRJNA526797,SAMN11110390,287,Pseudomonas aeruginosa,NA,CH3549,Charité Berlin (Berlin),S,0.5,S,1,I,4,S,8
SRR8737512,PRJNA526797,SAMN11110391,287,Pseudomonas aeruginosa,NA,CH3570,Charité Berlin (Berlin),R,128,R,64,S,2,R,32
SRR8737513,PRJNA526797,SAMN11110382,287,Pseudomonas aeruginosa,NA,CH2939,Charité Berlin (Berlin),S,2,S,0.125,S,0.25,S,3
