run_accession,study_accession,Sample,tax_id,scientific_name,submitted_ftp,Isolate,Supplier (Geographic origin),TOB,MIC*,CIP,MIC*2,MEM,MIC*3,CAZ,MIC*4
SRR8737281,PRJNA526797,SAMN11110719,287,Pseudomonas aeruginosa,NA,ZG301975,Private practice laboratory (Goerlitz),S,1,S,0.5,R,8,I,16
SRR8737282,PRJNA526797,SAMN11110718,287,Pseudomonas aeruginosa,NA,ZG205864,Private practice laboratory (Goerlitz),R,128,R,16,I,4,R,32
SRR8737283,PRJNA526797,SAMN11110721,287,Pseudomonas aeruginosa,NA,ZG302367,Private practice laboratory (Goerlitz),S,1,S,0.125,S,0.25,S,2
SRR8737284,PRJNA526797,SAMN11110720,287,Pseudomonas aeruginosa,NA,ZG302359,Private practice laboratory (Goerlitz),S,0.5,S,0.06,S,1,S,1
SRR8737285,PRJNA526797,SAMN11110690,287,Pseudomonas aeruginosa,NA,PSAE1647,University of Freiburg (Munich),S,1,I,2,I,4,S,1
SRR8737286,PRJNA526797,SAMN11110691,287,Pseudomonas aeruginosa,NA,PSAE1649,University of Freiburg (Munich),S,0.125,S,0.25,S,2,S,1
SRR8737287,PRJNA526797,SAMN11110672,287,Pseudomonas aeruginosa,NA,MHH17441,Hannover Medical School (Hanover),R,128,R,32,R,16,R,32
SRR8737288,PRJNA526797,SAMN11110703,287,Pseudomonas aeruginosa,NA,PSAE1975,University of Freiburg (Regensburg),S,4,S,0.5,R,32,S,8
SRR8737289,PRJNA526797,SAMN11110501,287,Pseudomonas aeruginosa,NA,ESP046,University Hospital Palma de Mallorca (Spain),S,2,S,0.125,S,0.25,S,2
SRR8737290,PRJNA526797,SAMN11110696,287,Pseudomonas aeruginosa,ftp.sra.ebi.ac.uk/vol1/run/SRR873/SRR8737290/PSAE1745.bam.bai,PSAE1745,University of Freiburg (Munich),R,64,R,4,I,4,S,4
SRR8737291,PRJNA526797,SAMN11110743,287,Pseudomonas aeruginosa,NA,ZG8038581181,Private practice laboratory (Chemnitz),R,1,R,8,R,8,R,64
SRR8737292,PRJNA526797,SAMN11110742,287,Pseudomonas aeruginosa,NA,ZG8006959,Private practice laboratory (Leipzig),R,128,R,16,R,64,R,128
SRR8737293,PRJNA526797,SAMN11110745,287,Pseudomonas aeruginosa,NA,ZG8525123,Private practice laboratory (Leipzig),R,64,R,16,R,16,R,128
SRR8737294,PRJNA526797,SAMN11110744,287,Pseudomonas aeruginosa,NA,ZG8510487,Private practice laboratory (Leipzig),R,256,R,32,R,64,R,128
SRR8737295,PRJNA526797,SAMN11110531,287,Pseudomonas aeruginosa,NA,ESP088,University Hospital Palma de Mallorca (Spain),R,256,R,256,R,8,R,64
SRR8737296,PRJNA526797,SAMN11110450,287,Pseudomonas aeruginosa,NA,CH5356,Charité Berlin (Berlin),R,256,R,16,S,2,S,4
SRR8737297,PRJNA526797,SAMN11110451,287,Pseudomonas aeruginosa,NA,CH5362,Charité Berlin (Berlin),S,0.25,I,2,I,4,S,1
SRR8737298,PRJNA526797,SAMN11110446,287,Pseudomonas aeruginosa,NA,CH5267,Charité Berlin (Berlin),S,0.5,S,0.5,R,8,I,16
SRR8737299,PRJNA526797,SAMN11110447,287,Pseudomonas aeruginosa,NA,CH5291,Charité Berlin (Berlin),S,1,S,0.5,R,8,R,32
SRR8737300,PRJNA526797,SAMN11110448,287,Pseudomonas aeruginosa,NA,CH5334,Charité Berlin (Berlin),S,0.5,R,4,R,8,S,2
SRR8737301,PRJNA526797,SAMN11110449,287,Pseudomonas aeruginosa,NA,CH5353,Charité Berlin (Berlin),S,0.5,S,0.06,R,8,I,16
SRR8737302,PRJNA526797,SAMN11110442,287,Pseudomonas aeruginosa,ftp.sra.ebi.ac.uk/vol1/run/SRR873/SRR8737302/CH5182.bam;ftp.sra.ebi.ac.uk/vol1/run/SRR873/SRR8737302/CH5182.bam.bai,CH5182,Charité Berlin (Berlin),S,1,I,2,R,16,R,32
SRR8737303,PRJNA526797,SAMN11110443,287,Pseudomonas aeruginosa,NA,CH5193,Charité Berlin (Berlin),R,1024,R,32,S,1,R,128
SRR8737304,PRJNA526797,SAMN11110444,287,Pseudomonas aeruginosa,NA,CH5206,Charité Berlin (Berlin),S,0.5,S,1,S,0.5,R,32
SRR8737305,PRJNA526797,SAMN11110445,287,Pseudomonas aeruginosa,NA,CH5262,Charité Berlin (Berlin),S,0.5,S,1,S,2,S,8
SRR8737306,PRJNA526797,SAMN11110661,287,Pseudomonas aeruginosa,NA,MHH16427,Hannover Medical School (Hanover),S,1,I,2,R,16,I,16
SRR8737307,PRJNA526797,SAMN11110660,287,Pseudomonas aeruginosa,NA,MHH16379,Hannover Medical School (Hanover),S,1,S,0.5,R,8,S,4
SRR8737308,PRJNA526797,SAMN11110659,287,Pseudomonas aeruginosa,NA,MHH16371,Hannover Medical School (Hanover),S,0.25,R,4,S,2,I,16
SRR8737309,PRJNA526797,SAMN11110658,287,Pseudomonas aeruginosa,NA,MHH16208,Hannover Medical School (Hanover),S,1,I,2,R,16,I,16
SRR8737310,PRJNA526797,SAMN11110657,287,Pseudomonas aeruginosa,NA,MHH16050,Hannover Medical School (Hanover),S,4,S,1,R,128,R,256
SRR8737311,PRJNA526797,SAMN11110656,287,Pseudomonas aeruginosa,NA,MHH15817,Hannover Medical School (Hanover),S,1,I,2,S,0.5,R,32
SRR8737312,PRJNA526797,SAMN11110655,287,Pseudomonas aeruginosa,NA,MHH15280,Hannover Medical School (Hanover),S,1,S,0.125,I,4,S,2
SRR8737313,PRJNA526797,SAMN11110654,287,Pseudomonas aeruginosa,NA,MHH15275,Hannover Medical School (Hanover),R,32,R,8,S,2,S,4
SRR8737314,PRJNA526797,SAMN11110583,287,Pseudomonas aeruginosa,NA,F2017,University Hospital Frankfurt (Frankfurt),S,1,R,32,R,16,S,4
SRR8737315,PRJNA526797,SAMN11110582,287,Pseudomonas aeruginosa,NA,F2010,University Hospital Frankfurt (Frankfurt),S,1,R,16,R,8,R,32
SRR8737316,PRJNA526797,SAMN11110589,287,Pseudomonas aeruginosa,NA,F2040,University Hospital Frankfurt (Frankfurt),R,256,R,32,R,512,R,1024
SRR8737317,PRJNA526797,SAMN11110588,287,Pseudomonas aeruginosa,NA,F2035,University Hospital Frankfurt (Frankfurt),S,2,I,2,R,16,S,4
SRR8737318,PRJNA526797,SAMN11110587,287,Pseudomonas aeruginosa,NA,F2034,University Hospital Frankfurt (Frankfurt),S,0.5,R,64,I,4,S,4
SRR8737319,PRJNA526797,SAMN11110586,287,Pseudomonas aeruginosa,NA,F2030,University Hospital Frankfurt (Frankfurt),R,128,R,16,I,4,S,1
SRR8737320,PRJNA526797,SAMN11110490,287,Pseudomonas aeruginosa,NA,ESP032,University Hospital Palma de Mallorca (Spain),S,2,S,0.25,S,0.5,S,2
SRR8737321,PRJNA526797,SAMN11110491,287,Pseudomonas aeruginosa,NA,ESP033,University Hospital Palma de Mallorca (Spain),S,2,S,0.125,S,0.125,S,2
SRR8737322,PRJNA526797,SAMN11110495,287,Pseudomonas aeruginosa,NA,ESP037,University Hospital Palma de Mallorca (Spain),S,2,S,0.5,S,1,S,4
SRR8737323,PRJNA526797,SAMN11110534,287,Pseudomonas aeruginosa,NA,F1688,University Hospital Frankfurt (Frankfurt),S,0.5,R,32,R,8,R,64
SRR8737324,PRJNA526797,SAMN11110535,287,Pseudomonas aeruginosa,NA,F1689,University Hospital Frankfurt (Frankfurt),S,0.5,R,16,R,32,R,64
SRR8737325,PRJNA526797,SAMN11110540,287,Pseudomonas aeruginosa,NA,F1727,University Hospital Frankfurt (Frankfurt),S,0.25,S,1,R,16,R,32
SRR8737326,PRJNA526797,SAMN11110541,287,Pseudomonas aeruginosa,NA,F1741,University Hospital Frankfurt (Frankfurt),R,128,R,32,R,512,R,1024
SRR8737327,PRJNA526797,SAMN11110620,287,Pseudomonas aeruginosa,NA,F2236,University Hospital Frankfurt (Frankfurt),S,1,S,0.25,I,4,R,64
SRR8737328,PRJNA526797,SAMN11110621,287,Pseudomonas aeruginosa,NA,F2240,University Hospital Frankfurt (Frankfurt),R,128,R,128,R,16,R,128
SRR8737329,PRJNA526797,SAMN11110612,287,Pseudomonas aeruginosa,NA,F2172,University Hospital Frankfurt (Frankfurt),S,0.5,I,2,R,16,I,16
SRR8737330,PRJNA526797,SAMN11110613,287,Pseudomonas aeruginosa,NA,F2176,University Hospital Frankfurt (Frankfurt),R,128,R,8,I,4,S,8
SRR8737331,PRJNA526797,SAMN11110614,287,Pseudomonas aeruginosa,NA,F2199,University Hospital Frankfurt (Frankfurt),R,128,R,128,R,16,R,128
SRR8737332,PRJNA526797,SAMN11110615,287,Pseudomonas aeruginosa,NA,F2205,University Hospital Frankfurt (Frankfurt),S,1,S,1,I,4,I,16
SRR8737333,PRJNA526797,SAMN11110616,287,Pseudomonas aeruginosa,NA,F2208,University Hospital Frankfurt (Frankfurt),R,128,R,16,R,8,I,16
SRR8737334,PRJNA526797,SAMN11110617,287,Pseudomonas aeruginosa,NA,F2230,University Hospital Frankfurt (Frankfurt),S,0.5,R,4,R,8,R,64
SRR8737335,PRJNA526797,SAMN11110618,287,Pseudomonas aeruginosa,NA,F2234,University Hospital Frankfurt (Frankfurt),S,1,R,64,R,16,R,128
SRR8737336,PRJNA526797,SAMN11110619,287,Pseudomonas aeruginosa,NA,F2235,University Hospital Frankfurt (Frankfurt),R,128,R,32,R,16,R,32
SRR8737337,PRJNA526797,SAMN11110340,287,Pseudomonas aeruginosa,NA,CH2582,Charité Berlin (Berlin),S,0.5,R,4,I,4,S,1
SRR8737338,PRJNA526797,SAMN11110650,287,Pseudomonas aeruginosa,NA,MHH15151,Hannover Medical School (Hanover),S,2,S,1,R,16,S,8
SRR8737339,PRJNA526797,SAMN11110651,287,Pseudomonas aeruginosa,NA,MHH15187,Hannover Medical School (Hanover),S,0.5,S,0.125,S,0.5,I,16
SRR8737340,PRJNA526797,SAMN11110644,287,Pseudomonas aeruginosa,NA,MHH14911,Hannover Medical School (Hanover),S,0.25,S,0.06,I,4,I,16
SRR8737341,PRJNA526797,SAMN11110403,287,Pseudomonas aeruginosa,NA,CH4443,Charité Berlin (Berlin),R,256,R,8,S,1,R,64
SRR8737342,PRJNA526797,SAMN11110410,287,Pseudomonas aeruginosa,NA,CH4549,Charité Berlin (Berlin),S,0.5,S,0.06,I,4,S,8
SRR8737343,PRJNA526797,SAMN11110411,287,Pseudomonas aeruginosa,NA,CH4560,Charité Berlin (Berlin),R,512,R,64,R,64,R,512
SRR8737344,PRJNA526797,SAMN11110510,287,Pseudomonas aeruginosa,NA,ESP061,University Hospital Palma de Mallorca (Spain),R,128,R,128,R,8,I,16
SRR8737345,PRJNA526797,SAMN11110511,287,Pseudomonas aeruginosa,NA,ESP063,University Hospital Palma de Mallorca (Spain),R,128,R,256,R,8,I,16
SRR8737346,PRJNA526797,SAMN11110504,287,Pseudomonas aeruginosa,NA,ESP053,University Hospital Palma de Mallorca (Spain),R,128,R,16,R,8,S,8
SRR8737347,PRJNA526797,SAMN11110505,287,Pseudomonas aeruginosa,NA,ESP055,University Hospital Palma de Mallorca (Spain),S,1,S,1,R,8,S,8
SRR8737348,PRJNA526797,SAMN11110502,287,Pseudomonas aeruginosa,NA,ESP047,University Hospital Palma de Mallorca (Spain),R,128,R,128,I,4,I,16
SRR8737349,PRJNA526797,SAMN11110503,287,Pseudomonas aeruginosa,NA,ESP050,University Hospital Palma de Mallorca (Spain),S,2,R,8,S,1,S,4
SRR8737350,PRJNA526797,SAMN11110508,287,Pseudomonas aeruginosa,NA,ESP059,University Hospital Palma de Mallorca (Spain),S,2,R,8,R,32,I,16
SRR8737351,PRJNA526797,SAMN11110509,287,Pseudomonas aeruginosa,NA,ESP060,University Hospital Palma de Mallorca (Spain),R,32,S,0.06,R,32,I,16
SRR8737352,PRJNA526797,SAMN11110506,287,Pseudomonas aeruginosa,NA,ESP057,University Hospital Palma de Mallorca (Spain),S,0.5,I,2,I,4,S,8
SRR8737353,PRJNA526797,SAMN11110507,287,Pseudomonas aeruginosa,NA,ESP058,University Hospital Palma de Mallorca (Spain),S,1,S,0.25,S,1,I,16
SRR8737354,PRJNA526797,SAMN11110607,287,Pseudomonas aeruginosa,NA,F2137,University Hospital Frankfurt (Frankfurt),S,2,R,32,R,16,R,64
SRR8737355,PRJNA526797,SAMN11110606,287,Pseudomonas aeruginosa,NA,F2128,University Hospital Frankfurt (Frankfurt),S,0.5,I,2,R,8,I,16
SRR8737356,PRJNA526797,SAMN11110609,287,Pseudomonas aeruginosa,NA,F2165,University Hospital Frankfurt (Frankfurt),S,1,R,64,R,64,R,128
SRR8737357,PRJNA526797,SAMN11110608,287,Pseudomonas aeruginosa,NA,F2148,University Hospital Frankfurt (Frankfurt),S,0.5,R,32,R,16,R,64
SRR8737358,PRJNA526797,SAMN11110710,287,Pseudomonas aeruginosa,NA,Vb20477,University Hospital Essen (Essen),R,128,R,32,R,512,R,128
SRR8737359,PRJNA526797,SAMN11110602,287,Pseudomonas aeruginosa,NA,F2093,University Hospital Frankfurt (Frankfurt),S,2,I,2,R,16,S,4
SRR8737360,PRJNA526797,SAMN11110605,287,Pseudomonas aeruginosa,NA,F2119,University Hospital Frankfurt (Frankfurt),I,8,R,64,R,8,R,64
SRR8737361,PRJNA526797,SAMN11110604,287,Pseudomonas aeruginosa,NA,F2098,University Hospital Frankfurt (Frankfurt),R,256,R,32,S,2,R,32
SRR8737362,PRJNA526797,SAMN11110706,287,Pseudomonas aeruginosa,NA,PSAE2126,University of Freiburg (Neubrandenburg),S,1,S,1,R,32,I,16
SRR8737363,PRJNA526797,SAMN11110707,287,Pseudomonas aeruginosa,NA,PSAE2127,University of Freiburg (Hungary),R,128,R,16,R,8,I,16
SRR8737364,PRJNA526797,SAMN11110708,287,Pseudomonas aeruginosa,NA,PSAE2139,University of Freiburg (Romania),R,1024,R,16,R,16,R,256
SRR8737365,PRJNA526797,SAMN11110373,287,Pseudomonas aeruginosa,NA,CH2748,Charité Berlin (Berlin),R,512,R,16,R,8,I,16
SRR8737366,PRJNA526797,SAMN11110372,287,Pseudomonas aeruginosa,NA,CH2747,Charité Berlin (Berlin),S,0.5,S,0.5,R,32,S,4
SRR8737367,PRJNA526797,SAMN11110549,287,Pseudomonas aeruginosa,NA,F1758,University Hospital Frankfurt (Frankfurt),S,0.25,S,0.25,S,1,R,32
SRR8737368,PRJNA526797,SAMN11110548,287,Pseudomonas aeruginosa,NA,F1757,University Hospital Frankfurt (Frankfurt),S,1,R,16,R,64,R,32
SRR8737369,PRJNA526797,SAMN11110334,287,Pseudomonas aeruginosa,NA,CH2500,Charité Berlin (Berlin),S,0.5,R,8,S,2,S,4
SRR8737370,PRJNA526797,SAMN11110456,287,Pseudomonas aeruginosa,NA,CH5464,Charité Berlin (Berlin),R,512,R,8,R,64,S,4
SRR8737371,PRJNA526797,SAMN11110459,287,Pseudomonas aeruginosa,NA,CH5531,Charité Berlin (Berlin),S,4,I,2,I,4,R,256
SRR8737372,PRJNA526797,SAMN11110458,287,Pseudomonas aeruginosa,NA,CH5528,Charité Berlin (Berlin),S,1,R,128,I,4,I,16
SRR8737373,PRJNA526797,SAMN11110580,287,Pseudomonas aeruginosa,NA,F2005,University Hospital Frankfurt (Frankfurt),S,1,R,8,R,32,R,64
SRR8737374,PRJNA526797,SAMN11110581,287,Pseudomonas aeruginosa,NA,F2006,University Hospital Frankfurt (Frankfurt),S,0.5,R,4,I,4,R,64
SRR8737375,PRJNA526797,SAMN11110546,287,Pseudomonas aeruginosa,NA,F1752,University Hospital Frankfurt (Frankfurt),R,1024,R,32,R,128,R,64
SRR8737376,PRJNA526797,SAMN11110454,287,Pseudomonas aeruginosa,NA,CH5432,Charité Berlin (Berlin),I,8,R,128,R,16,S,4
SRR8737377,PRJNA526797,SAMN11110576,287,Pseudomonas aeruginosa,NA,F1983,University Hospital Frankfurt (Frankfurt),R,256,R,32,R,512,R,1024
SRR8737378,PRJNA526797,SAMN11110577,287,Pseudomonas aeruginosa,NA,F1997,University Hospital Frankfurt (Frankfurt),S,0.25,R,4,R,16,R,32
SRR8737379,PRJNA526797,SAMN11110578,287,Pseudomonas aeruginosa,NA,F2000,University Hospital Frankfurt (Frankfurt),R,256,R,32,R,512,R,1024
SRR8737380,PRJNA526797,SAMN11110579,287,Pseudomonas aeruginosa,NA,F2003,University Hospital Frankfurt (Frankfurt),S,0.125,R,64,R,32,R,128
SRR8737381,PRJNA526797,SAMN11110545,287,Pseudomonas aeruginosa,NA,F1748,University Hospital Frankfurt (Frankfurt),S,0.5,R,4,R,64,R,64
SRR8737382,PRJNA526797,SAMN11110573,287,Pseudomonas aeruginosa,NA,F1957,University Hospital Frankfurt (Frankfurt),S,1,R,64,R,8,I,16
SRR8737383,PRJNA526797,SAMN11110574,287,Pseudomonas aeruginosa,NA,F1968,University Hospital Frankfurt (Frankfurt),S,1,R,8,I,4,R,32
SRR8737384,PRJNA526797,SAMN11110575,287,Pseudomonas aeruginosa,NA,F1979,University Hospital Frankfurt (Frankfurt),R,256,R,32,R,512,R,1024
SRR8737385,PRJNA526797,SAMN11110544,287,Pseudomonas aeruginosa,NA,F1747,University Hospital Frankfurt (Frankfurt),R,128,R,32,R,512,R,1024
SRR8737386,PRJNA526797,SAMN11110371,287,Pseudomonas aeruginosa,NA,CH2735,Charité Berlin (Berlin),S,0.25,R,8,R,8,S,2
SRR8737387,PRJNA526797,SAMN11110338,287,Pseudomonas aeruginosa,NA,CH2543,Charité Berlin (Berlin),R,512,R,16,R,32,S,4
SRR8737388,PRJNA526797,SAMN11110365,287,Pseudomonas aeruginosa,NA,CH2707,Charité Berlin (Berlin),R,512,S,0.25,R,8,R,256
SRR8737389,PRJNA526797,SAMN11110500,287,Pseudomonas aeruginosa,NA,ESP044,University Hospital Palma de Mallorca (Spain),S,2,S,0.5,I,4,S,2
SRR8737390,PRJNA526797,SAMN11110493,287,Pseudomonas aeruginosa,NA,ESP035,University Hospital Palma de Mallorca (Spain),S,2,S,0.125,S,0.5,S,4
