BioSample,Run,Imipenem,Meropenem,Doripenem,OXA-23 (ARO:3001418),QacEdelta1 (ARO:3005010),Sul1 (ARO:3000410),mphE (ARO:3003741),msrE (ARO:3003109),ANT(3'')-II (ARO:3002601),aacC1 (ARO:3002528),YafP (UniProtKB:Q47158),AphA6 (ARO:3002652),xerD (UniProtKB:D0CB56)
SAMN02385037,SRR1019264,6 (R),6 (R),6 (R),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
SAMN02385039,SRR1019268,9 (R),7 (R),6 (R),YES,YES,YES,NO,NO,NO,NO,NO,NO,NO
SAMN02385040,SRR1019269,30 (S),26 (S),26 (S),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
SAMN02385041,SRR1019273,30 (S),22 (S),23 (S),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
SAMN02385042,SRR1019274,28 (S),21 (S),23 (S),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
SAMN02385045,SRR1019287,7 (R),6 (R),7 (R),YES,NO,NO,NO,NO,YES,YES,YES,YES,YES
SAMN02385046,SRR1019288,8 (R),6 (R),6 (R),YES,YES,YES,NO,NO,NO,NO,NO,NO,NO
SAMN02385047,SRR1019293,32 (S),22 (S),26 (S),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
SAMN02385048,SRR1019298,32 (S),21 (S),25 (S),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
SAMN02385049,SRR1019301,27 (S),24 (S),24 (S),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
SAMN02404477,SRR1030397,7 (R),6 (R),6 (R),YES,YES,YES,YES,YES,NO,NO,NO,YES,NO
SAMN02404478,SRR1030398,7 (R),6 (R),7 (R),YES,YES,YES,NO,NO,NO,NO,NO,YES,NO
SAMN02404479,SRR1030399,11 (R),6 (R),6 (R),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
SAMN02404480,SRR1030400,27 (S),19 (S),20 (S),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
SAMN02404481,SRR1030401,7 (R),6 (R),7 (R),YES,NO,NO,NO,NO,YES,YES,YES,YES,YES
SAMN02404482,SRR1030402,9 (R),6 (R),6 (R),YES,YES,YES,NO,NO,YES,YES,YES,NO,YES
SAMN02404483,SRR1030403,9 (R),6 (R),6 (R),YES,NO,YES,NO,NO,YES,YES,YES,YES,NO
SAMN02404484,SRR1030404,28 (S),18 (S),20 (S),NO,YES,YES,YES,YES,NO,NO,NO,NO,NO
SAMN02404485,SRR1030405,6 (R),6 (R),6 (R),NO,NO,NO,YES,YES,NO,YES,YES,NO,NO
SAMN02404486,SRR1030406,9 (R),6 (R),7 (R),YES,YES,YES,YES,YES,YES,YES,YES,NO,NO
SAMN02404489,SRR1030410,12 (R),9 (R),9 (R),YES,YES,YES,YES,YES,YES,YES,YES,NO,YES
SAMN02404490,SRR1030411,7 (R),6 (R),6 (R),YES,YES,YES,NO,NO,NO,NO,NO,NO,NO
SAMN02404491,SRR1030412,7 (R),6 (R),6 (R),YES,YES,YES,YES,YES,YES,YES,YES,NO,YES
SAMN02404492,SRR1030413,7 (R),6 (R),6 (R),YES,YES,YES,NO,NO,YES,YES,YES,YES,YES
SAMN02404493,SRR1030418,28 (S),16 (I),21 (S),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
SAMN02404494,SRR1030419,7 (R),6 (R),6 (R),YES,YES,YES,YES,YES,NO,NO,NO,YES,NO
SAMN02404495,SRR1030420;SRR1030421,26 (S),22 (S),22 (S),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
SAMN02404496,SRR1030454,6 (R),6 (R),6 (R),YES,YES,YES,YES,YES,YES,NO,NO,NO,NO
SAMN02404523,SRR1030455;SRR1030456,8 (R),6 (R),7 (R),YES,YES,YES,YES,NO,NO,NO,NO,NO,NO
SAMN02404524,SRR1030457,6 (R),6 (R),6 (R),YES,YES,YES,YES,YES,YES,NO,NO,NO,NO
SAMN02404525,SRR1030458,6 (R),6 (R),6 (R),YES,YES,YES,YES,YES,YES,NO,NO,NO,NO
SAMN02404526,SRR1030459,6 (R),6 (R),6 (R),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
SAMN02404529,SRR1030465,6 (R),6 (R),6 (R),NO,NO,NO,YES,YES,YES,YES,YES,NO,NO
SAMN02404530,SRR1030466,6 (R),6 (R),6 (R),NO,NO,NO,NO,NO,YES,YES,YES,NO,NO
SAMN02404531,SRR1030468,6 (R),6 (R),6 (R),YES,YES,YES,YES,YES,YES,YES,YES,NO,NO
SAMN02404532,SRR1030469;SRR1030470,30 (S),24 (S),27 (S),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
SAMN02404533,SRR1030471,25 (S),20 (S),21 (S),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
SAMN02404534,SRR1030472,6 (R),6 (R),6 (R),NO,YES,YES,YES,YES,NO,NO,NO,NO,NO
SAMN02404535,SRR1030473,7 (R),6 (R),6 (R),YES,YES,YES,YES,YES,YES,YES,YES,NO,NO
SAMN02404536,SRR1030474,28 (S),25 (S),23 (S),NO,YES,YES,YES,YES,NO,NO,NO,NO,NO
SAMN02404537,SRR1030476;SRR1030477,7 (R),6 (R),6 (R),YES,YES,YES,NO,NO,NO,NO,NO,NO,NO
SAMN02404540,SRR1030480,9 (R),7 (R),6 (R),YES,YES,YES,YES,YES,YES,YES,YES,NO,YES
SAMN02404541,SRR1030481,8 (R),6 (R),6 (R),YES,YES,YES,YES,YES,NO,NO,NO,YES,NO
SAMN02404542,SRR1030482,33 (S),28 (S),27 (S),YES,YES,YES,NO,NO,YES,NO,NO,NO,NO
SAMN02404543,SRR1030484,7 (R),6 (R),7 (R),YES,YES,YES,YES,YES,YES,YES,YES,NO,NO
SAMN02404544,SRR1030485,30 (S),21 (S),23 (S),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
SAMN02404545,SRR1030486;SRR1030487,7 (R),6 (R),6 (R),YES,YES,YES,YES,YES,YES,YES,YES,YES,NO
SAMN02404546,SRR1030488,9 (R),7 (R),6 (R),YES,YES,YES,YES,YES,NO,NO,NO,YES,NO
SAMN02415046,SRR1033703,7 (R),6 (R),6 (R),YES,YES,YES,YES,YES,YES,YES,YES,NO,YES
SAMN02415068,SRR1033726,8 (R),6 (R),7 (R),YES,YES,YES,YES,YES,NO,NO,NO,NO,NO
SAMN02567733,SRR1068254,37 (S),30 (S),29 (S),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
SAMN02567734,SRR1068255,6 (R),6 (R),16 (I),YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
SAMN02567735,SRR1068257,16 (R),12 (R),6 (R),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
SAMN02567743,SRR1068259,16 (R),6 (R),8 (R),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
SAMN02567744,SRR1068261,16 (R),NA (NA),NA (NA),NO,YES,YES,NO,NO,YES,YES,YES,NO,YES
SAMN02567745,SRR1068262,16 (R),NA (NA),NA (NA),NO,YES,YES,NO,NO,YES,YES,YES,NO,YES
SAMN02567746,SRR1068263;SRR1068264,16 (R),NA (NA),NA (NA),NO,YES,YES,NO,NO,YES,YES,YES,NO,YES
SAMN02567747,SRR1068265;SRR1068266,17 (R),NA (NA),NA (NA),NO,YES,YES,NO,NO,YES,YES,YES,NO,YES
SAMN02567748,SRR1068267,17 (R),NA (NA),NA (NA),NO,YES,YES,NO,NO,YES,YES,YES,NO,YES
SAMN02567749,SRR1068268;SRR1068269,17 (R),NA (NA),NA (NA),NO,YES,YES,NO,NO,YES,YES,YES,NO,YES
SAMN02567750,SRR1068270,17 (R),NA (NA),NA (NA),NO,YES,YES,NO,NO,YES,YES,YES,NO,YES
SAMN02567751,SRR1068271,17 (R),NA (NA),NA (NA),NO,YES,YES,NO,NO,YES,YES,YES,NO,YES
SAMN02567753,SRR1068273,16 (R),12 (R),14 (R),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
SAMN02567754,SRR1068274,9 (R),6 (R),10 (R),YES,YES,YES,YES,YES,YES,YES,YES,NO,NO
SAMN02567755,SRR1068276,10 (R),6 (R),6 (R),YES,YES,YES,YES,YES,YES,YES,YES,YES,NO
SAMN02567757,SRR1068278,6 (R),6 (R),6 (R),NO,YES,YES,YES,YES,NO,NO,NO,NO,NO
SAMN02567758,SRR1068279,9 (R),8 (R),8 (R),YES,YES,YES,YES,YES,YES,YES,YES,YES,NO
SAMN02570310,SRR1103711,16 (R),NA (NA),NA (NA),NO,YES,YES,YES,YES,NO,NO,NO,NO,NO
SAMN02570311,SRR1103712,16 (R),NA (NA),NA (NA),NO,YES,YES,YES,YES,NO,NO,NO,NO,NO
SAMN02570312,SRR1103713,16 (R),NA (NA),NA (NA),NO,YES,YES,YES,YES,NO,NO,NO,NO,NO
