Assembly,Level,WGS,BioSample,id,Taxonomy,Accession,country,source,method,amikacin,aztreonam,cefepime,cefoxitin,ceftazidime,ciprofloxacin,imipenem,meropenem,piperacillin/tazobactam,tetracycline,Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSampleModel,Bytes,Center Name,collected_by,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host_disease,Host,Instrument,Isolation_Source,Lat_Lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study
GCA_009826455.1,Scaffold,WUKG00000000,SAMN13675345,1201152,Klebsiella pneumoniae,PRJNA597427,Greece,bioMerieux,Vitek 2,>=64,>=64,>=64,>=64,>=64,>=4,>=16,>=16,>=128,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCA_009826425.1,Scaffold,WUJZ00000000,SAMN13675352,1203038,Klebsiella pneumoniae,PRJNA597427,Greece,bioMerieux,Vitek 2,>=64,>=64,>=64,>=64,>=64,>=4,>=16,>=16,>=128,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCA_009826415.1,Contig,WULM00000000,SAMN13675313,1606286,Klebsiella pneumoniae,PRJNA597427,Korea,bioMerieux,Vitek 2,4,>=64,>=64,>=64,>=64,>=4,<=0.25,0.5,>=128,>=16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCA_009826395.1,Scaffold,WUKH00000000,SAMN13675344,1201151,Klebsiella pneumoniae,PRJNA597427,Greece,bioMerieux,Vitek 2,>=64,>=64,>=64,>=64,>=64,>=4,>=16,>=16,>=128,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCA_009826375.1,Scaffold,WUKF00000000,SAMN13675346,1201157,Klebsiella pneumoniae,PRJNA597427,Greece,bioMerieux,Vitek 2,>=64,>=64,>=64,>=64,>=64,>=4,>=16,>=16,>=128,>=16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCA_009826345.1,Scaffold,WUKE00000000,SAMN13675347,1203019,Klebsiella pneumoniae,PRJNA597427,Greece,bioMerieux,Vitek 2,>=64,>=64,>=64,>=64,>=64,>=4,>=16,>=16,>=128,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCA_009826315.1,Scaffold,WULR00000000,SAMN13675308,1711090,Klebsiella pneumoniae,PRJNA597427,Greece,bioMerieux,Vitek 2,>=64,>=64,>=64,>=64,>=64,>=4,>=16,>=16,>=128,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCA_009826305.1,Contig,WULL00000000,SAMN13675314,1606287,Klebsiella pneumoniae,PRJNA597427,Korea,bioMerieux,Vitek 2,16,>=64,>=64,>=64,>=64,>=4,1,1,>=128,>=16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCA_009826295.1,Scaffold,WULJ00000000,SAMN13675316,404023,Klebsiella pneumoniae,PRJNA597427,USA,bioMerieux,Vitek 2,<=2,4,<=1,>=64,8,>=4,<=0.25,<=0.25,16,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCA_009826275.1,Scaffold,WULI00000000,SAMN13675317,404025,Klebsiella pneumoniae,PRJNA597427,USA,bioMerieux,Vitek 2,32,>=64,<=1,32,>=64,1,<=0.25,<=0.25,>=128,>=16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCA_009826225.1,Scaffold,WULH00000000,SAMN13675318,505034,Klebsiella pneumoniae,PRJNA597427,USA,bioMerieux,Vitek 2,>=64,>=64,8,>=64,>=64,>=4,>=16,>=16,>=128,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCA_009826245.1,Scaffold,WULQ00000000,SAMN13675309,1711091,Klebsiella pneumoniae,PRJNA597427,Greece,bioMerieux,Vitek 2,>=64,>=64,>=64,>=64,>=64,>=4,>=16,>=16,>=128,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCA_009826215.1,Contig,WULP00000000,SAMN13675310,1606283,Klebsiella pneumoniae,PRJNA597427,Korea,bioMerieux,Vitek 2,<=2,4,2,32,<=1,2,<=0.25,<=0.25,16,>=16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCA_009826195.1,Scaffold,WULF00000000,SAMN13675320,511135,Klebsiella pneumoniae,PRJNA597427,France,bioMerieux,Vitek 2,>=64,>=64,>=64,>=64,>=64,>=4,>=16,>=16,>=128,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCA_009826175.1,Scaffold,WULG00000000,SAMN13675319,505049,Klebsiella pneumoniae,PRJNA597427,USA,bioMerieux,Vitek 2,>=64,>=64,4,8,>=64,>=4,>=16,>=16,>=128,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCA_009826155.1,Scaffold,WULE00000000,SAMN13675321,601007,Klebsiella pneumoniae,PRJNA597427,USA,bioMerieux,Vitek 2,>=64,>=64,8,32,>=64,>=4,>=16,>=16,>=128,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCA_009826075.1,Scaffold,WULB00000000,SAMN13675324,602105,Klebsiella pneumoniae,PRJNA597427,USA,bioMerieux,Vitek 2,>=64,>=64,>=64,>=64,>=64,>=4,>=16,>=16,>=128,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCA_009826105.1,Scaffold,WULD00000000,SAMN13675322,601009,Klebsiella pneumoniae,PRJNA597427,USA,bioMerieux,Vitek 2,>=64,>=64,>=64,>=64,>=64,>=4,>=16,>=16,>=128,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCA_009826095.1,Scaffold,WULC00000000,SAMN13675323,601011,Klebsiella pneumoniae,PRJNA597427,USA,bioMerieux,Vitek 2,>=64,>=64,>=64,>=64,>=64,>=4,>=16,>=16,>=128,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
