run_accession,study_accession,sample_accession,tax_id,scientific_name,submitted_ftp,StrainID,AccessionIDs,ST,Cefoxitin,Erythromycin,Tetracycline,Rifampicin,FusidicAcid,Gentamicin,Chloramphenicol,Mupirocin,Linezolid,Ciprofloxacin,Trimethoprim
ERR3826602,PRJEB32286,SAMEA5672965,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826602/HICF0807rpt2_506028.pe.markdup.bam,HICF0807,ERS3476968,22,R,S,S,S,S,S,S,S,S,R,-
ERR3826603,PRJEB32286,SAMEA5672966,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826603/HICF0809rpt2_505413.pe.markdup.bam,HICF0809,ERS3476969,789,R,S,R,S,S,R,S,S,S,R,-
ERR3826604,PRJEB32286,SAMEA5672967,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826604/HICF0810_505383.pe.markdup.bam,HICF0810,ERS3476970,779,R,S,S,S,R,S,S,S,S,S,-
ERR3826605,PRJEB32286,SAMEA5672968,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826605/HICF0812_505875.pe.markdup.bam,HICF0812,ERS3476971,22,R,S,S,S,R,R,S,S,S,R,-
ERR3826606,PRJEB32286,SAMEA5672969,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826606/HICF0813_505374.pe.markdup.bam,HICF0813,ERS3476972,5,R,R,S,R,S,S,-,-,-,-,-
ERR3826607,PRJEB32286,SAMEA5672970,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826607/HICF0814_505479.pe.markdup.bam,HICF0814,ERS3476973,508,R,S,S,S,S,S,S,S,S,S,-
ERR3826608,PRJEB32286,SAMEA5672971,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826608/HICF0815_505392.pe.markdup.bam,HICF0815,ERS3476974,1,R,S,S,S,R,S,-,-,-,-,-
ERR3826609,PRJEB32286,SAMEA5672972,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826609/HICF0816_505359.pe.markdup.bam,HICF0816,ERS3476975,45,R,S,S,S,R,S,S,S,S,S,-
ERR3826610,PRJEB32286,SAMEA5672973,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826610/HICF0817_505338.pe.markdup.bam,HICF0817,ERS3476976,1*,R,R,R,S,S,S,S,S,S,S,-
ERR3826611,PRJEB32286,SAMEA5672974,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826611/HICF0819_505908.pe.markdup.bam,HICF0819,ERS3476977,22,R,S,S,S,S,S,S,S,S,R,-
ERR3826612,PRJEB32286,SAMEA5672975,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826612/HICF0820_506019.pe.markdup.bam,HICF0820,ERS3476978,2371,R,R,S,S,S,R,S,S,S,R,-
ERR3826613,PRJEB32286,SAMEA5672976,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826613/HICF0821_506016.pe.markdup.bam,HICF0821,ERS3476979,22,R,S,S,S,R,S,S,S,S,R,-
ERR3826614,PRJEB32286,SAMEA5672977,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826614/HICF0822_506208.pe.markdup.bam,HICF0822,ERS3476980,1,R,R,S,S,S,S,S,S,S,S,-
ERR3826615,PRJEB32286,SAMEA5672978,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826615/HICF0823_505488.pe.markdup.bam,HICF0823,ERS3476981,8,R,R,S,S,S,S,S,S,S,S,-
ERR3826616,PRJEB32286,SAMEA5672979,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826616/HICF0824_505530.pe.markdup.bam,HICF0824,ERS3476982,772,R,R,S,S,S,R,S,S,S,R,-
