Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collected_by,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host_disease,Host,Instrument,Isolate,Isolation_source,Lat_Lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,STRAIN,sub_species
SRR17179126,WGS,302,2508088860,PRJNA787062,SAMN23768700,Pathogen.cl,816442337,ADDIS ABABA UNIVERSITY,Melese Hailu Legese,2019-10/2020-09,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX13362714,Ethiopia,Africa,Ethiopia: Addis Ababa,Sepsis,Homo sapiens,Illumina HiSeq 2500,78,Human blood sample,8.9806 N 38.7578 E,78,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2022-07-18T00:00:00Z,78,SRP349950,Not appllicable,
SRR17179127,WGS,302,1494997848,PRJNA787062,SAMN23768653,Pathogen.cl,505383719,ADDIS ABABA UNIVERSITY,Melese Hailu Legese,2019-10/2020-09,public,"wgmlst_sig,fastq,sra,realign","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX13362713,Ethiopia,Africa,Ethiopia: Addis Ababa,Sepsis,Homo sapiens,Illumina HiSeq 2500,76,Human blood sample,8.9806 N 38.7578 E,76,PAIRED,RANDOM,GENOMIC,Escherichia coli,ILLUMINA,2022-07-18T00:00:00Z,76,SRP349950,Not appllicable,
SRR17179128,WGS,302,1967740192,PRJNA787062,SAMN23768699,Pathogen.cl,618153679,ADDIS ABABA UNIVERSITY,Melese Hailu Legese,2019-10/2020-09,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX13362712,Ethiopia,Africa,Ethiopia: Addis Ababa,Sepsis,Homo sapiens,Illumina HiSeq 2500,75,Human blood sample,8.9806 N 38.7578 E,75,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2022-07-18T00:00:00Z,75,SRP349950,Not appllicable,
SRR17179129,WGS,302,1425808440,PRJNA787062,SAMN23768750,Pathogen.cl,457041334,ADDIS ABABA UNIVERSITY,Melese Hailu Legese,2019-10/2020-09,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX13362711,Ethiopia,Africa,Ethiopia: Addis Ababa,Sepsis,Homo sapiens,Illumina HiSeq 2500,74,Human blood sample,8.9806 N 38.7578 E,74,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2022-07-18T00:00:00Z,74,SRP349950,Not appllicable,
SRR17179130,WGS,302,1556819362,PRJNA787062,SAMN23768749,Pathogen.cl,492733000,ADDIS ABABA UNIVERSITY,Melese Hailu Legese,2019-10/2020-09,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX13362710,Ethiopia,Africa,Ethiopia: Addis Ababa,Sepsis,Homo sapiens,Illumina HiSeq 2500,73,Human blood sample,8.9806 N 38.7578 E,73,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2022-07-18T00:00:00Z,73,SRP349950,Not appllicable,
SRR17179131,WGS,302,2268593196,PRJNA787062,SAMN23768748,Pathogen.cl,710464606,ADDIS ABABA UNIVERSITY,Melese Hailu Legese,2019-10/2020-09,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX13362709,Ethiopia,Africa,Ethiopia: Addis Ababa,Sepsis,Homo sapiens,Illumina HiSeq 2500,72,Human blood sample,8.9806 N 38.7578 E,72,PAIRED,RANDOM,GENOMIC,Klebsiella oxytoca,ILLUMINA,2022-07-18T00:00:00Z,72,SRP349950,Not appllicable,
SRR17179132,WGS,302,1773069180,PRJNA787062,SAMN23768624,Pathogen.cl,593712883,ADDIS ABABA UNIVERSITY,Melese Hailu Legese,2019-10/2020-09,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX13362708,Ethiopia,Africa,Ethiopia: Hawassa,Sepsis,Homo sapiens,Illumina HiSeq 2500,8,Human blood sample,7.0504 N 38.4955 E,8,PAIRED,RANDOM,GENOMIC,Enterobacter cloacae,ILLUMINA,2022-07-18T00:00:00Z,8,SRP349950,Not appllicable,
SRR17179133,WGS,302,2427434626,PRJNA787062,SAMN23768747,Pathogen.cl,765873068,ADDIS ABABA UNIVERSITY,Melese Hailu Legese,2019-10/2020-09,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX13362707,Ethiopia,Africa,Ethiopia: Addis Ababa,Sepsis,Homo sapiens,Illumina HiSeq 2500,71,Human blood sample,8.9806 N 38.7578 E,71,PAIRED,RANDOM,GENOMIC,Leclercia adecarboxylata,ILLUMINA,2022-07-18T00:00:00Z,71,SRP349950,Not appllicable,
SRR17179134,WGS,302,1482711582,PRJNA787062,SAMN23768746,Pathogen.cl,473347040,ADDIS ABABA UNIVERSITY,Melese Hailu Legese,2019-10/2020-09,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX13362706,Ethiopia,Africa,Ethiopia: Addis Ababa,Sepsis,Homo sapiens,Illumina HiSeq 2500,70,Human blood sample,8.9806 N 38.7578 E,70,PAIRED,RANDOM,GENOMIC,Klebsiella oxytoca,ILLUMINA,2022-07-18T00:00:00Z,70,SRP349950,Not appllicable,
SRR17179135,WGS,302,530757752,PRJNA787062,SAMN23768745,Pathogen.cl,203887330,ADDIS ABABA UNIVERSITY,Melese Hailu Legese,2019-10/2020-09,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX13362705,Ethiopia,Africa,Ethiopia: Addis Ababa,Sepsis,Homo sapiens,Illumina HiSeq 2500,69,Human blood sample,8.9806 N 38.7578 E,69,PAIRED,RANDOM,GENOMIC,Klebsiella variicola,ILLUMINA,2022-07-18T00:00:00Z,69,SRP349950,Not appllicable,
SRR17179136,WGS,302,1725181040,PRJNA787062,SAMN23768744,Pathogen.cl,544287250,ADDIS ABABA UNIVERSITY,Melese Hailu Legese,2019-10/2020-09,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX13362704,Ethiopia,Africa,Ethiopia: Hawassa,Sepsis,Homo sapiens,Illumina HiSeq 2500,68,Human blood sample,7.0504 N 38.4955 E,68,PAIRED,RANDOM,GENOMIC,Klebsiella variicola,ILLUMINA,2022-07-18T00:00:00Z,68,SRP349950,Not appllicable,
SRR17179137,WGS,302,1614992716,PRJNA787062,SAMN23768743,Pathogen.cl,541403814,ADDIS ABABA UNIVERSITY,Melese Hailu Legese,2019-10/2020-09,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX13362703,Ethiopia,Africa,Ethiopia: Hawassa,Sepsis,Homo sapiens,Illumina HiSeq 2500,67,Human blood sample,7.0504 N 38.4955 E,67,PAIRED,RANDOM,GENOMIC,Klebsiella variicola,ILLUMINA,2022-07-18T00:00:00Z,67,SRP349950,Not appllicable,
SRR17179138,WGS,302,1716731080,PRJNA787062,SAMN23768742,Pathogen.cl,542972111,ADDIS ABABA UNIVERSITY,Melese Hailu Legese,2019-10/2020-09,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX13362702,Ethiopia,Africa,Ethiopia: Hawassa,Sepsis,Homo sapiens,Illumina HiSeq 2500,66,Human blood sample,7.0504 N 38.4955 E,66,PAIRED,RANDOM,GENOMIC,Klebsiella variicola,ILLUMINA,2022-07-18T00:00:00Z,66,SRP349950,Not appllicable,
SRR17179139,WGS,302,1467934722,PRJNA787062,SAMN23768741,Pathogen.cl,484681503,ADDIS ABABA UNIVERSITY,Melese Hailu Legese,2019-10/2020-09,public,"sra,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX13362701,Ethiopia,Africa,Ethiopia: Hawassa,Sepsis,Homo sapiens,Illumina HiSeq 2500,65,Human blood sample,7.0504 N 38.4955 E,65,PAIRED,RANDOM,GENOMIC,Klebsiella variicola,ILLUMINA,2022-07-18T00:00:00Z,65,SRP349950,Not appllicable,
SRR17179140,WGS,302,1646890560,PRJNA787062,SAMN23768740,Pathogen.cl,528078660,ADDIS ABABA UNIVERSITY,Melese Hailu Legese,2019-10/2020-09,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX13362700,Ethiopia,Africa,Ethiopia: Hawassa,Sepsis,Homo sapiens,Illumina HiSeq 2500,64,Human blood sample,7.0504 N 38.4955 E,64,PAIRED,RANDOM,GENOMIC,Klebsiella variicola,ILLUMINA,2022-07-18T00:00:00Z,64,SRP349950,Not appllicable,
SRR17179141,WGS,302,2308792114,PRJNA787062,SAMN23768739,Pathogen.cl,724349001,ADDIS ABABA UNIVERSITY,Melese Hailu Legese,2019-10/2020-09,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX13362699,Ethiopia,Africa,Ethiopia: Hawassa,Sepsis,Homo sapiens,Illumina HiSeq 2500,63,Human blood sample,7.0504 N 38.4955 E,63,PAIRED,RANDOM,GENOMIC,Klebsiella variicola,ILLUMINA,2022-07-18T00:00:00Z,63,SRP349950,Not appllicable,
SRR17179142,WGS,302,1329070290,PRJNA787062,SAMN23768738,Pathogen.cl,421066068,ADDIS ABABA UNIVERSITY,Melese Hailu Legese,2019-10/2020-09,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX13362698,Ethiopia,Africa,Ethiopia: Hawassa,Sepsis,Homo sapiens,Illumina HiSeq 2500,62,Human blood sample,7.0504 N 38.4955 E,62,PAIRED,RANDOM,GENOMIC,Klebsiella variicola,ILLUMINA,2022-07-18T00:00:00Z,62,SRP349950,Not appllicable,
SRR17179143,WGS,302,1839692192,PRJNA787062,SAMN23768623,Pathogen.cl,618462661,ADDIS ABABA UNIVERSITY,Melese Hailu Legese,2019-10/2020-09,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX13362697,Ethiopia,Africa,Ethiopia: Hawassa,Sepsis,Homo sapiens,Illumina HiSeq 2500,7,Human blood sample,7.0504 N 38.4955 E,7,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2022-07-18T00:00:00Z,7,SRP349950,Not appllicable,
SRR17179144,WGS,302,1441689412,PRJNA787062,SAMN23768737,Pathogen.cl,459234133,ADDIS ABABA UNIVERSITY,Melese Hailu Legese,2019-10/2020-09,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX13362696,Ethiopia,Africa,Ethiopia: Hawassa,Sepsis,Homo sapiens,Illumina HiSeq 2500,61,Human blood sample,7.0504 N 38.4955 E,61,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2022-07-18T00:00:00Z,61,SRP349950,Not appllicable,
SRR17179145,WGS,302,1387655270,PRJNA787062,SAMN23768736,Pathogen.cl,455235248,ADDIS ABABA UNIVERSITY,Melese Hailu Legese,2019-10/2020-09,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX13362695,Ethiopia,Africa,Ethiopia: Hawassa,Sepsis,Homo sapiens,Illumina HiSeq 2500,60,Human blood sample,7.0504 N 38.4955 E,60,PAIRED,RANDOM,GENOMIC,Klebsiella variicola,ILLUMINA,2022-07-18T00:00:00Z,60,SRP349950,Not appllicable,
