run_accession,study_accession,sample_accession,secondary_sample_accession,experiment_accession,tax_id,scientific_name,fastq_ftp,submitted_ftp,sra_ftp
SRR17179267,PRJNA787062,SAMN23768825,SRS11267447,SRX13362573,244366,Klebsiella variicola,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/067/SRR17179267/SRR17179267_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/067/SRR17179267/SRR17179267_2.fastq.gz,NA,NA
SRR17179273,PRJNA787062,SAMN23768819,SRS11267441,SRX13362567,244366,Klebsiella variicola,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/073/SRR17179273/SRR17179273_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/073/SRR17179273/SRR17179273_2.fastq.gz,NA,NA
SRR17179277,PRJNA787062,SAMN23768816,SRS11267437,SRX13362563,244366,Klebsiella variicola,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/077/SRR17179277/SRR17179277_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/077/SRR17179277/SRR17179277_2.fastq.gz,NA,NA
SRR17179280,PRJNA787062,SAMN23768814,SRS11267434,SRX13362560,54291,Klebsiella ornithinolytica,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/080/SRR17179280/SRR17179280_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/080/SRR17179280/SRR17179280_2.fastq.gz,NA,NA
SRR17179283,PRJNA787062,SAMN23768811,SRS11267431,SRX13362557,550,Enterobacter cloacae,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/083/SRR17179283/SRR17179283_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/083/SRR17179283/SRR17179283_2.fastq.gz,NA,NA
SRR17179285,PRJNA787062,SAMN23768809,SRS11267429,SRX13362555,550,Enterobacter cloacae,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/085/SRR17179285/SRR17179285_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/085/SRR17179285/SRR17179285_2.fastq.gz,NA,NA
SRR17179290,PRJNA787062,SAMN23768806,SRS11267424,SRX13362550,59814,Pantoea dispersa,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/090/SRR17179290/SRR17179290_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/090/SRR17179290/SRR17179290_2.fastq.gz,NA,NA
SRR17179291,PRJNA787062,SAMN23768805,SRS11267422,SRX13362549,59814,Pantoea dispersa,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/091/SRR17179291/SRR17179291_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/091/SRR17179291/SRR17179291_2.fastq.gz,NA,NA
SRR17179292,PRJNA787062,SAMN23768804,SRS11267423,SRX13362548,573,Klebsiella pneumoniae,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/092/SRR17179292/SRR17179292_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/092/SRR17179292/SRR17179292_2.fastq.gz,NA,NA
SRR17179299,PRJNA787062,SAMN23768647,SRS11267415,SRX13362541,562,Escherichia coli,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/099/SRR17179299/SRR17179299_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/099/SRR17179299/SRR17179299_2.fastq.gz,NA,NA
SRR17179300,PRJNA787062,SAMN23768646,SRS11267414,SRX13362540,573,Klebsiella pneumoniae,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/000/SRR17179300/SRR17179300_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/000/SRR17179300/SRR17179300_2.fastq.gz,NA,NA
SRR17179301,PRJNA787062,SAMN23768918,SRS11267412,SRX13362539,573,Klebsiella pneumoniae,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/001/SRR17179301/SRR17179301_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/001/SRR17179301/SRR17179301_2.fastq.gz,NA,NA
SRR17179302,PRJNA787062,SAMN23768645,SRS11267413,SRX13362538,562,Escherichia coli,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/002/SRR17179302/SRR17179302_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/002/SRR17179302/SRR17179302_2.fastq.gz,NA,NA
SRR17179306,PRJNA787062,SAMN23768915,SRS11267408,SRX13362534,573,Klebsiella pneumoniae,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/006/SRR17179306/SRR17179306_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/006/SRR17179306/SRR17179306_2.fastq.gz,NA,NA
SRR17179309,PRJNA787062,SAMN23768912,SRS11267405,SRX13362531,573,Klebsiella pneumoniae,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/009/SRR17179309/SRR17179309_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/009/SRR17179309/SRR17179309_2.fastq.gz,NA,NA
SRR17179310,PRJNA787062,SAMN23768911,SRS11267404,SRX13362530,573,Klebsiella pneumoniae,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/010/SRR17179310/SRR17179310_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/010/SRR17179310/SRR17179310_2.fastq.gz,NA,NA
SRR17179312,PRJNA787062,SAMN23768722,SRS11267402,SRX13362528,573,Klebsiella pneumoniae,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/012/SRR17179312/SRR17179312_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/012/SRR17179312/SRR17179312_2.fastq.gz,NA,NA
SRR17179313,PRJNA787062,SAMN23768697,SRS11267400,SRX13362527,562,Escherichia coli,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/013/SRR17179313/SRR17179313_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/013/SRR17179313/SRR17179313_2.fastq.gz,NA,NA
SRR17179316,PRJNA787062,SAMN23768910,SRS11267399,SRX13362524,573,Klebsiella pneumoniae,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/016/SRR17179316/SRR17179316_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/016/SRR17179316/SRR17179316_2.fastq.gz,NA,NA
SRR17179319,PRJNA787062,SAMN23768908,SRS11267395,SRX13362521,573,Klebsiella pneumoniae,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/019/SRR17179319/SRR17179319_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/019/SRR17179319/SRR17179319_2.fastq.gz,NA,NA
SRR17179325,PRJNA787062,SAMN23768643,SRS11267389,SRX13362515,562,Escherichia coli,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/025/SRR17179325/SRR17179325_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/025/SRR17179325/SRR17179325_2.fastq.gz,NA,NA
SRR17179327,PRJNA787062,SAMN23768720,SRS11267387,SRX13362513,573,Klebsiella pneumoniae,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/027/SRR17179327/SRR17179327_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/027/SRR17179327/SRR17179327_2.fastq.gz,NA,NA
SRR17179329,PRJNA787062,SAMN23768902,SRS11267385,SRX13362511,571,Klebsiella oxytoca,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/029/SRR17179329/SRR17179329_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/029/SRR17179329/SRR17179329_2.fastq.gz,NA,NA
SRR17179330,PRJNA787062,SAMN23768719,SRS11267384,SRX13362510,550,Enterobacter cloacae,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/030/SRR17179330/SRR17179330_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/030/SRR17179330/SRR17179330_2.fastq.gz,NA,NA
SRR17179331,PRJNA787062,SAMN23768799,SRS11267383,SRX13362509,571,Klebsiella oxytoca,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/031/SRR17179331/SRR17179331_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/031/SRR17179331/SRR17179331_2.fastq.gz,NA,NA
SRR17179332,PRJNA787062,SAMN23768716,SRS11267382,SRX13362508,573,Klebsiella pneumoniae,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/032/SRR17179332/SRR17179332_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/032/SRR17179332/SRR17179332_2.fastq.gz,NA,NA
SRR17179335,PRJNA787062,SAMN23768682,SRS11267379,SRX13362505,562,Escherichia coli,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/035/SRR17179335/SRR17179335_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/035/SRR17179335/SRR17179335_2.fastq.gz,NA,NA
SRR17179338,PRJNA787062,SAMN23768795,SRS11267376,SRX13362502,550,Enterobacter cloacae,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/038/SRR17179338/SRR17179338_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/038/SRR17179338/SRR17179338_2.fastq.gz,NA,NA
SRR17179339,PRJNA787062,SAMN23768681,SRS11267375,SRX13362501,562,Escherichia coli,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/039/SRR17179339/SRR17179339_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/039/SRR17179339/SRR17179339_2.fastq.gz,NA,NA
SRR17179345,PRJNA787062,SAMN23768680,SRS11267369,SRX13362495,562,Escherichia coli,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/045/SRR17179345/SRR17179345_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/045/SRR17179345/SRR17179345_2.fastq.gz,NA,NA
SRR17179348,PRJNA787062,SAMN23768678,SRS11267366,SRX13362492,562,Escherichia coli,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/048/SRR17179348/SRR17179348_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/048/SRR17179348/SRR17179348_2.fastq.gz,NA,NA
SRR17179352,PRJNA787062,SAMN23768629,SRS11267362,SRX13362488,244366,Klebsiella variicola,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/052/SRR17179352/SRR17179352_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/052/SRR17179352/SRR17179352_2.fastq.gz,NA,NA
SRR17179353,PRJNA787062,SAMN23768676,SRS11267361,SRX13362487,562,Escherichia coli,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/053/SRR17179353/SRR17179353_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/053/SRR17179353/SRR17179353_2.fastq.gz,NA,NA
SRR17179359,PRJNA787062,SAMN23768787,SRS11267355,SRX13362481,622,Shigella dysenteriae,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/059/SRR17179359/SRR17179359_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/059/SRR17179359/SRR17179359_2.fastq.gz,NA,NA
SRR17179360,PRJNA787062,SAMN23768672,SRS11267354,SRX13362480,562,Escherichia coli,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/060/SRR17179360/SRR17179360_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/060/SRR17179360/SRR17179360_2.fastq.gz,NA,NA
SRR17179361,PRJNA787062,SAMN23768786,SRS11267353,SRX13362479,244366,Klebsiella variicola,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/061/SRR17179361/SRR17179361_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/061/SRR17179361/SRR17179361_2.fastq.gz,NA,NA
SRR17179363,PRJNA787062,SAMN23768628,SRS11267351,SRX13362477,573,Klebsiella pneumoniae,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/063/SRR17179363/SRR17179363_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/063/SRR17179363/SRR17179363_2.fastq.gz,NA,NA
SRR17179365,PRJNA787062,SAMN23768671,SRS11267349,SRX13362475,562,Escherichia coli,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/065/SRR17179365/SRR17179365_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/065/SRR17179365/SRR17179365_2.fastq.gz,NA,NA
SRR17179366,PRJNA787062,SAMN23768670,SRS11267348,SRX13362474,562,Escherichia coli,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/066/SRR17179366/SRR17179366_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/066/SRR17179366/SRR17179366_2.fastq.gz,NA,NA
SRR17179367,PRJNA787062,SAMN23768784,SRS11267347,SRX13362473,573,Klebsiella pneumoniae,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/067/SRR17179367/SRR17179367_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/067/SRR17179367/SRR17179367_2.fastq.gz,NA,NA
SRR17179377,PRJNA787062,SAMN23768781,SRS11267337,SRX13362463,550,Enterobacter cloacae,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/077/SRR17179377/SRR17179377_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/077/SRR17179377/SRR17179377_2.fastq.gz,NA,NA
SRR17179387,PRJNA787062,SAMN23768663,SRS11267327,SRX13362453,562,Escherichia coli,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/087/SRR17179387/SRR17179387_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/087/SRR17179387/SRR17179387_2.fastq.gz,NA,NA
SRR17179395,PRJNA787062,SAMN23768707,SRS11267319,SRX13362445,550,Enterobacter cloacae,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/095/SRR17179395/SRR17179395_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/095/SRR17179395/SRR17179395_2.fastq.gz,NA,NA
SRR17179397,PRJNA787062,SAMN23768619,SRS11267317,SRX13362443,573,Klebsiella pneumoniae,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/097/SRR17179397/SRR17179397_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/097/SRR17179397/SRR17179397_2.fastq.gz,NA,NA
SRR30996154,PRJNA787062,SAMN44250071,SRS22907628,SRX26384495,470,Acinetobacter baumannii,ftp.sra.ebi.ac.uk/vol1/fastq/SRR309/054/SRR30996154/SRR30996154_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR309/054/SRR30996154/SRR30996154_2.fastq.gz,NA,NA
SRR30996159,PRJNA787062,SAMN44250106,SRS22907623,SRX26384490,470,Acinetobacter baumannii,ftp.sra.ebi.ac.uk/vol1/fastq/SRR309/059/SRR30996159/SRR30996159_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR309/059/SRR30996159/SRR30996159_2.fastq.gz,NA,NA
SRR30996160,PRJNA787062,SAMN44250105,SRS22907624,SRX26384489,470,Acinetobacter baumannii,ftp.sra.ebi.ac.uk/vol1/fastq/SRR309/060/SRR30996160/SRR30996160_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR309/060/SRR30996160/SRR30996160_2.fastq.gz,NA,NA
SRR30996163,PRJNA787062,SAMN44250102,SRS22907620,SRX26384486,470,Acinetobacter baumannii,ftp.sra.ebi.ac.uk/vol1/fastq/SRR309/063/SRR30996163/SRR30996163_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR309/063/SRR30996163/SRR30996163_2.fastq.gz,NA,NA
SRR30996165,PRJNA787062,SAMN44250101,SRS22907618,SRX26384484,470,Acinetobacter baumannii,ftp.sra.ebi.ac.uk/vol1/fastq/SRR309/065/SRR30996165/SRR30996165_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR309/065/SRR30996165/SRR30996165_2.fastq.gz,NA,NA
SRR30996167,PRJNA787062,SAMN44250099,SRS22907616,SRX26384482,470,Acinetobacter baumannii,ftp.sra.ebi.ac.uk/vol1/fastq/SRR309/067/SRR30996167/SRR30996167_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR309/067/SRR30996167/SRR30996167_2.fastq.gz,NA,NA
SRR30996169,PRJNA787062,SAMN44250097,SRS22907615,SRX26384480,470,Acinetobacter baumannii,ftp.sra.ebi.ac.uk/vol1/fastq/SRR309/069/SRR30996169/SRR30996169_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR309/069/SRR30996169/SRR30996169_2.fastq.gz,NA,NA
SRR30996177,PRJNA787062,SAMN44250090,SRS22907606,SRX26384472,470,Acinetobacter baumannii,ftp.sra.ebi.ac.uk/vol1/fastq/SRR309/077/SRR30996177/SRR30996177_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR309/077/SRR30996177/SRR30996177_2.fastq.gz,NA,NA
SRR30996178,PRJNA787062,SAMN44250089,SRS22907604,SRX26384471,470,Acinetobacter baumannii,ftp.sra.ebi.ac.uk/vol1/fastq/SRR309/078/SRR30996178/SRR30996178_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR309/078/SRR30996178/SRR30996178_2.fastq.gz,NA,NA
SRR30996179,PRJNA787062,SAMN44250088,SRS22907605,SRX26384470,470,Acinetobacter baumannii,ftp.sra.ebi.ac.uk/vol1/fastq/SRR309/079/SRR30996179/SRR30996179_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR309/079/SRR30996179/SRR30996179_2.fastq.gz,NA,NA
SRR30996188,PRJNA787062,SAMN44250080,SRS22907596,SRX26384461,470,Acinetobacter baumannii,ftp.sra.ebi.ac.uk/vol1/fastq/SRR309/088/SRR30996188/SRR30996188_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR309/088/SRR30996188/SRR30996188_2.fastq.gz,NA,NA
