run_accession	study_accession	sample_accession	tax_id	scientific_name	submitted_ftp
ERR4198115	PRJEB21277	SAMEA6908151	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR419/ERR4198115/WTCHG_781213_73585334_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR419/ERR4198115/WTCHG_781213_73585334_2.fastq.gz
ERR4198116	PRJEB21277	SAMEA6908152	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR419/ERR4198116/WTCHG_781213_73595335_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR419/ERR4198116/WTCHG_781213_73595335_2.fastq.gz
ERR4198117	PRJEB21277	SAMEA6908153	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR419/ERR4198117/WTCHG_781213_73605336_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR419/ERR4198117/WTCHG_781213_73605336_2.fastq.gz
ERR4198118	PRJEB21277	SAMEA6908154	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR419/ERR4198118/WTCHG_781213_73615337_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR419/ERR4198118/WTCHG_781213_73615337_2.fastq.gz
ERR4198119	PRJEB21277	SAMEA6908155	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR419/ERR4198119/WTCHG_781213_73625338_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR419/ERR4198119/WTCHG_781213_73625338_2.fastq.gz
ERR4198120	PRJEB21277	SAMEA6908156	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR419/ERR4198120/WTCHG_781213_73635339_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR419/ERR4198120/WTCHG_781213_73635339_2.fastq.gz
ERR4198121	PRJEB21277	SAMEA6908157	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR419/ERR4198121/WTCHG_781213_73645340_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR419/ERR4198121/WTCHG_781213_73645340_2.fastq.gz
ERR4198122	PRJEB21277	SAMEA6908158	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR419/ERR4198122/WTCHG_781213_73655341_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR419/ERR4198122/WTCHG_781213_73655341_2.fastq.gz
ERR4198123	PRJEB21277	SAMEA6908159	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR419/ERR4198123/WTCHG_781213_73665342_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR419/ERR4198123/WTCHG_781213_73665342_2.fastq.gz
ERR4198124	PRJEB21277	SAMEA6908160	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR419/ERR4198124/WTCHG_781213_73675343_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR419/ERR4198124/WTCHG_781213_73675343_2.fastq.gz
