run_accession	study_accession	sample_accession	tax_id	scientific_name	submitted_ftp
ERR10367353	PRJNA646837	SAMEA3357126	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR103/ERR10367353/INF188.fastq.gz
ERR10367354	PRJNA646837	SAMEA3357130	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR103/ERR10367354/INF192.fastq.gz
ERR10367355	PRJNA646837	SAMEA3357140	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR103/ERR10367355/INF201.fastq.gz
ERR10367356	PRJNA646837	SAMEA3357155	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR103/ERR10367356/INF299.fastq.gz
ERR10367357	PRJNA646837	SAMEA3357157	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR103/ERR10367357/INF300.fastq.gz
ERR10367358	PRJNA646837	SAMEA3357158	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR103/ERR10367358/INF215.fastq.gz
ERR10367359	PRJNA646837	SAMEA3357161	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR103/ERR10367359/INF302.fastq.gz
ERR10367360	PRJNA646837	SAMEA3357174	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR103/ERR10367360/INF223.fastq.gz
ERR10367361	PRJNA646837	SAMEA3357187	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR103/ERR10367361/INF319.fastq.gz
ERR10367362	PRJNA646837	SAMEA3357191	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR103/ERR10367362/INF321.fastq.gz
ERR10367364	PRJNA646837	SAMEA3357208	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR103/ERR10367364/INF329.fastq.gz
ERR10367365	PRJNA646837	SAMEA3357219	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR103/ERR10367365/INF247.fastq.gz
ERR10367367	PRJNA646837	SAMEA3357225	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR103/ERR10367367/INF250.fastq.gz
ERR10367368	PRJNA646837	SAMEA3357226	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR103/ERR10367368/INF341.fastq.gz
ERR10367369	PRJNA646837	SAMEA3357233	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR103/ERR10367369/INF344.fastq.gz
