ID,accession,run_accession
SAMN03105489,JTWU00000000,NA
SAMN03105407,JTZY00000000,NA
SAMN03105406,JTZZ00000000,NA
SAMN03105405,JUAA00000000,NA
SAMN03105404,JUAB00000000,NA
SAMN03105403,JUAC00000000,NA
SAMN03105490,JTWT00000000,NA
SAMN03105402,JUAD00000000,NA
SAMN03105401,JUAE00000000,NA
SAMN03105496,JTWN00000000,NA
SAMN03105400,JUAF00000000,NA
SAMN03105399,JUAG00000000,NA
SAMN03105398,JUAH00000000,NA
SAMN03105397,JUAI00000000,NA
SAMN03105396,JUAJ00000000,NA
SAMN03105394,JUAL00000000,NA
SAMN03105393,JUAM00000000,NA
SAMN03105491,JTWS00000000,NA
SAMN03105391,JUAO00000000,NA
SAMN03105390,JUAP00000000,NA
SAMN03105392,JUAN00000000,NA
SAMN03105389,JUAQ00000000,NA
SAMN03105388,JUAR00000000,NA
SAMN03105492,JTWR00000000,NA
SAMN04014895,NA,SRR3112316
SAMN04014895,NA,SRR3886564
SAMN04014895,NA,SRR3886584
SAMN04014905,NA,SRR3290649
SAMN04014905,NA,SRR3666066
SAMN04014931,NA,SRR3112335
SAMN04014931,NA,SRR3886562
SAMN04014931,NA,SRR3886563
SAMN04014931,NA,SRR3886565
SAMN04014933,NA,SRR3112336
SAMN04014933,NA,SRR3666068
SAMN04014935,NA,SRR3112337
SAMN04014935,NA,SRR3886583
SAMN04014936,NA,SRR3242025
SAMN04014936,NA,SRR6818871
SAMN04014936,NA,SRR6818872
SAMN04014936,NA,SRR6818873
SAMN04014936,NA,SRR6818874
SAMN04014936,NA,SRR6818875
SAMN04014941,NA,SRR3112340
SAMN04014941,NA,SRR3666031
SAMN04014944,NA,SRR3112341
SAMN04014944,NA,SRR3666049
SAMN04014946,NA,SRR3112342
SAMN04014946,NA,SRR3666069
SAMN04014951,NA,SRR3112345
SAMN04014951,NA,SRR7252691
SAMN04014952,NA,SRR3112346
SAMN04014952,NA,SRR7818938
SAMN04901620,NA,SRR4417531
SAMN04901620,NA,SRR6807658
SAMN04901620,NA,SRR6807659
SAMN04901620,NA,SRR6807660
SAMN04901621,NA,SRR4417542
SAMN04901622,NA,SRR4417553
SAMN04901623,NA,SRR4417558
SAMN04901624,NA,SRR4417559
SAMN04901625,NA,SRR4417560
SAMN04901626,NA,SRR4417561
SAMN04901627,NA,SRR4417562
SAMN04901628,NA,SRR4417563
SAMN04901629,NA,SRR4417532
SAMN04901631,NA,SRR5122324
SAMN04901631,NA,SRR6985658
SAMN04901631,NA,SRR6985659
SAMN04901632,NA,SRR5122326
SAMN04901633,NA,SRR5122330
SAMN04901635,NA,SRR5122327
SAMN04901636,NA,SRR5122329
SAMN04901637,NA,SRR4417534
SAMN04901638,NA,SRR5122328
SAMN04901639,NA,SRR5122332
SAMN04901640,NA,SRR5122323
SAMN04901642,NA,SRR5122325
SAMN04901643,NA,SRR4417536
SAMN04901644,NA,SRR4417537
SAMN04901645,NA,SRR4417538
SAMN04901646,NA,SRR4417539
SAMN04901647,NA,SRR4417540
SAMN04901648,NA,SRR4417541
SAMN04901649,NA,SRR4417543
SAMN04901650,NA,SRR4417544
SAMN04901651,NA,SRR4417545
SAMN04901652,NA,SRR4417546
SAMN04901653,NA,SRR4417547
SAMN04901654,NA,SRR4417548
SAMN04901655,NA,SRR4417549
SAMN04901656,NA,SRR4417550
SAMN04901657,NA,SRR4417551
SAMN04901658,NA,SRR4417552
SAMN04901659,NA,SRR4417554
SAMN04901660,NA,SRR4417555
SAMN04901662,NA,SRR4417557
SAMN05463124,NA,SRR4019389
SAMN05774241,NA,SRR5093495
SAMN05774242,NA,SRR5093496
SAMN05774243,NA,SRR5093498
SAMN05774244,NA,SRR5093501
SAMN05774245,NA,SRR5093532
SAMN05774246,NA,SRR5093535
SAMN05774247,NA,SRR5093538
SAMN05774248,NA,SRR5093544
SAMN05774249,NA,SRR5093541
SAMN05774250,NA,SRR5093542
SAMN05774251,NA,SRR5093671
SAMN05774252,NA,SRR5093674
SAMN05774253,NA,SRR5093676
SAMN05774254,NA,SRR5093687
SAMN05774255,NA,SRR5093692
SAMN05774256,NA,SRR5093696
SAMN05774257,NA,SRR5093697
SAMN05774258,NA,SRR5093713
SAMN05774259,NA,SRR5093714
SAMN05774260,NA,SRR5093717
SAMN05774261,NA,SRR5093719
SAMN05774262,NA,SRR5093748
SAMN05774263,NA,SRR5093750
SAMN05774264,NA,SRR5093752
SAMN05774265,NA,SRR5093754
SAMN05774266,NA,SRR5093757
SAMN07185576,NA,SRR5642518
SAMN07185577,NA,SRR5642513
SAMN07185578,NA,SRR5642511
SAMN07185579,NA,SRR5642517
SAMN07185580,NA,SRR5642515
SAMN07185581,NA,SRR5642514
SAMN07185582,NA,SRR5642512
SAMN07185583,NA,SRR5642509
SAMN07185680,NA,SRR5642378
SAMN07185681,NA,SRR5642374
SAMN07185682,NA,SRR5642371
SAMN07185683,NA,SRR5642372
SAMN07185684,NA,SRR5642373
SAMN07185685,NA,SRR5642377
SAMN07185686,NA,SRR5642376
SAMN07185687,NA,SRR5642375
SAMN07185688,NA,SRR5642519
SAMN07185689,NA,SRR5642510
SAMN07185690,NA,SRR5642508
SAMN07185691,NA,SRR5642507
SAMN07185692,NA,SRR5642502
SAMN07185693,NA,SRR5642503
SAMN07185694,NA,SRR5642504
SAMN07185695,NA,SRR5642380
SAMN07185696,NA,SRR5642379
SAMN07291494,NA,SRR6799221
SAMN07291494,NA,SRR6799222
SAMN07291494,NA,SRR6799223
SAMN07291495,NA,SRR6985662
SAMN07291495,NA,SRR6985663
SAMN07291496,NA,SRR6799371
SAMN07291496,NA,SRR6799372
SAMN07291496,NA,SRR6799373
SAMN07291497,NA,SRR6799375
SAMN07291497,NA,SRR6799376
SAMN07291498,NA,SRR6799377
SAMN07291498,NA,SRR6799378
SAMN07291499,NA,SRR6799380
SAMN07291499,NA,SRR6799381
SAMN07291500,NA,SRR6799382
SAMN07291500,NA,SRR6799383
SAMN07291501,NA,SRR6799384
SAMN07291501,NA,SRR6799385
SAMN07291501,NA,SRR6799386
SAMN07291502,NA,SRR6799387
SAMN07291502,NA,SRR6799388
SAMN07291503,NA,SRR6799389
SAMN07291503,NA,SRR6799390
SAMN07291532,NA,SRR6994985
SAMN07291532,NA,SRR6994986
SAMN07291533,NA,SRR6994987
SAMN07291533,NA,SRR6994988
SAMN07291534,NA,SRR6985679
SAMN07291534,NA,SRR6985680
SAMN07291535,NA,SRR6994989
SAMN07291535,NA,SRR6994990
SAMN07291536,NA,SRR6985681
SAMN07291536,NA,SRR6985682
SAMN07291537,NA,SRR6985683
SAMN07291537,NA,SRR6985684
SAMN07291538,NA,SRR6985685
SAMN07291538,NA,SRR6985686
SAMN07291539,NA,SRR6994991
SAMN07291539,NA,SRR6994992
SAMN07291540,NA,SRR6985731
SAMN07291540,NA,SRR6985732
SAMN07291542,NA,SRR6985689
SAMN07291542,NA,SRR6985690
SAMN07291542,NA,SRR6985691
SAMN07291548,NA,SRR6985695
SAMN07291548,NA,SRR6985696
SAMN07291549,NA,SRR6994997
SAMN07291549,NA,SRR6994998
SAMN07291550,NA,SRR6985697
SAMN07291550,NA,SRR6985698
SAMN07291550,NA,SRR6985699
SAMN07291551,NA,SRR6994999
SAMN07291551,NA,SRR6995000
SAMN07291552,NA,SRR6995001
SAMN07291552,NA,SRR6995002
SAMN07291553,NA,SRR6995003
SAMN07291553,NA,SRR6995004
SAMN07602569,NA,SRR6037658
SAMN07602569,NA,SRR6037663
