sample_accession,run_accession
SRS1102124,SRR2567015
SRS1102126,SRR2567016
SRS1102123,SRR2567017
SRS1102122,SRR2567018
SRS1102121,SRR2567019
SRS1102119,SRR2567020
SRS1102118,SRR2567021
SRS1102117,SRR2567022
SRS1102116,SRR2567023
SRS1102115,SRR2567024
SRS1102120,SRR2567025
SRS1102114,SRR2567026
SRS1102113,SRR2567027
SRS1102111,SRR2567028
SRS1102112,SRR2567029
SRS1102110,SRR2567030
SRS1102109,SRR2567031
SRS1102108,SRR2567032
SRS1102106,SRR2567033
SRS1102105,SRR2567034
SRS1102107,SRR2567035
SRS1102104,SRR2567036
SRS1102102,SRR2567037
SRS1102103,SRR2567038
SRS1102101,SRR2567039
SRS1102099,SRR2567040
SRS1102100,SRR2567041
SRS1102098,SRR2567042
SRS1102097,SRR2567043
SRS1102096,SRR2567044
SRS1102087,SRR2567045
SRS1102086,SRR2567046
SRS1102085,SRR2567047
SRS1102083,SRR2567048
SRS1102080,SRR2567049
SRS1102079,SRR2567050
SRS1102077,SRR2567051
SRS1102076,SRR2567052
SRS1102075,SRR2567053
SRS1102074,SRR2567054
SRS1102073,SRR2567055
SRS1102072,SRR2567056
SRS1102071,SRR2567057
SRS1102070,SRR2567058
SRS1102069,SRR2567059
SRS1102068,SRR2567060
SRS1102066,SRR2567061
SRS1102067,SRR2567062
SRS1102065,SRR2567063
SRS1102064,SRR2567064
SRS1102063,SRR2567065
SRS1102062,SRR2567066
SRS1102061,SRR2567067
SRS1102060,SRR2567068
SRS1102059,SRR2567069
SRS1102058,SRR2567070
SRS1102057,SRR2567071
SRS1102056,SRR2567072
SRS1102055,SRR2567073
SRS1102054,SRR2567074
SRS1102053,SRR2567075
SRS1102052,SRR2567076
SRS1102051,SRR2567077
SRS1102050,SRR2567078
SRS1102049,SRR2567079
SRS1102048,SRR2567080
SRS1102047,SRR2567081
SRS1102046,SRR2567082
SRS1102045,SRR2567083
SRS1102044,SRR2567084
SRS1102043,SRR2567085
SRS1102042,SRR2567086
SRS1102041,SRR2567087
SRS1102040,SRR2567088
SRS1101900,SRR2567089
SRS1102039,SRR2567090
SRS1102038,SRR2567091
SRS1102037,SRR2567092
SRS1102036,SRR2567093
SRS1102035,SRR2567094
SRS1102034,SRR2567095
SRS1102033,SRR2567096
SRS1102031,SRR2567097
SRS1102030,SRR2567098
SRS1102032,SRR2567099
SRS1102029,SRR2567100
SRS1102028,SRR2567101
SRS1102027,SRR2567102
SRS1102026,SRR2567103
SRS1102025,SRR2567104
SRS1102024,SRR2567105
SRS1102023,SRR2567106
SRS1102022,SRR2567107
SRS1102021,SRR2567108
SRS1102020,SRR2567109
SRS1102018,SRR2567110
SRS1102017,SRR2567111
SRS1102019,SRR2567112
SRS1102016,SRR2567113
SRS1102015,SRR2567114
SRS1102013,SRR2567115
SRS1102012,SRR2567116
SRS1102014,SRR2567117
SRS1102011,SRR2567118
SRS1102010,SRR2567119
SRS1102008,SRR2567120
SRS1102009,SRR2567121
SRS1102007,SRR2567122
SRS1102006,SRR2567123
SRS1102005,SRR2567124
SRS1102004,SRR2567125
SRS1102003,SRR2567126
SRS1102002,SRR2567127
SRS1102000,SRR2567128
SRS1102001,SRR2567129
SRS1101999,SRR2567130
SRS1101997,SRR2567131
SRS1101996,SRR2567132
SRS1101998,SRR2567133
SRS1101994,SRR2567135
SRS1101992,SRR2567136
SRS1101991,SRR2567137
SRS1101993,SRR2567138
SRS1101990,SRR2567139
SRS1101989,SRR2567140
SRS1101988,SRR2567141
SRS1101987,SRR2567142
SRS1101986,SRR2567143
SRS1101984,SRR2567144
SRS1101985,SRR2567145
SRS1101901,SRR2567146
SRS1101983,SRR2567147
SRS1101980,SRR2567148
SRS1101979,SRR2567149
SRS1101978,SRR2567150
SRS1101977,SRR2567151
SRS1101976,SRR2567152
SRS1101975,SRR2567153
SRS1101974,SRR2567154
SRS1101973,SRR2567155
SRS1101972,SRR2567156
SRS1101971,SRR2567157
SRS1101970,SRR2567158
SRS1101969,SRR2567159
SRS1101968,SRR2567160
SRS1101967,SRR2567161
SRS1101966,SRR2567162
SRS1101960,SRR2567163
SRS1101959,SRR2567164
SRS1101958,SRR2567165
SRS1101957,SRR2567166
SRS1101956,SRR2567167
SRS1101955,SRR2567168
SRS1101954,SRR2567169
SRS1101953,SRR2567170
SRS1101952,SRR2567171
SRS1101951,SRR2567172
SRS1101950,SRR2567173
SRS1101949,SRR2567174
SRS1101948,SRR2567175
SRS1101947,SRR2567176
SRS1101946,SRR2567177
SRS1101945,SRR2567178
SRS1101944,SRR2567179
SRS1101943,SRR2567180
SRS1101942,SRR2567181
SRS1101941,SRR2567182
SRS1101940,SRR2567183
SRS1101939,SRR2567184
SRS1101938,SRR2567185
SRS1101937,SRR2567186
SRS1101936,SRR2567187
SRS1101935,SRR2567188
SRS1101934,SRR2567189
SRS1101933,SRR2567190
SRS1101932,SRR2567191
SRS1101931,SRR2567192
SRS1101930,SRR2567193
SRS1101929,SRR2567194
SRS1101923,SRR2567195
SRS1101922,SRR2567196
SRS1101921,SRR2567197
SRS1101920,SRR2567198
SRS1101919,SRR2567199
SRS1101918,SRR2567200
SRS1101917,SRR2567201
SRS1101916,SRR2567202
SRS1101915,SRR2567203
SRS1101914,SRR2567204
SRS1101913,SRR2567205
SRS1101912,SRR2567206
SRS1101911,SRR2567207
SRS1101906,SRR2567208
SRS1101905,SRR2567209
SRS1101904,SRR2567210
SRS1101903,SRR2567211
SRS1101902,SRR2567212
SRS1102842,SRR2568398
SRS1102839,SRR2568400
SRS1102744,SRR2568402
SRS1102743,SRR2568403
SRS1107887,SRR2583943
SRS1107886,SRR2583944
SRS1107885,SRR2583945
SRS1107884,SRR2583946
SRS1107890,SRR2583949
SRS1107891,SRR2583950
SRS1107888,SRR2583951
SRS1107889,SRR2583952
SRS1107895,SRR2583953
SRS1107894,SRR2583954
SRS1107893,SRR2583955
SRS1107892,SRR2583956
SRS1107896,SRR2583957
SRS1107902,SRR2583958
SRS1107901,SRR2583959
SRS1107900,SRR2583960
SRS1107899,SRR2583961
SRS1107898,SRR2583962
SRS1107897,SRR2583963
SRS1107903,SRR2583964
SRS1107979,SRR2584316
SRS1107978,SRR2584317
SRS1107980,SRR2584318
SRS1108024,SRR2584386
SRS1108030,SRR2584388
SRS1108029,SRR2584389
SRS1108028,SRR2584390
SRS1108027,SRR2584391
SRS1108031,SRR2584392
SRS1108033,SRR2584393
SRS1108032,SRR2584394
SRS1108034,SRR2584395
SRS1108035,SRR2584397
SRS1108041,SRR2584398
SRS1108040,SRR2584399
SRS1108039,SRR2584400
SRS1108038,SRR2584401
SRS1108037,SRR2584402
SRS1109655,SRR2599659
SRS1109654,SRR2599660
SRS1109653,SRR2599661
SRS1112181,SRR2636953
SRS1112185,SRR2636954
SRS1112184,SRR2636955
SRS1112856,SRR2637856
SRS1112854,SRR2637879
SRS1112853,SRR2637903
SRS1112857,SRR2638014
SRS1112867,SRR2638015
SRS1112868,SRR2638017
SRS1112896,SRR2638018
SRS1112895,SRR2638019
SRS1112903,SRR2638070
SRS1114212,SRR2648192
SRS1114217,SRR2648194
SRS1114216,SRR2648195
SRS1114215,SRR2648196
SRS1114214,SRR2648197
SRS1114213,SRR2648198
SRS1114287,SRR2648740
SRS1114294,SRR2648750
SRS1114293,SRR2648751
SRS1114292,SRR2648752
SRS1114291,SRR2648753
SRS1114290,SRR2648754
SRS1114288,SRR2648755
SRS1114304,SRR2648757
SRS1114316,SRR2648768
SRS1114315,SRR2648769
SRS1114336,SRR2648891
SRS1114335,SRR2648912
SRS1114356,SRR2648998
SRS1114355,SRR2649002
SRS1117075,SRR2669154
SRS1117074,SRR2669155
SRS1117078,SRR2669156
SRS1117077,SRR2669157
SRS1117079,SRR2669158
SRS1117082,SRR2669159
SRS1117081,SRR2669160
SRS1117080,SRR2669161
SRS1117083,SRR2669162
SRS1117246,SRR2670155
SRS1117271,SRR2670601
SRS1117269,SRR2670624
SRS1117268,SRR2670625
SRS1117266,SRR2670660
SRS1117265,SRR2670661
SRS1117264,SRR2670691
SRS1117262,SRR2670692
SRS1117283,SRR2670693
SRS1117280,SRR2670694
SRS1117279,SRR2670695
SRS1117278,SRR2670696
SRS1117277,SRR2670697
SRS1117286,SRR2670698
SRS1117285,SRR2670699
SRS1117284,SRR2670701
SRS1117292,SRR2670703
SRS1117291,SRR2670704
SRS1117290,SRR2670705
SRS1117289,SRR2670706
SRS1117288,SRR2670707
SRS1117287,SRR2670708
SRS1117293,SRR2670709
SRS1117296,SRR2670710
SRS1117295,SRR2670711
SRS1117294,SRR2670712
SRS1117300,SRR2670713
SRS1117299,SRR2670714
SRS1117298,SRR2670715
SRS1117297,SRR2670716
SRS1117302,SRR2670717
SRS1117301,SRR2670718
SRS1117303,SRR2670719
SRS1120669,SRR2724056
SRS1120668,SRR2724057
SRS1120667,SRR2724058
SRS1120674,SRR2724059
SRS1120681,SRR2724060
SRS1120680,SRR2724061
SRS1120679,SRR2724062
SRS1120678,SRR2724063
SRS1120677,SRR2724064
SRS1120676,SRR2724065
SRS1135771,SRR2829106
SRS1135770,SRR2829107
SRS1135829,SRR2829108
SRS1135828,SRR2829109
SRS1135827,SRR2829110
SRS1135826,SRR2829111
SRS1135825,SRR2829112
SRS1135831,SRR2829171
SRS1135830,SRR2829172
SRS1135962,SRR2829307
SRS1135961,SRR2829308
SRS1135998,SRR2829310
SRS1135997,SRR2829311
SRS1135995,SRR2829313
SRS1135994,SRR2829314
SRS1141921,SRR2875422
SRS1141920,SRR2875423
SRS1141919,SRR2875424
SRS1141918,SRR2875425
SRS1144507,SRR2889978
SRS1144506,SRR2889979
SRS1144505,SRR2889980
SRS1144504,SRR2889981
SRS1144503,SRR2889982
SRS1144548,SRR2889983
SRS1155352,SRR2910989
SRS1155356,SRR2910990
SRS1155354,SRR2910991
SRS1155355,SRR2910992
SRS1155353,SRR2910993
SRS1155357,SRR2910994
SRS1157148,SRR2911794
SRS1157149,SRR2911795
SRS1158605,SRR2912640
SRS1158604,SRR2912641
SRS1158603,SRR2912642
SRS1158602,SRR2912643
SRS1158601,SRR2912644
SRS1158600,SRR2912645
SRS1158606,SRR2912646
SRS1158611,SRR2912650
SRS1158610,SRR2912651
SRS1158608,SRR2912652
SRS1158609,SRR2912653
SRS1158607,SRR2912654
SRS1158614,SRR2912655
SRS1158613,SRR2912656
SRS1158628,SRR2912657
SRS1158627,SRR2912658
SRS1158629,SRR2912659
SRS1164392,SRR2917934
SRS1164391,SRR2917935
SRS1164395,SRR2917937
SRS1164394,SRR2917938
SRS1164393,SRR2917939
SRS1164397,SRR2917940
SRS1164396,SRR2917941
SRS1164398,SRR2917942
SRS1164835,SRR2918183
SRS1164832,SRR2918184
SRS1164833,SRR2918185
SRS1164839,SRR2918187
SRS1164837,SRR2918189
SRS1164836,SRR2918190
SRS1164840,SRR2918194
SRS1164843,SRR2918195
SRS1164844,SRR2918196
SRS1158945,SRR2919946
SRS1158952,SRR2919947
SRS1158951,SRR2919948
SRS1158950,SRR2919949
SRS1158949,SRR2919950
SRS1158947,SRR2919952
SRS1158946,SRR2919953
SRS1158953,SRR2920065
SRS1158954,SRR2920066
SRS1159009,SRR2920118
SRS1159008,SRR2920119
SRS1159007,SRR2920120
SRS1159006,SRR2920121
SRS1171564,SRR2939004
SRS1171566,SRR2939005
SRS1171567,SRR2939006
SRS1171565,SRR2939007
SRS1171633,SRR2939119
SRS1171632,SRR2939120
SRS1171634,SRR2939121
SRS1171631,SRR2939122
SRS1171641,SRR2939123
SRS1171642,SRR2939124
SRS1171640,SRR2939125
SRS1171638,SRR2939127
SRS1171637,SRR2939128
SRS1171749,SRR2939561
SRS1171748,SRR2939562
SRS1171748,SRR3710057
SRS1171748,SRR3710058
SRS1171748,SRR3710059
SRS1171748,SRR3710060
SRS1181009,SRR2962356
SRS1181008,SRR2962357
SRS1181007,SRR2962358
SRS1181006,SRR2962359
SRS1181005,SRR2962360
SRS1181015,SRR2962361
SRS1181014,SRR2962362
SRS1181013,SRR2962363
SRS1181012,SRR2962364
SRS1181011,SRR2962365
SRS1181010,SRR2962366
SRS1181016,SRR2962367
SRS1181052,SRR2962393
SRS1181054,SRR2962395
SRS1181053,SRR2962396
SRS1181056,SRR2962397
SRS1181055,SRR2962398
SRS1181057,SRR2962399
SRS1181058,SRR2962400
SRS1181059,SRR2962401
SRS1181061,SRR2962402
SRS1181060,SRR2962403
SRS1181062,SRR2962404
SRS1181064,SRR2962405
SRS1181063,SRR2962406
SRS1181065,SRR2962407
SRS1181265,SRR2962662
SRS1181264,SRR2962663
SRS1181263,SRR2962664
SRS1181262,SRR2962665
SRS1181260,SRR2962666
SRS1181261,SRR2962667
SRS1181266,SRR2962668
SRS1181400,SRR2962880
SRS1181401,SRR2962882
SRS1181402,SRR2962883
SRS1181407,SRR2962884
SRS1181406,SRR2962885
SRS1181405,SRR2962886
SRS1181404,SRR2962887
SRS1181403,SRR2962888
SRS1181411,SRR2962897
SRS1181409,SRR2962898
SRS1181410,SRR2962899
SRS1181408,SRR2962900
SRS1181420,SRR2962901
SRS1181421,SRR2962902
SRS1190389,SRR2973698
SRS1190388,SRR2973699
SRS1190387,SRR2973700
SRS1190398,SRR2973701
SRS1190397,SRR2973702
SRS1190396,SRR2973703
SRS1190395,SRR2973704
SRS1190394,SRR2973705
SRS1190393,SRR2973706
SRS1190392,SRR2973707
SRS1190391,SRR2973708
SRS1190390,SRR2973709
SRS1190403,SRR2973721
SRS1190402,SRR2973722
SRS1190401,SRR2973723
SRS1190410,SRR2973724
SRS1190409,SRR2973725
SRS1190408,SRR2973726
SRS1190406,SRR2973727
SRS1190407,SRR2973728
SRS1190405,SRR2973729
SRS1190404,SRR2973730
SRS1190412,SRR2973731
SRS1190411,SRR2973732
SRS1190418,SRR2973736
SRS1190417,SRR2973737
SRS1190416,SRR2973738
SRS1190433,SRR2973739
SRS1190432,SRR2973740
SRS1190431,SRR2973741
SRS1190434,SRR2973754
SRS1190509,SRR2973831
SRS1190512,SRR2973832
SRS1190511,SRR2973833
SRS1190510,SRR2973834
SRS1190519,SRR2973835
SRS1192091,SRR2976052
SRS1192092,SRR2976054
SRS1192094,SRR2976055
SRS1192093,SRR2976056
SRS1195229,SRR2979519
SRS1195228,SRR2979520
SRS1195227,SRR2979521
SRS1195226,SRR2979523
SRS1195225,SRR2979524
SRS1195224,SRR2979525
SRS1195223,SRR2979526
SRS1195222,SRR2979527
SRS1196871,SRR2981103
SRS1196870,SRR2981104
SRS1196869,SRR2981105
SRS1196872,SRR2981106
SRS1196874,SRR2981107
SRS1196875,SRR2981108
SRS1196873,SRR2981109
SRS1196897,SRR2981110
SRS1196896,SRR2981111
SRS1196895,SRR2981112
SRS1196894,SRR2981113
SRS1196900,SRR2981146
SRS1196903,SRR2981147
SRS1197464,SRR2982336
SRS1197463,SRR2982337
SRS1197462,SRR2982338
SRS1197461,SRR2982339
SRS1197460,SRR2982340
SRS1197468,SRR2982342
SRS1197467,SRR2982343
SRS1197466,SRR2982344
SRS1197465,SRR2982345
SRS1197469,SRR2982346
SRS1197473,SRR2982348
SRS1197472,SRR2982349
SRS1197471,SRR2982350
SRS1197470,SRR2982351
SRS1197475,SRR2982353
SRS1197474,SRR2982354
SRS1197476,SRR2982356
SRS1203714,SRR2989168
SRS1203713,SRR2989169
SRS1203734,SRR2989188
SRS1203733,SRR2989189
SRS1203732,SRR2989190
SRS1203731,SRR2989191
SRS1203730,SRR2989192
SRS1203729,SRR2989193
SRS1203728,SRR2989194
SRS1203727,SRR2989195
SRS1203726,SRR2989196
SRS1203725,SRR2989197
SRS1203737,SRR2989200
SRS1203736,SRR2989201
SRS1203735,SRR2989202
SRS1203746,SRR2989203
SRS1203745,SRR2989204
SRS1203744,SRR2989205
SRS1203743,SRR2989206
SRS1203742,SRR2989207
SRS1203741,SRR2989208
SRS1203740,SRR2989209
SRS1203739,SRR2989210
SRS1203738,SRR2989211
SRS1203915,SRR2989557
SRS1203916,SRR2989558
SRS1203914,SRR2989559
SRS1203926,SRR2989560
SRS1203925,SRR2989561
SRS1203924,SRR2989562
SRS1203923,SRR2989563
SRS1203922,SRR2989564
SRS1203920,SRR2989565
SRS1203919,SRR2989566
SRS1203918,SRR2989567
SRS1203917,SRR2989568
SRS1205966,SRR2993804
SRS1205969,SRR2993805
SRS1205970,SRR2993806
SRS1206037,SRR2993930
SRS1206036,SRR2993931
SRS1206035,SRR2993932
SRS1206034,SRR2993933
SRS1206040,SRR2993934
SRS1206041,SRR2993935
SRS1206044,SRR2993936
SRS1206043,SRR2993937
SRS1206042,SRR2993938
SRS1206929,SRR2999646
SRS1206928,SRR2999647
SRS1206927,SRR2999648
SRS1206926,SRR2999649
SRS1206925,SRR2999650
SRS1206924,SRR2999651
SRS1206930,SRR2999652
SRS1206986,SRR3000017
SRS1206985,SRR3000018
SRS1206984,SRR3000019
SRS1206991,SRR3000023
SRS1206994,SRR3000027
SRS1206992,SRR3000028
SRS1206993,SRR3000029
SRS1207004,SRR3000030
SRS1207003,SRR3000031
SRS1207001,SRR3000033
SRS1207000,SRR3000034
SRS1206998,SRR3000036
SRS1207007,SRR3000037
SRS1207006,SRR3000038
SRS1207005,SRR3000039
SRS1207016,SRR3000040
SRS1207015,SRR3000041
SRS1207014,SRR3000042
SRS1207013,SRR3000043
SRS1207012,SRR3000044
SRS1207011,SRR3000045
SRS1207010,SRR3000046
SRS1207009,SRR3000047
SRS1207008,SRR3000048
SRS1207017,SRR3000049
SRS1207185,SRR3001170
SRS1207184,SRR3001171
SRS1207196,SRR3001172
SRS1207195,SRR3001173
SRS1207194,SRR3001174
SRS1207193,SRR3001175
SRS1207192,SRR3001176
SRS1207191,SRR3001177
SRS1207190,SRR3001178
SRS1207189,SRR3001179
SRS1207188,SRR3001180
SRS1207187,SRR3001181
SRS1210214,SRR3021486
SRS1210213,SRR3021487
SRS1210212,SRR3021488
SRS1210226,SRR3021489
SRS1210225,SRR3021490
SRS1210223,SRR3021491
SRS1210224,SRR3021492
SRS1210222,SRR3021493
SRS1210221,SRR3021494
SRS1210227,SRR3021495
SRS1212511,SRR3031824
SRS1212512,SRR3031825
SRS1212510,SRR3031826
SRS1212517,SRR3031827
SRS1212516,SRR3031828
SRS1212515,SRR3031829
SRS1212531,SRR3031856
SRS1212544,SRR3031868
SRS1212543,SRR3031869
SRS1212542,SRR3031870
SRS1212550,SRR3031871
SRS1212548,SRR3031873
SRS1213533,SRR3033302
SRS1213532,SRR3033303
SRS1213531,SRR3033304
SRS1213548,SRR3033305
SRS1213547,SRR3033306
SRS1213549,SRR3033320
SRS1213550,SRR3033321
SRS1213551,SRR3033323
SRS1213573,SRR3033324
SRS1213572,SRR3033325
SRS1213574,SRR3033346
SRS1213575,SRR3033347
SRS1217307,SRR3038497
SRS1217306,SRR3038498
SRS1217304,SRR3038499
SRS1217303,SRR3038500
SRS1217302,SRR3038501
SRS1217301,SRR3038502
SRS1217308,SRR3038510
SRS1217311,SRR3038511
SRS1217310,SRR3038512
SRS1217309,SRR3038513
SRS1217320,SRR3038514
SRS1217319,SRR3038515
SRS1217318,SRR3038516
SRS1218645,SRR3045969
SRS1218643,SRR3045970
SRS1218644,SRR3045972
SRS1218649,SRR3045973
SRS1218648,SRR3045974
SRS1218647,SRR3045975
SRS1218646,SRR3045976
SRS1218650,SRR3045977
SRS1218653,SRR3045981
SRS1218652,SRR3045983
SRS1218651,SRR3045984
SRS1221864,SRR3052017
SRS1221863,SRR3052018
SRS1221862,SRR3052019
SRS1221869,SRR3052020
SRS1221868,SRR3052021
SRS1221870,SRR3052022
SRS1221867,SRR3052023
SRS1221866,SRR3052024
SRS1221865,SRR3052025
SRS1221875,SRR3052026
SRS1221874,SRR3052027
SRS1221873,SRR3052028
SRS1221872,SRR3052029
SRS1221871,SRR3052030
SRS1223493,SRR3055284
SRS1223498,SRR3055287
SRS1223497,SRR3055288
SRS1223496,SRR3055289
SRS1223503,SRR3055290
SRS1223502,SRR3055291
SRS1223500,SRR3055293
SRS1223504,SRR3055294
SRS1223506,SRR3055296
SRS1223511,SRR3055298
SRS1223509,SRR3055299
SRS1223508,SRR3055301
SRS1223513,SRR3055304
SRS1223512,SRR3055305
SRS1223516,SRR3055308
SRS1223517,SRR3055309
SRS1223524,SRR3055310
SRS1223529,SRR3055319
SRS1223804,SRR3056893
SRS1223803,SRR3056894
SRS1223811,SRR3056898
SRS1223809,SRR3056899
SRS1223808,SRR3056900
SRS1223807,SRR3056901
SRS1223805,SRR3056904
SRS1223815,SRR3056905
SRS1223814,SRR3056906
SRS1223818,SRR3056907
SRS1223817,SRR3056908
SRS1223816,SRR3056909
SRS1223830,SRR3056910
SRS1223829,SRR3056911
SRS1223828,SRR3056912
SRS1223827,SRR3056913
SRS1223826,SRR3056914
SRS1223825,SRR3056915
SRS1223824,SRR3056916
SRS1223823,SRR3056917
SRS1223822,SRR3056918
SRS1223821,SRR3056919
SRS1223820,SRR3056920
SRS1223819,SRR3056921
SRS1223831,SRR3056927
SRS1223841,SRR3056928
SRS1223840,SRR3056929
SRS1223839,SRR3056930
SRS1223838,SRR3056931
SRS1223837,SRR3056932
SRS1224130,SRR3057216
SRS1224129,SRR3057217
SRS1224127,SRR3057218
SRS1224126,SRR3057219
SRS1224128,SRR3057220
SRS1224125,SRR3057221
SRS1224133,SRR3057222
SRS1224132,SRR3057223
SRS1224131,SRR3057224
SRS1224139,SRR3057225
SRS1224138,SRR3057226
SRS1224137,SRR3057227
SRS1224136,SRR3057228
SRS1224135,SRR3057229
SRS1224134,SRR3057230
SRS1224140,SRR3057231
SRS1227705,SRR3062665
SRS1227703,SRR3062666
SRS1227704,SRR3062667
SRS1227710,SRR3062668
SRS1227709,SRR3062669
SRS1227708,SRR3062670
SRS1227707,SRR3062671
SRS1227706,SRR3062672
SRS1227713,SRR3062673
SRS1227712,SRR3062674
SRS1227711,SRR3062675
SRS1227714,SRR3062676
SRS1227718,SRR3062679
SRS1227715,SRR3062680
SRS1227717,SRR3062681
SRS1227716,SRR3062682
SRS1227726,SRR3062683
SRS1227725,SRR3062684
SRS1227724,SRR3062685
SRS1227723,SRR3062686
SRS1227722,SRR3062687
SRS1227721,SRR3062688
SRS1227720,SRR3062689
SRS1227719,SRR3062690
SRS1233019,SRR3082382
SRS1233018,SRR3082383
SRS1233017,SRR3082388
SRS1233027,SRR3082389
SRS1233026,SRR3082390
SRS1233025,SRR3082391
SRS1233024,SRR3082392
SRS1233023,SRR3082393
SRS1235845,SRR3085513
SRS1235855,SRR3085520
SRS1235854,SRR3085521
SRS1235853,SRR3085522
SRS1235852,SRR3085523
SRS1235862,SRR3085524
SRS1235861,SRR3085525
SRS1235860,SRR3085526
SRS1235859,SRR3085527
SRS1235857,SRR3085528
SRS1235865,SRR3085533
SRS1235937,SRR3085611
SRS1235935,SRR3085613
SRS1235934,SRR3085614
SRS1235939,SRR3085615
SRS1235938,SRR3085616
SRS1235944,SRR3085617
SRS1235943,SRR3085618
SRS1235942,SRR3085619
SRS1235941,SRR3085620
SRS1235946,SRR3085621
SRS1236423,SRR3086656
SRS1239269,SRR3089989
SRS1239268,SRR3089990
SRS1239267,SRR3089991
SRS1239266,SRR3089992
SRS1239265,SRR3089993
SRS1239264,SRR3089994
SRS1239274,SRR3089995
SRS1239273,SRR3089996
SRS1239272,SRR3089997
SRS1239271,SRR3089998
SRS1239270,SRR3089999
SRS1239277,SRR3090000
SRS1239276,SRR3090001
SRS1239275,SRR3090002
SRS1239280,SRR3090003
SRS1239279,SRR3090004
SRS1239798,SRR3091328
SRS1239797,SRR3091329
SRS1239796,SRR3091330
SRS1239795,SRR3091331
SRS1239794,SRR3091332
SRS1239805,SRR3091333
SRS1239804,SRR3091334
SRS1239803,SRR3091335
SRS1239802,SRR3091336
SRS1239838,SRR3091339
SRS1239837,SRR3091340
SRS1239836,SRR3091341
SRS1239835,SRR3091342
SRS1239807,SRR3091343
SRS1239806,SRR3091344
SRS1239845,SRR3091345
SRS1239844,SRR3091346
SRS1239843,SRR3091347
SRS1239840,SRR3091348
SRS1239842,SRR3091349
SRS1239841,SRR3091350
SRS1239967,SRR3091410
SRS1239966,SRR3091411
SRS1239965,SRR3091412
SRS1239971,SRR3091413
SRS1239970,SRR3091414
SRS1239969,SRR3091415
SRS1239968,SRR3091416
SRS1239973,SRR3091417
SRS1239972,SRR3091418
SRS1244291,SRR3096028
SRS1244289,SRR3096029
SRS1244290,SRR3096030
SRS1244288,SRR3096031
SRS1244287,SRR3096032
SRS1244286,SRR3096033
SRS1244294,SRR3096034
SRS1244293,SRR3096035
SRS1244292,SRR3096036
SRS1244311,SRR3096075
SRS1244310,SRR3096076
SRS1244309,SRR3096077
SRS1244308,SRR3096078
SRS1244318,SRR3096079
SRS1244316,SRR3096080
SRS1244317,SRR3096081
SRS1244315,SRR3096082
SRS1244314,SRR3096083
SRS1244321,SRR3096084
SRS1244320,SRR3096085
SRS1244319,SRR3096086
SRS1244325,SRR3096087
SRS1244323,SRR3096088
SRS1244324,SRR3096089
SRS1244322,SRR3096090
SRS1244326,SRR3096091
SRS1244331,SRR3096093
SRS1244330,SRR3096094
SRS1244329,SRR3096095
SRS1244328,SRR3096096
SRS1244327,SRR3096097
SRS1244337,SRR3096098
SRS1244336,SRR3096100
SRS1244334,SRR3096101
SRS1244335,SRR3096102
SRS1244344,SRR3096104
SRS1244343,SRR3096105
SRS1244342,SRR3096106
SRS1244341,SRR3096107
SRS1244340,SRR3096108
SRS1244803,SRR3096702
SRS1244802,SRR3096703
SRS1244801,SRR3096704
SRS1244809,SRR3096710
SRS1244808,SRR3096718
SRS1244807,SRR3096719
SRS1244806,SRR3096720
SRS1244805,SRR3096721
SRS1244804,SRR3096722
SRS1245886,SRR3098258
SRS1245885,SRR3098259
SRS1245884,SRR3098260
SRS1245883,SRR3098261
SRS1245890,SRR3098262
SRS1245889,SRR3098263
SRS1245888,SRR3098264
SRS1245887,SRR3098265
SRS1245892,SRR3098266
SRS1245891,SRR3098267
SRS1245898,SRR3098269
SRS1245896,SRR3098270
SRS1245895,SRR3098271
SRS1245897,SRR3098272
SRS1245902,SRR3098274
SRS1245901,SRR3098275
SRS1245900,SRR3098276
SRS1245906,SRR3098277
SRS1245905,SRR3098278
SRS1245904,SRR3098279
SRS1245903,SRR3098280
SRS1245911,SRR3098283
SRS1245921,SRR3098293
SRS1245920,SRR3098296
SRS1245986,SRR3098373
SRS1245985,SRR3098374
SRS1245984,SRR3098375
SRS1245983,SRR3098376
SRS1245989,SRR3098377
SRS1245988,SRR3098379
SRS1246239,SRR3098643
SRS1246238,SRR3098644
SRS1246237,SRR3098645
SRS1246236,SRR3098646
SRS1246235,SRR3098647
SRS1246243,SRR3098648
SRS1246242,SRR3098649
SRS1246241,SRR3098650
SRS1246240,SRR3098651
SRS1246249,SRR3098652
SRS1246248,SRR3098653
SRS1246246,SRR3098654
SRS1246247,SRR3098655
SRS1246245,SRR3098656
SRS1246244,SRR3098657
SRS1246250,SRR3098658
SRS1246255,SRR3098659
SRS1246254,SRR3098660
SRS1246253,SRR3098661
SRS1246252,SRR3098662
SRS1247079,SRR3099648
SRS1247078,SRR3099649
SRS1247080,SRR3099650
SRS1247081,SRR3099653
SRS1248438,SRR3101789
SRS1248442,SRR3101884
SRS1248441,SRR3101888
SRS1248440,SRR3101892
SRS1248445,SRR3101895
SRS1248444,SRR3101898
SRS1248443,SRR3101900
SRS1254600,SRR3110299
SRS1254598,SRR3110324
SRS1254599,SRR3110325
SRS1254608,SRR3110326
SRS1254607,SRR3110327
SRS1254606,SRR3110328
SRS1254605,SRR3110329
SRS1254604,SRR3110330
SRS1254603,SRR3110331
SRS1254613,SRR3110332
SRS1254610,SRR3110334
