sample_accession,run_accession
SAMN04521105,SRR3194381
SAMN04521107,SRR3194380
SAMN04528880,SRR3201098
SAMN04524172,SRR3196132
SAMN04524173,SRR3196134
SAMN04524174,SRR3196141
SAMN04524175,SRR3196135
SAMN04524177,SRR3196683
SAMN04524178,SRR3196127
SAMN04524180,SRR3196143
SAMN04524182,SRR3196679
SAMN04524184,SRR3196142
SAMN04524185,SRR3196126
SAMN04524186,SRR3196687
SAMN04524187,SRR3196133
SAMN04524189,SRR3196128
SAMN04524191,SRR3196446
SAMN04524192,SRR3196129
SAMN04524194,SRR3196130
SAMN04524198,SRR3196686
SAMN04528881,SRR3201099
SAMN04528882,SRR3201100
SAMN04528883,SRR3201101
SAMN04528884,SRR3201102
SAMN04528887,SRR3201105
SAMN04528888,SRR3201106
SAMN04528889,SRR3201107
SAMN04528890,SRR3201108
SAMN04528892,SRR3201110
SAMN04528893,SRR3201111
SAMN04528894,SRR3201112
SAMN04526073,SRR3199584
SAMN04526074,SRR3199585
SAMN04526075,SRR3199489
SAMN04528898,SRR3201116
SAMN04528899,SRR3201125
SAMN04528900,SRR3201117
SAMN04528902,SRR3201119
SAMN04528903,SRR3201121
SAMN04528904,SRR3201120
SAMN04528906,SRR3201123
SAMN04528907,SRR3201124
SAMN04536995,SRR3209759
SAMN04536996,SRR3209760
SAMN04536998,SRR3209758
SAMN04537001,SRR3209757
SAMN04537002,SRR3209763
SAMN04537003,SRR3209766
SAMN04537006,SRR3209797
SAMN04537008,SRR3209814
SAMN04543683,SRR3215125
SAMN04543686,SRR3215127
SAMN04543687,SRR3215118
SAMN04543688,SRR3215128
SAMN04543690,SRR3215120
SAMN04543691,SRR3215121
SAMN04543693,SRR3215132
SAMN04543694,SRR3215109
SAMN04543696,SRR3215131
SAMN04543697,SRR3215111
SAMN04543698,SRR3215112
SAMN04543700,SRR3215134
SAMN04543701,SRR3215113
SAMN04543707,SRR3214714
SAMN04543708,SRR3214705
SAMN04543709,SRR3214702
SAMN04543710,SRR3214707
SAMN04543712,SRR3214711
SAMN04543713,SRR3215116
