SRS,Clonal complex,Sequence type,O,H,eae,Ertapenem (ETP 0.064/0.05) Phenotype,Ampicillin (AMP 8) Ceftazidime (CAZ 1/2) Cefotaxime (CTX 0.25/0.5/1) Cefpirome (CPR 1) Cefoxitin (FOX 8) Temocillin (TEM 128) Phenotype,Gentamycin (GEN 2) Tobamycin (TOB 2) Amikacin (AMK 8) Streptomycin (STR 8/16) Phenotype,Ciprofloxacin (CIP 0.064/0.5) Nalidixic acid (NAL 16) Phenotype,Azithromycin (16) Phenotype,Trimethoprim (TMP 2 ) Phenotype,Tetracycline (TET 8) Phenotype,Sulphonamide (SUL 256) Phenotype,Chloramphenicol (CHL 8/16) Phenotype
SRR3581328,CC32,32,O145,H28,+,S,AMP8 (MIC - ≥2),"STR8,16",S,S,S,S,SUL256,CHL8 Intermediate
SRR3581389,CC504,504,O156,H7,-,S,AMP8 (MIC - ≥4),"STR8,16",CIP0.064,S,TMP2,TET8,SUL256,"CHL8,16"
SRR3578951,CC442,442,O146,H21,-,S,AMP8 (MIC - ≥8),S,S,S,TMP2,S,SUL256,S
SRR7191720,CC21,29,O123-O186,H11,,S,AMP8 (MIC - ≥4),"STR8,16",CIP0.064,S,S,TET8,SUL256,CHL8 Intermediate
SRR3574219,CC165,301,O80,H2,+,S,AMP8 (MIC - ≥4),S,S,S,TMP2 (repeat same) MIC - ≥32,TET8,SUL256,"CHL8,16"
SRR3574253,CC504,504,O117,H7,-,S,AMP8 (MIC - ≥4),S ,CIP0.064,≥16 ( E-test -> 48),TMP2,S,SUL256,S
SRR4897587,CC17,17,O103,H2,+,S,AMP8 (MIC - ≥4),"STR8,16",S,S,S,TET8,S,S
SRR4897311,CC17,17,O71,H2,+,S,AMP8 (MIC - ≥4),"STR8,16",S,S,S,TET8,SUL256,S
SRR5005559,CC21,29,O177,H11,+,S,AMP8 (MIC - ≥4),S,S,S,S,S,S,CHL8 Intermediate
SRR4787864,CC17,17,O118-O151,H2,+,S,AMP8 (MIC - ≥4),S,S,S,S,S,S,CHL8 Intermediate
